"landing_site","acuaculture_production","est_aquaculture_production","est_aquaculture_certainty","aquacultureFLAG_landing.site"
"PUNTA ESCARPADA (PUNTA BLUFF)","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA EL PESCADOR","no","no, as reported","estimate is consistent with original report","NO"
"VALLE TRANQUILO","no","no, as reported","estimate is consistent with original report","NO"
"ENSENADA BLANCA","no","no, as reported","estimate is consistent with original report","NO"
"PIEDRA SAN ANTONIO","no","no, as reported","estimate is consistent with original report","NO"
"PUERTECITOS","no","no, as reported","estimate is consistent with original report","NO"
"SAN FELIPE","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO LIBERTAD","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA LOBOS","no","no, as reported","estimate is consistent with original report","NO"
"LOS BAÑOS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA GUSTAVO DIAZ ORDAZ (BACURATO)","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA DE TEACAPAN","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO LAS LAJITAS","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO EL HECHO","no","no, as reported","estimate is consistent with original report","NO"
"BARRA DE PIAXTLA","no","no, as reported","estimate is consistent with original report","NO"
"CERRITOS","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA SUR","no","no, as reported","estimate is consistent with original report","NO"
"MEDINA","no","no, as reported","estimate is consistent with original report","NO"
"PEÑASCO","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA YAVAROS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL NOVILLO","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA KINO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA MIGUEL HIDALGO Y COSTILLA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA GUILLERMO BLAKE AGUILAR (SABINAL)","no","no, as reported","estimate is consistent with original report","NO"
"LA ARENITAS","no","no, as reported","estimate is consistent with original report","NO"
"DIQUE LOS BECOS","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA ADOLFO LOPEZ MATEOS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA JOSEFA ORTIZ DE DOMINGUEZ","no","no, as reported","estimate is consistent with original report","NO"
"RAMPA, LA (DARSENA NO. 1)","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DE CAMICHIN","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE PTA. DE PALAPARES","no","no, as reported","estimate is consistent with original report","NO"
"CABEZA DE CANOA","no","no, as reported","estimate is consistent with original report","NO"
"PASO DE AHUAPAN","no","no, as reported","estimate is consistent with original report","NO"
"PASO DE LOZADA","no","no, as reported","estimate is consistent with original report","NO"
"ESCOLLERA, LA","no","no, as reported","estimate is consistent with original report","NO"
"CANAL DE CUAUTLA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA LA HONDA","no","no, as reported","estimate is consistent with original report","NO"
"MORILLOS, LOS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE YELAPA","no","no, as reported","estimate is consistent with original report","NO"
"PUERTA DEL RIO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LAGUNILLAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA GARABATOS","no","no, as reported","estimate is consistent with original report","NO"
"EL SALTO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA RAMON CORONA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE CAJITITLAN","no","no, as reported","estimate is consistent with original report","NO"
"MONTEON","no","no, as reported","estimate is consistent with original report","NO"
"SAN BRUNO (EN SANTA ROSALIA)","no","no, as reported","estimate is consistent with original report","NO"
"BARRIO LA PLAYA","no","no, as reported","estimate is consistent with original report","NO"
"BUENA VISTA","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO COSTA AZUL","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA SAN JORGE","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA BACHOCO","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE LOBOS","no","no, as reported","estimate is consistent with original report","NO"
"LOS MELAGOS","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA SANALONA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA JOSE LOPEZ PORTILLO (COMEDERO)","no","no, as reported","estimate is consistent with original report","NO"
"SITIO EL EBANITO","no","no, as reported","estimate is consistent with original report","NO"
"CERRO CABEZON","no","no, as reported","estimate is consistent with original report","NO"
"BUCERIAS","no","no, as reported","estimate is consistent with original report","NO"
"CRUZ DE HUANACAXTLE, LA","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE LLANO DEL TIGRE","no","no, as reported","estimate is consistent with original report","NO"
"ISLA DE MEXCALTITAN","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA EL TULE","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA COLORADA","no","no, as reported","estimate is consistent with original report","NO"
"MEZCALA","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA BAHIA DE SAYULITA","no","no, as reported","estimate is consistent with original report","NO"
"LA RIBERA","no","no, as reported","estimate is consistent with original report","NO"
"EL CHINERO 4TO. ESTERO (EN ZONA ESTEROS)","no","no, as reported","estimate is consistent with original report","NO"
"SANTA ROSA","no","no, as reported","estimate is consistent with original report","NO"
"LORETO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EUSTAQUIO BUELNA","no","no, as reported","estimate is consistent with original report","NO"
"EL MAJAHUAL","no","no, as reported","estimate is consistent with original report","NO"
"EL CONCHAL","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE CAIMANERO","no","no, as reported","estimate is consistent with original report","NO"
"EL HUITUSSI","no","no, as reported","estimate is consistent with original report","NO"
"EL CARACOL","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE PERICOS","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA DE LA PEÑITA DE JALTEMBA","no","no, as reported","estimate is consistent with original report","NO"
"CHAGUIN, EL","no","no, as reported","estimate is consistent with original report","NO"
"DARSENA NUM. 2 PTO. SAN BLAS","no","no, as reported","estimate is consistent with original report","NO"
"RIO LERMA-SANTIAGO","no","no, as reported","estimate is consistent with original report","NO"
"MISMALOYA","no","no, as reported","estimate is consistent with original report","NO"
"SAN EVARISTO","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE LA PAZ","no","no, as reported","estimate is consistent with original report","NO"
"SAN JUAN DE LA COSTA","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA ARENA","no","no, as reported","estimate is consistent with original report","NO"
"MULEGE","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO LAS AGUAMITAS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE OHUIRA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LAS HIGUERAS","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO COSPITA","no","no, as reported","estimate is consistent with original report","NO"
"20 DE NOVIEMBRE","no","no, as reported","estimate is consistent with original report","NO"
"CORRAL DEL RISCO","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA, LA","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO DE SAN PABLO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA CORRINCHIS","no","no, as reported","estimate is consistent with original report","NO"
"EL SARGENTO","no","no, as reported","estimate is consistent with original report","NO"
"LA RAMADITA (SAN NICOLAS)","no","no, as reported","estimate is consistent with original report","NO"
"SAN RAFAEL","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA CONCEPCION B.C.SUR.","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO DE SAN CRISTOBAL","no","no, as reported","estimate is consistent with original report","NO"
"PLATANO, EL","no","no, as reported","estimate is consistent with original report","NO"
"LITORAL (TOPOLOBAMPO)","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO LAZARO CARDENAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA A. OBREGON","no","no, as reported","estimate is consistent with original report","NO"
"LOS BARRILES","no","no, as reported","estimate is consistent with original report","NO"
"PICHILINGUE","no","no, as reported","estimate is consistent with original report","NO"
"EL AFERRADO","no","no, as reported","estimate is consistent with original report","NO"
"SAN PEDRO ITZICAN","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA NORTE","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA TOBARI","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA DEL SOL","no","no, as reported","estimate is consistent with original report","NO"
"REC PORTUARIO","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SAN ESTEBAN","no","no, as reported","estimate is consistent with original report","NO"
"SANTO DOMINGO","no","no, as reported","estimate is consistent with original report","NO"
"EL SAHUIMARO","no","no, as reported","estimate is consistent with original report","NO"
"NOVILLERO","no","no, as reported","estimate is consistent with original report","NO"
"CANCUN","no","no, as reported","estimate is consistent with original report","NO"
"FLOREñO, EL","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE PESCADERO","no","no, as reported","estimate is consistent with original report","NO"
"CALIXTRA, LA","no","no, as reported","estimate is consistent with original report","NO"
"VADO DE VILLA JUAREZ","no","no, as reported","estimate is consistent with original report","NO"
"EL MEZCAL","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO MALINES","no","no, as reported","estimate is consistent with original report","NO"
"TAPO REVOLUCION","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA AGUA GRANDE","no","no, as reported","estimate is consistent with original report","NO"
"RIO DIQUES Y CANALES","no","no, as reported","estimate is consistent with original report","NO"
"MARISMA EL HUIZACHE","no","no, as reported","estimate is consistent with original report","NO"
"TAPO POZO DE LA HACIENDA","no","no, as reported","estimate is consistent with original report","NO"
"BAJOS DEL TIO NICHO","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA EL CAIMANERO","no","no, as reported","estimate is consistent with original report","NO"
"EL TORTUGO","no","no, as reported","estimate is consistent with original report","NO"
"LOS SABALOS","no","no, as reported","estimate is consistent with original report","NO"
"BALNEARIO VENECIA","no","no, as reported","estimate is consistent with original report","NO"
"DAUTILLOS","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO EL COLORADITO","no","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NO.63","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA TEACAPAN","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE STA. CRUZ","no","no, as reported","estimate is consistent with original report","NO"
"VENA DE PERICOS","no","no, as reported","estimate is consistent with original report","NO"
"EL DELGADITO","no","no, as reported","estimate is consistent with original report","NO"
"CABO SAN LUCAS","no","no, as reported","estimate is consistent with original report","NO"
"MIRAMAR","no","no, as reported","estimate is consistent with original report","NO"
"CHICURA","no","no, as reported","estimate is consistent with original report","NO"
"EL PLATANITO","no","no, as reported","estimate is consistent with original report","NO"
"ALTATA","no","no, as reported","estimate is consistent with original report","NO"
"EL SALADO","no","no, as reported","estimate is consistent with original report","NO"
"LITORAL (MAZATLAN)","no","no, as reported","estimate is consistent with original report","NO"
"EL MANGLITO","no","no, as reported","estimate is consistent with original report","NO"
"EL PINO","no","no, as reported","estimate is consistent with original report","NO"
"SAN LUCAS","no","no, as reported","estimate is consistent with original report","NO"
"BOCANA SANTO DOMINGO","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA LA GRINGA","no","no, as reported","estimate is consistent with original report","NO"
"ATICAMA","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA EL PE%ON (AGUSTINA RAMIREZ)","no","no, as reported","estimate is consistent with original report","NO"
"RIO AMECA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL ERMITAÑO","no","no, as reported","estimate is consistent with original report","NO"
"ESCOLLERA DE SAN FELIPE","no","no, as reported","estimate is consistent with original report","NO"
"EL SIARIC","no","no, as reported","estimate is consistent with original report","NO"
"LA PITAYA","no","no, as reported","estimate is consistent with original report","NO"
"EL JUNCALITO (B.C.S.)","no","no, as reported","estimate is consistent with original report","NO"
"ISLA ANGEL DE LA GUARDA","no","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NO.75","no","no, as reported","estimate is consistent with original report","NO"
"LITORAL (ESCUINAPA)","no","no, as reported","estimate is consistent with original report","NO"
"PRESA CALDERON","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO SECO","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA SAN FRANCISQUITO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA VICENTE VILLASEÑOR","no","no, as reported","estimate is consistent with original report","NO"
"EL DESEMBOQUE","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE NAVACHISTE","no","no, as reported","estimate is consistent with original report","NO"
"CANAL DE PERICOS","no","no, as reported","estimate is consistent with original report","NO"
"LIGUI","no","no, as reported","estimate is consistent with original report","NO"
"LAS ISLITAS","no","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NO.134","no","no, as reported","estimate is consistent with original report","NO"
"EL OSTIAL","no","no, as reported","estimate is consistent with original report","NO"
"LOS VIVEROS","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"EL VERDE CAMACHO","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO FCO. VILLA","no","no, as reported","estimate is consistent with original report","NO"
"IXTAPA","no","no, as reported","estimate is consistent with original report","NO"
"TEHUECO, VEGA Y DIQUE EL RI$ON","no","no, as reported","estimate is consistent with original report","NO"
"RANCHITO, EL","no","no, as reported","estimate is consistent with original report","NO"
"GUAYMAS","no","no, as reported","estimate is consistent with original report","NO"
"COSTA AZUL (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PUNTA SANTA ANA","no","no, as reported","estimate is consistent with original report","NO"
"LOS FRAILES","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DE TOMATLAN","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA PRIETA","no","no, as reported","estimate is consistent with original report","NO"
"SISTEMA DE RIEGO EN ANGOSTURA","no","no, as reported","estimate is consistent with original report","NO"
"EL MOGOTE","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA LOS PEINES Y EL SALADO","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA DEL ROSITA","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE SANTA MARIA","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE LA BATANGA","no","no, as reported","estimate is consistent with original report","NO"
"JUAN JOSE RIOS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DEL CONCHAL","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA CHIRICAHUETO","no","no, as reported","estimate is consistent with original report","NO"
"LAS BOCAS","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA ARENA (EN BAHIA CONCEPCION)","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA REFUGIO (I. ANGEL DE LA GUARDA)","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA CALAVERA","no","no, as reported","estimate is consistent with original report","NO"
"FRENTE A NUEVO VALLARTA","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA EL LEON","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA PESCADERO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA MOCUZARIT","no","no, as reported","estimate is consistent with original report","NO"
"PAREDONCITO","no","no, as reported","estimate is consistent with original report","NO"
"LA DRAGA Y EL PUYEQUE","no","no, as reported","estimate is consistent with original report","NO"
"SITIO FIDENCIO","no","no, as reported","estimate is consistent with original report","NO"
"LA PESQUERIA","no","no, as reported","estimate is consistent with original report","NO"
"CASCABELES","no","no, as reported","estimate is consistent with original report","NO"
"PUENTE, EL","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO EL COLORADO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA OJO DE AGUA","no","no, as reported","estimate is consistent with original report","NO"
"SAN BRUNO","no","no, as reported","estimate is consistent with original report","NO"
"RIO HARDY","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DE ALAMO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO SANTA MARIA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA LAS FLORES","no","no, as reported","estimate is consistent with original report","NO"
"AGUAS CONTINENTALES DEL ESTADO DE SINALOA","no","no, as reported","estimate is consistent with original report","NO"
"PERDON, EL","no","no, as reported","estimate is consistent with original report","NO"
"LAS BRISAS (CULT.)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LAS GUASIMAS","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA GOMEZ FARIAS","no","no, as reported","estimate is consistent with original report","NO"
"NOPALERA, LA","no","no, as reported","estimate is consistent with original report","NO"
"EL RIITO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO ATANASIA","no","no, as reported","estimate is consistent with original report","NO"
"EL VERTEDOR","no","no, as reported","estimate is consistent with original report","NO"
"EL CARDONAL (EN LA PAZ)","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DEL TULE","no","no, as reported","estimate is consistent with original report","NO"
"PRESA """"CHARCO AZUL""""","no","no, as reported","estimate is consistent with original report","NO"
"SAN JOSE","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO ISLA DE LA PIEDRA","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO LOBOS","no","no, as reported","estimate is consistent with original report","NO"
"PIEDRA BOLA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO BOCA DE TOMATES","no","no, as reported","estimate is consistent with original report","NO"
"PARAJE VIEJO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO SAN JOSE","no","no, as reported","estimate is consistent with original report","NO"
"SANTA LUGARDA","no","no, as reported","estimate is consistent with original report","NO"
"CAMAHUIROA","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE SAN ANDRES","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA SAN FRANCISCO","no","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO #136","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE ALTATA Y ENSENADA DEL PABELLON","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE SANTA MARIA LA REFORMA","no","no, as reported","estimate is consistent with original report","NO"
"EL MANGUITO","no","no, as reported","estimate is consistent with original report","NO"
"PESQ. MEXICO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO SAN JUAN, CANGREJOS Y TORTUGAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA JOYA","no","no, as reported","estimate is consistent with original report","NO"
"JOSEFA ORTIZ DE DOMINGUEZ (PRESA)","no","no, as reported","estimate is consistent with original report","NO"
"PRESA MONTENEGRO","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO DE LIMONES","no","no, as reported","estimate is consistent with original report","NO"
"LITORAL (NAVOLATO)","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA DE LASTRE","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL PUYECON","no","no, as reported","estimate is consistent with original report","NO"
"BOCANITA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA AGUA PRIETA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO DE URIAS","no","no, as reported","estimate is consistent with original report","NO"
"EL TORNILLAL","no","no, as reported","estimate is consistent with original report","NO"
"EL SAUZOSO","no","no, as reported","estimate is consistent with original report","NO"
"CELESTINO GASCA","no","no, as reported","estimate is consistent with original report","NO"
"POZO CHINO","no","no, as reported","estimate is consistent with original report","NO"
"ZAPOTE DE PICAHOS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE CEUTA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA CIENEGA DE GALVANES","no","no, as reported","estimate is consistent with original report","NO"
"AGUAS CONTINENTALES (RIO SAN LORENZO)","no","no, as reported","estimate is consistent with original report","NO"
"EL BORRASCOSO","no","no, as reported","estimate is consistent with original report","NO"
"MARMOL","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA RED","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO SANTA CATARINA","no","no, as reported","estimate is consistent with original report","NO"
"COLOMO, EL","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL GRANDE","no","no, as reported","estimate is consistent with original report","NO"
"EL MERO","no","no, as reported","estimate is consistent with original report","NO"
"LITORAL (ROSARIO)","no","no, as reported","estimate is consistent with original report","NO"
"PRESA CUAUHTEMOC","no","no, as reported","estimate is consistent with original report","NO"
"LA BRECHA TEACAPAN","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA DE SAN MIGUEL","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE BANDERAS","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO DON ABEL","no","no, as reported","estimate is consistent with original report","NO"
"BARRIO DE LA PLAYA","no","no, as reported","estimate is consistent with original report","NO"
"LA VENTANA","no","no, as reported","estimate is consistent with original report","NO"
"ROBLITO, EL","no","no, as reported","estimate is consistent with original report","NO"
"LA CHOYA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO BECERRA","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DEL RIO MAYO","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO LOS ESPEJOS","no","no, as reported","estimate is consistent with original report","NO"
"LA MANGA","no","no, as reported","estimate is consistent with original report","NO"
"LO DE MARCO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN ONOFRE","no","no, as reported","estimate is consistent with original report","NO"
"LA PIONIA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LA BANDERA","no","no, as reported","estimate is consistent with original report","NO"
"RUBEÑA, LA (RIO SANTIAGO)","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL MORIJO","no","no, as reported","estimate is consistent with original report","NO"
"ISLA CERRALVO","no","no, as reported","estimate is consistent with original report","NO"
"BUENA VISTA (EN LOS CABOS)","no","no, as reported","estimate is consistent with original report","NO"
"CHORROS, LOS","no","no, as reported","estimate is consistent with original report","NO"
"LAS TINAJAS","no","no, as reported","estimate is consistent with original report","NO"
"LAS LABRADAS","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO LAGUNA LA PESCA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA DE HURTADO","no","no, as reported","estimate is consistent with original report","NO"
"GUASIMA, LA","no","no, as reported","estimate is consistent with original report","NO"
"EL FARITO","no","no, as reported","estimate is consistent with original report","NO"
"ISLA DE LA PIEDRA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA LAS TORTUGAS Y MATAIZA","no","no, as reported","estimate is consistent with original report","NO"
"SAN JOSE DEL CABO, B.C.S.","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO VALLARTA","no","no, as reported","estimate is consistent with original report","NO"
"AZTLAN DE LAS GARZAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL TULE","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA FINAL","no","no, as reported","estimate is consistent with original report","NO"
"SAN MIGUEL NO. 2","no","no, as reported","estimate is consistent with original report","NO"
"ISLA CATALANA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL CHINO","no","no, as reported","estimate is consistent with original report","NO"
"LOS DIQUES","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LOS HORCONES","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA PEÑITAS","no","no, as reported","estimate is consistent with original report","NO"
"SAN CARLOS","no","no, as reported","estimate is consistent with original report","NO"
"ANEXO EMBARCADERO SAN MIGUEL","no","no, as reported","estimate is consistent with original report","NO"
"EL PARDITO","no","no, as reported","estimate is consistent with original report","NO"
"SAN JAVIER","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA SANTA INES","no","no, as reported","estimate is consistent with original report","NO"
"TEMBABICHE","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DE LUGO","no","no, as reported","estimate is consistent with original report","NO"
"EL PATOLE","no","no, as reported","estimate is consistent with original report","NO"
"ESPINO, EL","no","no, as reported","estimate is consistent with original report","NO"
"MEXICALI","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SANTA CATALINA","no","no, as reported","estimate is consistent with original report","NO"
"CORRALES","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO EL CORDON","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO AGUA VERDE","no","no, as reported","estimate is consistent with original report","NO"
"CABO HARO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA SAUCEDA","no","no, as reported","estimate is consistent with original report","NO"
