locality,state,CVE_ENT,municipality_coded,CVE_MUN,inventory_score,inventory_status,inventory_product,n_sites_cited,data_publicly_downloadable,confidence,notes,sources,date_checked
Yavaros (Isla las Viejas),Sonora,26,Huatabampo,33,0,none_found,none,,no,medium,No Huatabampo municipal beach-access inventory found.,,2026-07-28
El Colorado,Sinaloa,25,Ahome,1,0,none_found,none,,no,medium,No Ahome municipal beach-access inventory found.,,2026-07-28
Topolobampo,Sinaloa,25,Ahome,1,0,none_found,none,,no,medium,No Ahome municipal beach-access inventory found.,,2026-07-28
Ejiodo Cerro Cabezon,Sinaloa,25,Guasave,11,0,none_found,none,,no,low,No Guasave municipal beach-access inventory found.,,2026-07-28
La Reforma,Sinaloa,25,Angostura,2,0,none_found,none,,no,low,No Angostura municipal beach-access inventory found.,,2026-07-28
Mazatlán,Sinaloa,25,Mazatlán,12,0.75,completed_not_public,Operadora y Administradora de Playas — matriz de 65 accesos enviada a SEMARNAT,65,no,high,"Municipality delivered a matrix of 65 beach accesses to SEMARNAT for formal inscription (20 Cerritos–Valentino + 45 toward Crestón). Not released as public GIS. Separate Mapa de Playas tracks beach capacity/aforo not access-rights inventory. Score 0.75.",https://pmxnoticias.com/local/acceso-a-playas-en-mazatlan-envian-a-semarnat-el-registro-de-65-accesos/; https://www.noroeste.com.mx/mazatlan/buscara-gobierno-de-mazatlan-concesion-de-10-accesos-a-playas-para-garantizar-el-paso-libre-cada-500-metros-IK10386943; https://tics.mazatlan.gob.mx/mapa-playas/?lang=es,2026-07-28
Teacapán,Sinaloa,25,Escuinapa,9,0,none_found,none,,no,medium,No Escuinapa municipal beach-access inventory found.,,2026-07-28
Altata,Sinaloa,25,Navolato,18,0,none_found,none,,no,medium,No Navolato/Altata municipal beach-access inventory found.,,2026-07-28
San Blas,Nayarit,18,San Blas,12,0,none_found,none,,no,medium,No San Blas municipal beach-access inventory found.,,2026-07-28
La Colonia,Nayarit,18,Compostela,4,0,none_found,none,,no,medium,No Compostela municipal beach-access inventory found.,,2026-07-28
La Peñita de Jaltemba,Nayarit,18,Compostela,4,0,none_found,none,,no,medium,No Compostela municipal beach-access inventory found.,,2026-07-28
Sayulita,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas Atlas / access census (municipio-wide).,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas; https://onbahiamagazine.com/avanza-bahia-de-banderas-en-el-mapeo-y-proteccion-del-acceso-libre-a-sus-playas/; https://metropolibahia.com/archivos/57885,2026-07-28
La Cruz de Huanacaxtle,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas municipio inventory.,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas,2026-07-28
Bucerías,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas municipio inventory.,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas,2026-07-28
Mezcales,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas municipio inventory.,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas,2026-07-28
Las Jarretaderas,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas municipio inventory.,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas,2026-07-28
Nuevo Vallarta,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas municipio inventory.,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas,2026-07-28
Punta Mita,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,"Inherits Bahía de Banderas municipio inventory; press also notes severe access privatization in Punta Mita corridor.",https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas; https://badeba.media/comunidad/solo-21-accesos-para-130-playas-de-bahia-revela-municipio/,2026-07-28
Lo de Marcos,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas municipio inventory.,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas,2026-07-28
Higuera Blanca,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas municipio inventory.,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas,2026-07-28
Flamingos,Nayarit,18,Bahía de Banderas,20,0.75,completed_not_public,Atlas Municipal de Playas (IMPLAN Bahía de Banderas) — first stage,100+,no,high,Inherits Bahía de Banderas municipio inventory.,https://implan.bahiadebanderas.gob.mx/noticias/se-presenta-la-primera-etapa-del-atlas-de-playas-de-bahia-de-banderas,2026-07-28
Las Juntas,Jalisco,14,Puerto Vallarta,67,0,none_found,none,,no,medium,"Puerto Vallarta has recent ZOFEMAT delimitation updates (federal strip plans) but no municipal beach-access inventory/atlas comparable to Bahía de Banderas or Los Cabos. Tourism guides are not scored as inventories.",https://tribunadelabahia.com.mx/delimitacion-zona-federal-puerto-vallarta-zofemat/; https://www.noticiaspv.com.mx/puerto-vallarta-actualizacion-planos-zofemat-limites-playa/,2026-07-28
Puerto Vallarta,Jalisco,14,Puerto Vallarta,67,0,none_found,none,,no,medium,"ZOFEMAT delimitation/planos updated 2026 (concession/fee geometry) — not a beach-access inventory. No municipal atlas/catálogo of public beach accesses found. Score 0.",https://tribunadelabahia.com.mx/delimitacion-zona-federal-puerto-vallarta-zofemat/; https://vallarta.meridiano.mx/2026/04/30/actualizan-los-limites-de-la-zona-federal-en-vallarta/,2026-07-28
Yelapa,Jalisco,14,Cabo Corrientes,20,0,none_found,none,,no,medium,No Cabo Corrientes municipal beach-access inventory found.,,2026-07-28
