state,CVE_ENT,municipality_coded,CVE_MUN,office_municipality,n_study_localities,study_localities,has_local_zofemat_office,office_type,office_name,website,n_employees,budget_mxn,budget_year,presupuesto_note,phone,email,address,responsable,hours,convenio_semarnat,collects_derechos,facebook,profepa_state_office,profepa_address,profepa_phone,profepa_email,profepa_contact,profepa_url,profepa_hours,profepa_hotline,confidence,date_checked,sources,other_notes
Sinaloa,25,Guasave,11,Guasave,1,Ejiodo Cerro Cabezon,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sinaloa (Culiacán),"Prolongación Ángel Flores 1248-201 Pte, Centro, C.P. 80000, Culiacán, Sin.",667-716-50-17,pedro.leon@profepa.gob.mx,Biol. Pedro Luis León Rubio,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office found Jul 2026,
Sinaloa,25,Mazatlán,12,Mazatlán,1,Mazatlán,proposed,proposed_municipal_admin,Dirección Municipal de ZOFEMAT (propuesta; beach functions partly under Operadora/Administradora de Playas),https://mazatlan.gob.mx/,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sinaloa (Culiacán),"Prolongación Ángel Flores 1248-201 Pte, Centro, C.P. 80000, Culiacán, Sin.",667-716-50-17,pedro.leon@profepa.gob.mx,Biol. Pedro Luis León Rubio,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),medium,2026-07-15,https://sonplayas.com/playas/quieren-crear-direccion-municipal-de-zofemat-en-mazatlan-para-vigilar-playas/,Press (Son Playas): Ayuntamiento analyzing creation of municipal ZOFEMAT direction under convenio with SEMARNAT/PROFEPA; requires Cabildo. Not confirmed as fully created in this search.
Sinaloa,25,Navolato,18,Navolato,1,Altata,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sinaloa (Culiacán),"Prolongación Ángel Flores 1248-201 Pte, Centro, C.P. 80000, Culiacán, Sin.",667-716-50-17,pedro.leon@profepa.gob.mx,Biol. Pedro Luis León Rubio,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office for Altata Jul 2026,
Sonora,26,Benito Juárez,71,Benito Juárez,1,Paredón Colorado,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office for Paredón Colorado Jul 2026,
Sonora,26,Empalme,25,Empalme,1,Empalme,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office found Jul 2026,
Sonora,26,Guaymas,29,Guaymas,2,San Carlos Nuevo Guaymas; Guaymas,unclear,unknown,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio list; no dedicated Guaymas/San Carlos ZOFEMAT direction page found Jul 2026,Covers Guaymas and San Carlos Nuevo Guaymas localities.
Sonora,26,Hermosillo,30,Hermosillo,1,Bahía de Kino,unclear,unknown,,https://www.hermosillo.gob.mx/,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio list (Hermosillo); no dedicated Bahía de Kino ZOFEMAT office page found Jul 2026,Large inland capital municipality; Kino is a coastal locality — check Ecología/Tesorería for ZOFEMAT trámites.
Sonora,26,Huatabampo,33,Huatabampo,1,Yavaros (Isla las Viejas),no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office for Yavaros Jul 2026,
Sonora,26,Pitiquito,47,Pitiquito,1,Puerto Libertad,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio list; no dedicated ZOFEMAT office found for Puerto Libertad Jul 2026,
Sonora,26,Puerto Peñasco,48,Puerto Peñasco,1,Puerto Peñasco,yes,municipal_admin,Dirección de la Zona Federal Marítimo Terrestre (ZOFEMAT),https://puertopenasco.gob.mx/,,,,,638-108-2200 (ayuntamiento); press also cites 638-383-4226,,"Ayuntamiento / Blvd. Freemont S/N y Benito Juárez, Puerto Peñasco, Sonora","Luis César García González (Director ZOFEMAT, cited 2024)",,historic_yes,likely_yes,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),high,2026-07-15,https://puertopenasco.gob.mx/; https://www.elimparcial.com/son/sonora/2024/08/16/trabajan-en-plan-para-garantizar-libre-acceso-a-playas-de-penasco/; https://sonplayas.com/playas/quieren-crear-direccion-municipal-de-zofemat-en-mazatlan-para-vigilar-playas/,Active on beach cleaning and libre acceso plan with SEMARNAT. Cited as model municipality by Mazatlán officials. Issues municipal anuencias for SEMARNAT renewals (press).
Sonora,26,San Ignacio Río Muerto,72,San Ignacio Río Muerto,1,Bahía de Lobos,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic convenio; no dedicated office for Bahía de Lobos Jul 2026,
Sonora,26,San Luis Río Colorado,55,San Luis Río Colorado,1,Golfo de Santa Clara,no,none_found,,,,,,,,,,,,historic_yes,unknown,,OR PROFEPA Sonora (Hermosillo),"Blvd. Solidaridad esq. Luis Donaldo Colosio, Edificio B Negoplaza 2° piso, Villa Satélite, C.P. 83200, Hermosillo, Son.",662-213-61-74; 662-213-61-46,beatriz.carranza@profepa.gob.mx,Lic. Beatriz Eugenia Carranza Meza,https://www.profepa.gob.mx/,Mon–Fri 9:00–18:00,01 800 776 3372 (denuncia ambiental PROFEPA),low,2026-07-15,SEMARNAT historic Sonora convenio list; Jul 2026 web search — no municipal ZOFEMAT unit found for Golfo de Santa Clara,Small fishing locality; functions if any likely central municipal offices in SLRC (inland).
