area,description,event_name,region,location_text,additional_location_info,initial_date,final_date,event_year,event_biblio
70,Minimum (localized patch along El Mogote/La Paz waterfront): ~10–20 km²; Likely (occupies much/most of Ensenada de La Paz): ~50–90 km²; Upper plausible bound (inner bay + spread along channels toward Pichilingue / Tecolote): ~120–250 km²,MX-17-009,Baja California Sur,Bahia de La Paz,"El Mogote, BahÌa de La Paz, Baja California sur",6/2/17,6/28/17,2017,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/785933/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2017.pdf
80,; Likely (occupies most of Altata Norte over the 2-month period): ~60–100 km²; Upper plausible bound (Altata Norte + connecting channels/fringe basins; occasional export toward Altata/Dautillos mouths): ~120–200 km²,MX-17-008,Sinaloa,Altata Norte,NA,5/26/17,7/28/17,2017,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/785933/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2017.pdf://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
40,Minimum (short-lived patch along El Mogote/La Paz waterfront or a channel reach): ~10–20 km²; Likely (localized event filling part of the Ensenada de La Paz and/or channels): ~20–60 km²; Upper plausible bound (inner bay plus spread along channels toward Pichilingue/Tecolote): ~120–200 km²,MX-17-005,Baja California Sur,Bahia de La Paz,NA,3/13/17,3/15/17,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
265,; Likely (multiple connected basins within the complex): ~180–350 km²; Upper plausible bound (system-wide expression across most of the lagoon; brief export outside Boca La Reforma): ~450–650 km²,MX-17-003,Sinaloa,La Reforma,NA,2/2/17,2/22/17,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
300,"Minimum (one or two sub-basins, patchy): ~80–150 km²; Likely (large fraction of the lagoon complex over the 5-week period): ~200–400 km²; Upper plausible bound (system-wide inside the lagoon; brief export through Altata/Dautillos): ~500–700 km²",MX-17-002,Sinaloa,Navolato,NA,1/23/17,3/1/17,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
2500,"Minimum (localized coastal bands near population centers & shoals): ~200–500 km², Likely (substantial fraction of the Upper Gulf with patchy, advected slicks): ~1,500–3,500 km²; Upper plausible bound (basin-wide surface expression at times during the months-long event): ~5,000–8,000 km²",MX-17-001,Sonora,Alto Golfo de California,NA,1/26/17,5/9/17,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
170,"Minimum (one or several coves / inner segment): ~30–60 km²; Likely (large portion of the bay over a month): ~120–220 km²; Upper plausible bound (most of the bay, episodically): ~250–350 km²",MX-16-002,Baja California Sur,MulegÈ,NA,1/12/16,2/9/16,2016,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
425,"Minimum (patchy belts 0.5–1 km wide over tens of km): ~80–150 km²; Likely (belts ~2–4 km wide along large portions of the 100–130 km coast during the 2-week episode): ~250–600 km²; Upper plausible bound (brief coast-wide belts 8–12 km wide during calm/stratified periods + shoal patches): ~900–1,500 km²",MX-16-001,Baja California,Mexicali,NA,1/16/16,1/28/16,2016,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-15-012,Sinaloa,BahÌa de Mazatl·n,NA,10/17/15,11/3/15,2015,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-15-010,Sinaloa,BahÌa de Mazatl·n,NA,9/14/15,9/22/15,2015,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
85,"Minimum (localized patch in inner bay/channel): ~10–20 km²; Likely (occupies much/most of Bahía de Altata during the 9-day episode): ~60–110 km²; Upper plausible bound (bay-wide + short plume toward the Altata mouth): ~120–200 km²
If there was clear export onto the adjacent shelf, add a brief nearshore plume of ~20–60 km².",MX-15-004,Sinaloa,BahÌa de Altata,NA,2/26/15,3/6/15,2015,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
1100,"Minimum (a few bays + short island/baja belts active at any one time): ~200–400 km²; Likely (multi-month episode with recurrent belts 2–4 km wide along large portions of the Baja coast and the island front, plus partial occupation of several bays): ~800–1,400 km²; Upper plausible bound (wider/longer belts 8–12 km at times along 200–250 km of shoreline + most named bays involved): ~2,200–3,200 km²",MX-15-003,Baja California,"BahÌas San Luis, Gonzaga, Guadalupe, Los ƒngeles, de las ¡nimas, San Rafael",in front of Angel de la Guarda Island,2/25/15,6/12/15,2015,"ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2015. https://www.gob.mx/cms/uploads/attachment/file/201769/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2015.pdf Medina-Elizalde J, GarcÌa-Mendoza E, Turner AD, S·nchez-Bravo YA, Murillo-MartÌnez R (2018). Transformation and Depuration of Paralytic Shellfish Toxins in the Geoduck Clam Panopea globosa From the Northern Gulf of California. Front. Mar. Sci. 5:335. Doi  10.3389/fmars.2018.00335"
170,"Minimum (one or several coves / inner segment): ~30–60 km²; Likely (large portion of the bay over a month): ~120–220 km²; Upper plausible bound (most of the bay, episodically): ~250–350 km²",MX-15-002,Baja California Sur,MulegÈ,NA,2/4/15,2/17/15,2015,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
800,"Minimum (patchy belts 0.5–1 km wide over tens of km): ~150–300 km²; Likely (recurrent belts 2–4 km wide along large portions of the 220–260 km coast over six weeks): ~500–1,200 km²; Upper plausible bound (episodes with wider belts 8–12 km for stretches + shoal patches): ~1,500–2,500 km²",MX-15-001,Baja California,"San Felipe Puertecitos, Puerto de San Felipe y Alto Golfo de California",From Puertecitos to the upper Gulf of California,1/13/15,2/24/15,2015,"ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2015. https://www.gob.mx/cms/uploads/attachment/file/201769/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2015.pdf.  Medina-Elizalde J, GarcÌa-Mendoza E, Turner AD, S·nchez-Bravo YA, Murillo-MartÌnez R (2018). Transformation and Depuration of Paralytic Shellfish Toxins in the Geoduck Clam Panopea globosa From the Northern Gulf of California. Front. Mar. Sci. 5:335. Doi  10.3389/fmars.2018.00335"
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-14-012 ,Sinaloa,BahÌa de Mazatl·n,NA,3/21/14,3/31/14,2014,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
80,Minimum (localized band/patch off La Cruz/Bucerías): ~10–20 km²; Likely (along-shore belt 1–3 km wide from Bucerías toward Punta de Mita; partial inner-bay involvement): ~40–120 km²; Upper plausible bound (inner-bay swath plus advection toward the bay center/coast): ~200–400 km²,MX-14-011,Nayarit,La Cruz de Huanacaxtle,NA,3/18/14,3/28/14,2014,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
60,"Minimum (localized inner-bay patch): ~8–15 km²; Likely (occupies much/most of Bahía del Colorado during the ~3-week episode): ~40–80 km²; Upper plausible bound (sub-basin + connecting channels, brief spread toward Dautillos/Altata mouths): ~100–160 km²",MX-14-006,Sinaloa,BahÌa del Colorado,NA,5/19/14,6/6/14,2014,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-14-001,Baja California,Bahia de la Paz,NA,NA,NA,2014,"G·rate-Liz·rraga, I. 2014. Proliferation of Levanderina fissa and Polykrikos hartmannii (Dinophyceae: Gymnodiniales) in BahÌa de la Paz, Gulf of California, MÈxico. CICIMAR Oce·nides 29 (2): 25-35."
20,"Minimum (single cove/embayment at Pichilingue): ~2–5 km²; Likely (along-shore belt 1–2 km offshore from Pichilingue toward Tecolote, plus the channel): ~10–30 km²; Upper plausible bound (belt along most of the Pichilingue–Tecolote coast + short spread toward Ensenada de La Paz or Espíritu Santo south shore): ~40–80 km²",MX-13-024,Baja California Sur,Pichilingue,NA,3/7/13,3/11/13,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
85,"Minimum (localized patch in inner bay/channel): ~10–20 km²; Likely (occupies much/most of Bahía de Altata during the 9-day episode): ~60–110 km²; Upper plausible bound (bay-wide + short plume toward the Altata mouth): ~120–200 km²
If there was clear export onto the adjacent shelf, add a brief nearshore plume of ~20–60 km².",MX-13-023,Sinaloa,BahÌa de Altata,NA,1/17/13,1/18/13,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-13-019,Baja California Sur,Bahia de La Paz,NA,6/18/13,6/20/13,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
45,"Minimum (localized inner-bay patch): ~6–12 km²; Likely (occupies much/most of the bay during the ~5-week episode): ~30–60 km²; Upper plausible bound (bay-wide + channels/near-mouth plume): ~80–130 km²
If a short coastal plume formed outside the mouth during calm periods, add ~10–40 km² for nearshore belts.",MX-13-017,Sonora,BahÌa Salina,NA,12/20/13,1/24/14,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
60,Minimum (localized inner-bay patch): ~8–15 km²;Likely (most of the bay affected during late-summer month): ~40–80 km²; Upper plausible bound (bay-wide + channels/near-mouth + brief coastal plume outside the mouth): ~100–180 km²,MX-13-016,Sonora,BahÌa Salina,NA,8/20/13,9/18/13,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
20,Minimum: ~2–5 km² (single cove/lee side); Likely: ~10–30 km² (belt 1–2 km offshore along adjacent coast + channel); Upper bound: ~60–120 km² (longer belt along Espíritu Santo/Partida + short spread toward Pichilingue/Tecolote),MX-13-015 ,Baja California Sur,RincÛn de las Ballenas,NA,7/15/13,8/23/13,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
80,Minimum (localized belt/patch off Nuevo Vallarta only): ~10–20 km²; Likely (belt 1–3 km offshore along much of Nuevo Vallarta → Bucerías; partial inner-bay spread): ~40–120 km²; Upper plausible bound (wider belt 4–8 km at times and extension toward La Cruz / central bay): ~180–320 km²,MX-13-012,Nayarit,Nuevo Vallarta,NA,3/15/13,4/8/13,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
90,Minimum (confined to south-bay shoreline + Urías mouth/near-channel): ~15–30 km²; Likely (south half to most of Mazatlán Bay + partial penetration a few km into Urías channel; 1–3 km offshore): ~60–120 km²; Upper plausible bound (bay-wide involvement at times + ~5–10 km alongshore plume south of Isla de la Piedra and a few km offshore): ~150–250 km²,MX-13-011,Sinaloa,Mazatlan Bay and Urias Estuary,In the south of the Mazatl·n Bay and at the mouth of the UrÌas Estuary,3/6/13,3/23/13,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016.https://www.gob.mx/cms/uploads/attachment/file/162939/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2013.pdf and http://www.conabio.gob.mx/institucion/proyectos/resultados/MU009_Anexo_Libro_resumenes.pdf
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-12-026,Sinaloa,BahÌa de Mazatl·n,NA,11/4/12,12/6/12,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
350,"Minimum (one inner-bay sector—e.g., Nuevo Vallarta ↔ La Cruz—belt 1–3 km offshore): ~40–120 km²; Likely (multi-sector along-shore belts on both Nayarit and Jalisco sides; partial spread toward bay center): ~200–500 km²; Upper plausible bound (bay-wide swaths episodically during the event): ~600–900 km²",MX-12-024,Nayarit,BahÌa de Banderas,NA,10/20/12,11/5/12,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
60,Minimum (single beach reach or near the Morúa inlet): ~8–15 km²; Likely (belts ~1–3 km wide along much of the 40–60 km coast during the short episode): ~30–90 km²; Upper plausible bound (brief widening to ~4–6 km and/or extension both NW toward La Cholla and SE past Las Conchas): ~150–250 km²,MX-12-022,Sonora,Puerto PeÒasco,NA,10/5/12,10/8/12,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-12-021,Baja California Sur,Bahia de La Paz,NA,10/3/12,10/10/12,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-12-019,Baja California Sur,Bahia de La Paz,NA,6/27/12,7/10/12,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-12-018,Baja California Sur,Bahia de La Paz,NA,6/8/12,6/15/12,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-12-015,Sinalo,BahÌa de Mazatl·n,NA,5/7/12,5/28/12,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
20,Minimum: ~2–5 km² (single cove/lee side); Likely: ~10–30 km² (belt 1–2 km offshore along adjacent coast + channel); Upper bound: ~60–120 km² (longer belt along Espíritu Santo/Partida + short spread toward Pichilingue/Tecolote),MX-12-006,Baja California Sur,RincÛn de las Ballenas,NA,6/29/12,7/31/12,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
80,Minimum (persistent patches along the La Paz waterfront/El Mogote): ~30–50 km²; Likely (most of the Ensenada de La Paz occupied repeatedly over the 2-month event): ~60–100 km²; Upper plausible bound (inner bay + advection along the channels toward Pichilingue / partial spill toward Espíritu Santo south shore): ~150–250 km²,MX-12-003,Baja California Sur,La Ensenada de la Paz Shore,NA,9/12/12,11/9/12,2012,"LÛpez-CortÈs, D. J., Band-Schmidt, C. J., Bustillos-Guzm·n, J. J., Hern·ndez-Sandoval, F. E., Mendoza-Flores, A., N˙Òez-V·zquez, E. J. 2014. Environmental Conditions during a bloom of Cochlodinium polykrikoides (Gymnodiniales, Dinophyceae) in Ensenada de La Paz, Gulf of California. Revista de BiologÌa Marina y OceanografÌa. 49 (1): 97-110."
2,Minimum (patch confined to one basin/nearshore swale): ~0.5–1 km²; Likely (most of the Balandra lagoon affected): ~1–3 km²; Upper plausible bound (entire lagoon + short belt outside the mouth toward El Tecolote/Pichilingue): ~5–12 km²,MX-11-015,Baja California Sur,Caleta Balandra,Playa Balandra,NA,NA,2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6356608/pdf/marinedrugs-17-00013.pdf
40,; Likely (belt 1–3 km offshore along most Cabo San Lucas beaches and adjacent coast toward Cabo Bello; intermittent inside the bay): ~20–60 km²; Upper plausible bound (wider swath 4–6 km for stretches extending both NW toward Cabo Falso and SE along the corridor): ~100–200 km²,MX-11-008,Baja California Sur,Cabo San Lucas,NA,6/17/11,6/25/11,2011,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-11-006,Sinaloa,BahÌa de Mazatl·n,NA,1/10/11,1/15/11,2011,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
20,Minimum: ~2–5 km² (single cove/lee side); Likely: ~10–30 km² (belt 1–2 km offshore along adjacent coast + channel); Upper bound: ~60–120 km² (longer belt along Espíritu Santo/Partida + short spread toward Pichilingue/Tecolote),MX-11-003,Baja California Sur,RincÛn de las Ballenas,NA,9/15/11,9/24/11,2011,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
2,Minimum (few leeward coves only; narrow 50–100 m belt): ~0.3–0.6 km²; Likely (continuous reef ring 100–300 m wide around much of the island): ~0.8–2.4 km² (round-number: ~1–3 km²); Upper plausible bound (broad reef platform 0.5–0.7 km wide on multiple sides + small satellite rocks): ~3–5.5 km²,MX-11-001,Nayarit,Isabel Island,NA,NA,NA,2011,"CortÈs-Altamirano, R. 2012. Two new localities for Gambierdiscus toxicus in the Mexican Pacific. Harmful Algae News. 45: 10-11"
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-10-017,Sinaloa,BahÌa de Mazatl·n,NA,11/26/10,11/29/10,2010,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
10,; Likely (belt 1–3 km offshore along most Cabo San Lucas beaches and adjacent coast toward Cabo Bello; intermittent inside the bay): ~20–60 km²; Upper plausible bound (wider swath 4–6 km for stretches extending both NW toward Cabo Falso and SE along the c,MX-10-016,Playa Coromuel,NA,3/11/10,3/12/10,2010,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
