locs,standardized_name,state,region,lat,lon,GofC
San Felipe,San Felipe,Baja California,NA,31.03,-114.85,Gulf of California
Mexican Caribbean Coast,Caribbean coast of Mexico,Quintana Roo/Yucatán,Outside study region,20.5,-87,Caribbean
Canal San Lorenzo,Canal de San Lorenzo,Baja California Sur,"entrance/channel to Bahía de La Paz, near Espíritu Santo–Pichilingue",24.39,-110.23,Gulf of California
BahÌa de la Paz,Bahía de La Paz,Baja California Sur,NA,24.2,-110.3,Gulf of California
San Jose Island,Isla San José,Baja California Sur,north of La Paz,24.9,-110.58,Gulf of California
Big Lagoonˇand Eel River,Big Lagoon & Eel River,"Humboldt Co., CA, USA",Outside study region,40.82,-124.18,Pacific
Alameda Oriente Lake,Lago de Alameda Oriente,Outside study region (CDMX),Parque Ecológico,19.42,-99.07,Inland
Chapultepec Lake,Lago de Chapultepec,Outside study region (CDMX),,19.42,-99.19,Inland
Olympic Rowing and Canoeing Track ëëVirgilio Uribeíí,Pista de Remo y Canotaje “Virgilio Uribe”,Cuemanco/Xochimilco,Outside study region (CDMX),19.3,-99.1,Inland
BahÌa Salsipuedes,Bahía Salsipuedes,Baja California,north of Ensenada,31.89,-116.73,Pacific
Bahia de Acapulco,Bahía de Acapulco,Guerrero,outside GoC study states,16.85,-99.91,Pacific
Topolobampo lagoon system,Sistema lagunar de Topolobampo,Sinaloa,Ohuira–Santa María,25.58,-109.04,Gulf of California
Lake Catemaco,Lago de Catemaco,Veracruz,outside GoC states,18.42,-95.12,Inland
Isla EspÌritu Santo,Isla Espíritu Santo,Baja California Sur,NA,24.5,-110.37,Gulf of California
Bahia Kino,Bahía Kino,Sonora,NA,28.83,-111.94,Gulf of California
Kun Kaak Bay,Bahía Kun Kaak,Sonora,"Seri region, near Punta Chueca / Isla Tiburón",29.02,-112.22,Gulf of California
Bahia ConcepciÛn,Bahía Concepción,Baja California Sur,NA,26.76,-111.88,Gulf of California
BahÌa ConcepciÛn,Bahía Concepción,Baja California Sur,NA,26.76,-111.88,Gulf of California
