"estimated_genus_name","Year_of_Recommendation","OHI_region","status_adjusted","control_adjusted","n_species","n_species_original","n_species_gapfilled","carta_provenance"
"haliotis",2023,"region_1","decreasing","decrease",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"hoplopagrus",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"isurus",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"larkinia",2023,"region_1","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"litopenaeus",2012,"region_1","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"lutjanus",2023,"region_1","maximally harvested","no increase",8,8,0,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"lyropecten",2012,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"macrobrachium",2023,"region_1","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"makaira",2012,"region_1","decreasing","decrease",2,0,2,"genus aggregation; mode across 0 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"megapitaria",2023,"region_1","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"megastraea",2023,"region_1","decreasing","decrease",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"merluccius",2022,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"mugil",2023,"region_1","decreasing","decrease",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"muricanthus",2023,"region_1","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"mustelus",2023,"region_1","maximally harvested","no increase",4,4,0,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"nasolamia",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"negaprion",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"octopus",2023,"region_1","maximally harvested","no increase",3,2,1,"genus aggregation; mode across 2 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"oligoplites",2022,"region_1","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"opisthonema",2022,"region_1","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"panopea",2023,"region_1","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"panulirus",2023,"region_1","maximally harvested","no increase",4,2,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"paralabrax",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"phyllonotus",2023,"region_1","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"pinna",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"pisaster",2012,"region_1","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"pontinus",2012,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"prionace",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"rhizoprionodon",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sarda",2012,"region_1","development potential","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sardinops",2022,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"scomber",2022,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"scomberomorus",2023,"region_1","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sebastes",2012,"region_1","maximally harvested","no increase",22,22,0,"genus aggregation; mode across 22 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sphoeroides",2023,"region_1","maximally harvested","no increase",3,0,3,"genus aggregation; mode across 0 original and 3 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sphyrna",2023,"region_1","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"spondylus",2023,"region_1","development potential","increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"stomolophus",2017,"region_1","maximally harvested","no increase",2,1,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"strongylocentrotus",2023,"region_1","decreasing","decrease",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"thunnus",2023,"region_1","decreasing","decrease",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"trachurus",2022,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"triaenodon",2023,"region_1","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"xiphias",2012,"region_1","development potential","increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"alopias",2023,"region_2","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"anadara",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"apostichopus",2023,"region_2","decreasing","decrease",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"argopecten",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"atrina",2023,"region_2","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"callinectes",2023,"region_2","maximally harvested","no increase",3,0,3,"genus aggregation; mode across 0 original and 3 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"carcharhinus",2023,"region_2","maximally harvested","no increase",9,9,0,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"centropomus",2023,"region_2","maximally harvested","no increase",5,5,0,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"cetengraulis",2022,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chione",2023,"region_2","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chionista",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chionopsis",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chondracanthus",2012,"region_2","development potential","increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"crassostrea",2023,"region_2","maximally harvested","no increase",5,1,4,"genus aggregation; mode across 1 original and 4 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"cynoscion",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"dosidicus",2022,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"dosinia",2023,"region_2","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"engraulis",2022,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"etrumeus",2022,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"farfantepenaeus",2017,"region_2","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"galeocerdo",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"galeorhinus",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"gelidium",2012,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"gracilariopsis",2012,"region_2","development potential","increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"gynglymostoma",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"haliotis",2023,"region_2","decreasing","decrease",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"hoplopagrus",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"isurus",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"larkinia",2023,"region_2","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"litopenaeus",2012,"region_2","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"lutjanus",2023,"region_2","maximally harvested","no increase",8,8,0,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"lyropecten",2012,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"macrobrachium",2023,"region_2","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"makaira",2012,"region_2","decreasing","decrease",2,0,2,"genus aggregation; mode across 0 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"megapitaria",2023,"region_2","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"megastraea",2023,"region_2","decreasing","decrease",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"merluccius",2022,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"mugil",2023,"region_2","decreasing","decrease",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"muricanthus",2023,"region_2","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"mustelus",2023,"region_2","maximally harvested","no increase",4,4,0,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"nasolamia",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"negaprion",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"octopus",2023,"region_2","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"oligoplites",2022,"region_2","maximally harvested","no increase",2,1,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"opisthonema",2022,"region_2","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"panopea",2023,"region_2","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"panulirus",2023,"region_2","maximally harvested","no increase",4,2,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"paralabrax",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"phyllonotus",2023,"region_2","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"pinna",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"pisaster",2012,"region_2","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"pontinus",2012,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"prionace",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"rhizoprionodon",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sarda",2012,"region_2","development potential","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sardinops",2022,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"scomber",2022,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"scomberomorus",2023,"region_2","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sebastes",2012,"region_2","maximally harvested","no increase",22,22,0,"genus aggregation; mode across 22 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sphoeroides",2023,"region_2","maximally harvested","no increase",3,0,3,"genus aggregation; mode across 0 original and 3 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"sphyrna",2023,"region_2","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"spondylus",2023,"region_2","development potential","increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"stomolophus",2017,"region_2","maximally harvested","no increase",2,1,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"strongylocentrotus",2023,"region_2","decreasing","decrease",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"thunnus",2023,"region_2","decreasing","decrease",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"trachurus",2022,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"triaenodon",2023,"region_2","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"xiphias",2012,"region_2","development potential","increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"alopias",2023,"region_3","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"anadara",2023,"region_3","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"apostichopus",2023,"region_3","decreasing","decrease",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"argopecten",2023,"region_3","decreasing","decrease",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"atrina",2023,"region_3","maximally harvested","no increase",3,3,0,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"callinectes",2023,"region_3","maximally harvested","no increase",3,1,2,"genus aggregation; mode across 1 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"carcharhinus",2023,"region_3","maximally harvested","no increase",9,9,0,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"centropomus",2023,"region_3","maximally harvested","no increase",5,5,0,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"cetengraulis",2022,"region_3","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chione",2023,"region_3","maximally harvested","no increase",2,2,0,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chionista",2023,"region_3","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chionopsis",2023,"region_3","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"chondracanthus",2012,"region_3","development potential","increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"crassostrea",2023,"region_3","maximally harvested","no increase",5,3,2,"genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"cynoscion",2023,"region_3","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"dosidicus",2022,"region_3","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"dosinia",2023,"region_3","maximally harvested","no increase",1,0,1,"genus aggregation; mode across 0 original and 1 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"engraulis",2022,"region_3","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
"etrumeus",2022,"region_3","maximally harvested","no increase",1,1,0,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)"
