occ_ind,tourism,marine,category1,category2,category3,occ_ind_id,count
"Gardeners in establishments --- Promoters, agents, and representatives of artistic, sports, and similar events",x,,culture-entertainment,maintenance,tourism,5241---7113,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Performing arts and cultural groups",x,,culture-entertainment,maintenance,tourism,9601---7111,1
"Event, sports, and amusement park support workers --- Waste management and remediation services (public sector)",x,,culture-entertainment,maintenance,tourism,9713---5622,1
Singers --- Performing arts and cultural groups,x,,culture-entertainment,performer,tourism,2173---7111,6
Musicians --- Performing arts and cultural groups,x,,culture-entertainment,peformer,tourism,2172---7111,95
"Clowns, mimes, and circus performers --- Performing arts and cultural groups",x,,culture-entertainment,peformer,tourism,2553---7111,3
Singers --- Food and beverage preparation services,x,,culture-entertainment,peformer,tourism,2173---7221,2
Dancers and choreographers --- Performing arts and cultural groups,x,,culture-entertainment,peformer,tourism,2174---7111,1
Composers and arrangers --- Performing arts and cultural groups,x,,culture-entertainment,performer,tourism,2171---7111,1
"Cashiers, ticket sellers, betting clerks, and similar workers --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,service,tourism,3121---7131,19
"Event, sports, and amusement park support workers --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,service,tourism,9713---7131,13
"Cashiers, ticket sellers, betting clerks, and similar workers --- Food and beverage preparation services by workers in mobile units",x,,culture-entertainment,service,tourism,3121---7222,8
Receptionists and information clerks (in-person) --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,service,tourism,3211---7131,6
"Cashiers, ticket sellers, betting clerks, and similar workers --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,service,tourism,3121---7120,3
Event hosts and organizers --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,service,tourism,2552---7131,2
"Sales clerks, dispatchers, and sales associates in stores --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,service,tourism,4211---7131,4
Parking attendants and valets --- Parking lots and garages,x,,culture-entertainment,service,tourism,9633---8122,6
Event hosts and organizers --- Performing arts and cultural groups,x,,culture-entertainment,service,tourism,2552---7111,1
"Sales clerks, dispatchers, and sales associates in stores --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,service,tourism,4211---7120,1
Bathhouse attendants and massage therapists --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,service,tourism,5213---7131,1
"Collection agents, paymasters, and money lenders --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,service,tourism,3122---7131,1
"Technicians in diagnostic and medical treatment equipment, podiatrists, and physical therapists --- Temporary accommodation services",x,,culture-entertainment,service,tourism,2812---7210,2
Sports coaches and technical directors --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,sports,tourism,2562---7131,12
Sports referees and judges --- Professional athletes and sports teams,x,,culture-entertainment,sports,tourism,2563---7112,6
Sports coaches and technical directors --- Professional athletes and sports teams,x,,culture-entertainment,sports,tourism,2562---7112,4
Athletes --- Professional athletes and sports teams,x,,culture-entertainment,sports,tourism,2561---7112,3
Gardeners in establishments --- Professional athletes and sports teams,x,,culture-entertainment,sports,tourism,5241---7112,2
Animal trainers and pet care workers --- Professional athletes and sports teams,x,,culture-entertainment,sports,tourism,5254---7112,2
Physical education and sports instructors --- Professional athletes and sports teams,x,,culture-entertainment,sports,tourism,2716---7112,1
"Event, sports, and amusement park support workers --- Professional athletes and sports teams",x,,culture-entertainment,sports,tourism,9713---7112,1
"Radio, television, and other media announcers --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,sports,tourism,2551---7131,1
"Event, sports, and amusement park support workers --- Radio and television broadcasting",x,,culture-entertainment,sports,tourism,9713---5150,1
Physical therapists and speech therapists --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,sports,tourism,2437---7131,1
"Cashiers, ticket sellers, betting clerks, and similar workers --- Professional athletes and sports teams",x,,culture-entertainment,sports,tourism,3121---7112,1
"Directors and managers in museums, theaters, and other cultural and sports establishments --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,support,tourism,1422---7131,9
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Temporary accommodation services",x,,culture-entertainment,support,tourism,1722---7210,4
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Municipal public administration",x,,culture-entertainment,support,tourism,1722---9314,4
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,support,tourism,5101---7131,3
Accountants and auditors --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,2121---7131,3
"Coordinators and area chiefs in artistic activities, film, theater, and related fields --- Promoters, agents, and representatives of artistic, sports, and similar events",x,,culture-entertainment,support,tourism,1721---7113,3
Supervisors of workers who provide and manage information --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,3201---7131,3
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- State public administration",x,,culture-entertainment,support,tourism,1722---9313,3
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,support,tourism,1722---7131,3
Administrators and professionals in human resources and management systems --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,2111---7131,3
"Administrative, marketing, and international trade assistants --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,support,tourism,2511---7131,2
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Food manufacturing",x,,culture-entertainment,support,tourism,1722---3110,1
"File and correspondence clerks --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,support,tourism,3131---7120,1
"Software and multimedia developers and analysts --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,support,tourism,2271---7120,1
Guards and security personnel in establishments --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,5313---7131,6
Warehouse and stock control workers --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,3132---7131,2
"Event, sports, and amusement park support workers --- Performing arts and cultural groups",x,,culture-entertainment,support,tourism,9713---7111,4
"Accounting, finance assistants, and stockbrokers --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,support,tourism,2512---7131,1
Demonstrators and promoters --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,4231---7131,1
"Accounting, finance assistants, and stockbrokers --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,support,tourism,2512---7120,1
Software and multimedia developers and analysts --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,2271---7131,1
"Workers in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment) --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,support,tourism,2644---7131,2
Supervisors in protection and security services --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,5301---7131,1
"Professionals in archival studies, library science, and museology --- Promoters, agents, and representatives of artistic, sports, and similar events",x,,culture-entertainment,support,tourism,2144---7113,1
"Workers in the care and breeding of other types of animals --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,support,tourism,6127---7120,1
"Professionals and consultants in marketing, advertising, communication, and international trade --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,support,tourism,2112---7131,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Personal services",x,,culture-entertainment,support,tourism,1722---8121,1
"Coordinators and department heads in accounting, financial services, banking, and insurance --- Promoters, agents, and representatives of artistic, sports, and similar events",x,,culture-entertainment,support,tourism,1512---7113,1
"Directors and managers in sales, marketing, and rentals --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,support,tourism,1411---7131,1
"Administrative, marketing, and international trade assistants --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,support,tourism,2511---7120,1
"Administrative support workers in various activities --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,support,tourism,3115---7120,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Promoters, agents, and representatives of artistic, sports, and similar events",x,,culture-entertainment,support,tourism,1722---7113,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Federal public administration",x,,culture-entertainment,support,tourism,1722---9312,1
Instructors in artistic studies and training --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,2712---7131,1
Graphic designers --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,2543---7131,1
Vocational and trade instructors and trainers --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,2715---7131,1
"Directors and managers in museums, theaters, and other cultural and sports establishments --- State public administration",x,,culture-entertainment,support,tourism,1422---9313,1
"Event, sports, and amusement park support workers --- Rental services and rental centers for tangible goods, excluding ground transportation equipment",x,,culture-entertainment,support,tourism,9713---5322,1
Maintenance and repair technicians for machinery and industrial instruments --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,support,tourism,2633---7131,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- NA",x,,culture-entertainment,support,tourism,5101---9800,1
"Coordinators and area chiefs in artistic activities, film, theater, and related fields --- Professional, scientific, and technical services",x,,culture-entertainment,support,tourism,1721---5411,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Private universities and higher education institutions",x,,culture-entertainment,support,tourism,1722---6131,1
"Technicians in installation and repair of networks, equipment, and computer systems --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,technicians,tourism,2651---7131,3
"Assistants and technicians in audio, sound, and lighting engineering --- Food and beverage preparation services",x,,culture-entertainment,technicians,tourism,2654---7221,3
"Assistants and technicians in audio, sound, and lighting engineering --- Performing arts and cultural groups",x,,culture-entertainment,technicians,tourism,2654---7111,2
Technicians in maintenance and repair of precision and musical instruments --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,technicians,tourism,2635---7131,2
"Support workers in mechanical equipment, machinery, metal, and precision product manufacturing, repair, and maintenance --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,technicians,tourism,9231---7131,1
"Operators of machines for cutting, drilling, bending, stamping, welding, and shaping metal pieces and products --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,technicians,tourism,8123---7131,1
"Workers in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment) --- Performing arts and cultural groups",x,,culture-entertainment,technicians,tourism,2644---7111,1
"Supervisors of electrical, electronics, telecommunications, and electromechanical equipment technicians --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,technicians,tourism,2640---7131,1
"Technicians in installation and repair of networks, equipment, and computer systems --- Performing arts and cultural groups",x,,culture-entertainment,technicians,tourism,2651---7111,1
"Bricklayers, masons, and related workers --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,technicians,tourism,7121---7131,1
"Assistants and technicians in audio, sound, and lighting engineering --- Promoters, agents, and representatives of artistic, sports, and similar events",x,,culture-entertainment,technicians,tourism,2654---7113,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Entertainment services at recreational facilities and other recreational services",x,,culture-entertainment,tour-guide,tourism,3222---7131,8
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Tourist transportation",x,,culture-entertainment,tour-guide,tourism,3222---4870,3
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Museums, historical sites, zoos, and similar establishments",x,,culture-entertainment,tour-guide,tourism,3222---7120,2
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- State public administration",x,,culture-entertainment,tour-guide,tourism,3222---9313,2
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Temporary accommodation services",x,,culture-entertainment,tour-guide,tourism,3222---7210,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Municipal public administration",x,,culture-entertainment,tour-guide,tourism,3222---9314,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Travel agencies and reservation services",x,,culture-entertainment,tour-guide,tourism,3222---5615,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Rail transportation",x,,culture-entertainment,tour-guide,tourism,3222---4820,1
Sweepers and cleaning workers (except in hotels and restaurants) --- Travel agencies and reservation services,x,,culture-entertainment,travel_agency,tourism,9621---5615,1
Assistants and technicians in video recording and playback equipment --- Travel agencies and reservation services,x,,culture-entertainment,travel_agency,tourism,2653---5615,1
Travel agency workers --- Travel agencies and reservation services,x,,culture-entertainment,travel_agency,tourism,3221---5615,9
Travel agency workers --- Tourist transportation,x,,culture-entertainment,travel_agency,tourism,3221---4870,2
Travel agency workers --- Entertainment services at recreational facilities and other recreational services,x,,culture-entertainment,travel_agency,tourism,3221---7131,2
Travel agency workers --- Temporary accommodation services,x,,culture-entertainment,travel_agency,tourism,3221---7210,2
"Sales agents, representatives, and consignees --- Travel agencies and reservation services",x,,culture-entertainment,travel_agency,tourism,4221---5615,2
"Directors and managers in administration, human resources, and marketing --- Travel agencies and reservation services",x,,culture-entertainment,travel_agency,tourism,1211---5615,1
Real estate agents --- Travel agencies and reservation services,x,,culture-entertainment,travel_agency,tourism,4223---5615,1
Accountants and auditors --- Travel agencies and reservation services,x,,culture-entertainment,travel_agency,tourism,2121---5615,1
Travel agency workers --- Municipal public administration,x,,culture-entertainment,travel_agency,tourism,3221---9314,1
"Travel agency workers --- Business support services, employment services, and secretarial support",x,,culture-entertainment,travel_agency,tourism,3221---5611,1
Photographers --- Travel agencies and reservation services,x,,culture-entertainment,travel_agency,tourism,2655---5615,1
Fishermen and fishing workers --- Tourist transportation,x,x,culture-entertainment-marine,marine-tourism,tourism,6211---4870,2
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Temporary accommodation services",x,x,culture-entertainment-marine,marine-tourism,tourism,8324---7210,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Fishing",x,x,culture-entertainment-marine,marine-tourism,tourism,3222---1141,1
Captains and operators of maritime transport --- Travel agencies and reservation services,x,x,culture-entertainment-marine,marine-tourism,tourism,8321---5615,1
Captains and operators of maritime transport --- Fishing,x,x,fisheries,fishers,food-provisioning,8321---1141,1
Fishermen and fishing workers --- Fishing,x,x,fisheries,fishers,food-provisioning,6211---1141,161
Support workers in aquaculture and fishing --- Fishing,x,x,fisheries,fishers,food-provisioning,9122---1141,8
"Deck officers, mates, and pilots --- Fishing",x,x,fisheries,fishers,food-provisioning,8322---1141,1
Fisheries and aquaculture professionals --- Fishing,x,x,fisheries,fishers,food-provisioning,2234---1141,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Fishing",x,x,fisheries,fishers,food-provisioning,8324---1141,1
"Fishermen and fishing workers --- Street vending of groceries, food, beverages, and tobacco",x,x,fisheries,fishers,food-provisioning,6211---4612,1
"Fishermen and fishing workers --- Retail trade of groceries, food, beverages, ice, and tobacco",x,x,fisheries,fishers,food-provisioning,6211---4611,1
"Workers in the processing of meat, fish, and related products --- Fishing",x,x,fisheries,processing,food-provisioning,7511---1141,2
Workers in processing fish and aquaculture products --- Fishing,x,x,fisheries,processing,food-provisioning,6213---1141,1
Administrators and professionals in human resources and management systems --- Fishing,x,x,fisheries,support,food-provisioning,2111---1141,1
"Truck, van, and freight vehicle drivers --- Fishing",x,x,fisheries,support,food-provisioning,8341---1141,1
Guards and security personnel in establishments --- Fishing,x,x,fisheries,support,food-provisioning,5313---1141,2
Motor vehicle mechanics --- Fishing,x,x,fisheries,support,food-provisioning,2632---1141,2
"Mobile machinery operators for moving goods in factories, ports, commerce, etc. --- Fishing",x,x,fisheries,support,food-provisioning,8352---1141,1
Sweepers and cleaning workers (except in hotels and restaurants) --- Fishing,x,x,fisheries,support,food-provisioning,9621---1141,1
Mechanical engineers --- Fishing,x,x,fisheries,support,food-provisioning,2252---1141,1
Warehouse and stock control workers --- Fishing,x,x,fisheries,support,food-provisioning,3132---1141,1
Support workers in the textile and footwear industries --- Fishing,x,,fisheries,worker,food-provisioning,9235---1141,1
Sweepers and cleaning workers (except in hotels and restaurants) --- Food and beverage preparation services,x,,food_services,general,tourism,9621---7221,7
"Truck, van, and freight vehicle drivers --- Food and beverage preparation services",x,,food_services,general,tourism,8341---7221,11
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Food and beverage preparation services",x,,food_services,general,tourism,5101---7221,85
Accountants and auditors --- Food and beverage preparation services,x,,food_services,general,tourism,2121---7221,6
Administrative support workers in various activities --- Food and beverage preparation services,x,,food_services,general,tourism,3115---7221,5
"Accounting, finance assistants, and stockbrokers --- Food and beverage preparation services",x,,food_services,general,tourism,2512---7221,5
"Directors and managers in administration, human resources, and marketing --- Food and beverage preparation services",x,,food_services,general,tourism,1211---7221,4
Supervisors of sales and financial services employees --- Food and beverage preparation services,x,,food_services,general,tourism,4201---7221,3
"Coordinators and department heads in administration, human resources, and marketing --- Food and beverage preparation services",x,,food_services,general,tourism,1511---7221,2
"Directors and managers in sales, marketing, and rentals --- Food and beverage preparation services",x,,food_services,general,tourism,1411---7221,2
"Taco makers, fast food preparers, and snack vendors --- Food and beverage preparation services",x,,food_services,general,tourism,5114---7221,546
Waiters --- Food and beverage preparation services,x,,food_services,general,tourism,5116---7221,413
Street food vendors and small-scale food merchants --- Food and beverage preparation services,x,,food_services,general,tourism,5112---7221,294
Food preparation assistants --- Food and beverage preparation services,x,,food_services,general,tourism,9411---7221,267
Cooks --- Food and beverage preparation services,x,,food_services,general,tourism,5111---7221,253
Street food vendors and preparers --- Food and beverage preparation services by workers in mobile units,x,,food_services,general,tourism,9521---7222,192
"Street food vendors and preparers --- Street vending of groceries, food, beverages, and tobacco",x,,food_services,general,tourism,9521---4612,146
"Workers in the production of bread, tortillas, pastries, and other cereal and flour products --- Food and beverage preparation services",x,,food_services,general,tourism,7513---7221,107
"Cashiers, ticket sellers, betting clerks, and similar workers --- Food and beverage preparation services",x,,food_services,general,tourism,3121---7221,104
Motorcycle drivers --- Food and beverage preparation services,x,,food_services,general,tourism,8344---7221,50
Bartenders --- Food and beverage preparation services,x,,food_services,general,tourism,5115---7221,42
Waiters --- Temporary accommodation services,x,,food_services,general,tourism,5116---7210,42
Cooks --- Temporary accommodation services,x,,food_services,general,tourism,5111---7210,38
"Sales clerks, dispatchers, and sales associates in stores --- Food and beverage preparation services",x,,food_services,general,tourism,4211---7221,35
"Waiters --- Business support services, employment services, and secretarial support",x,,food_services,general,tourism,5116---5611,24
Food preparation assistants --- Food and beverage preparation services by workers in mobile units,x,,food_services,general,tourism,9411---7222,19
"Support workers in the food, beverage, and tobacco industries --- Food and beverage preparation services",x,,food_services,general,tourism,9236---7221,14
Cooks --- Retail trade in department stores and self-service stores,x,,food_services,general,tourism,5111---4620,10
"Workers in the production of sugar, chocolate, and confectionery products --- Food and beverage preparation services",x,,food_services,general,tourism,7515---7221,9
Retail merchants --- Food and beverage preparation services,x,,food_services,general,tourism,4111---7221,8
"Street food vendors and preparers --- Retail trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,9521---4611,8
"Taco makers, fast food preparers, and snack vendors --- Food manufacturing",x,,food_services,general,tourism,5114---3110,7
Street food vendors and preparers --- Food and beverage preparation services,x,,food_services,general,tourism,9521---7221,7
Street food vendors and small-scale food merchants --- Food manufacturing,x,,food_services,general,tourism,5112---3110,7
"Workers in the production of bread, tortillas, pastries, and other cereal and flour products --- Food and beverage preparation services by workers in mobile units",x,,food_services,general,tourism,7513---7222,7
"Sales agents, representatives, and consignees --- Food and beverage preparation services",x,,food_services,general,tourism,4221---7221,6
"Taco makers, fast food preparers, and snack vendors --- Retail trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,5114---4611,6
"Cooks --- Retail trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,5111---4611,5
Street food vendors and preparers --- Food manufacturing,x,,food_services,general,tourism,9521---3110,5
Waiters --- NA,x,,food_services,general,tourism,5116---9800,4
Workers in the production of alcoholic and non-alcoholic beverages --- Food and beverage preparation services,x,,food_services,general,tourism,7517---7221,3
"Support workers in the food, beverage, and tobacco industries --- Food and beverage preparation services by workers in mobile units",x,,food_services,general,tourism,9236---7222,3
Cooks --- NA,x,,food_services,general,tourism,5111---9800,3
Motorcycle drivers --- Food and beverage preparation services by workers in mobile units,x,,food_services,general,tourism,8344---7222,2
Street food vendors and preparers --- Beverage and tobacco manufacturing,x,,food_services,general,tourism,9521---3120,2
Merchandise delivery workers (on foot or bicycle) --- Food and beverage preparation services,x,,food_services,general,tourism,9723---7221,2
Waiters --- Food and beverage preparation services by workers in mobile units,x,,food_services,general,tourism,5116---7222,2
Workers in the production of alcoholic and non-alcoholic beverages --- Food and beverage preparation services by workers in mobile units,x,,food_services,general,tourism,7517---7222,2
"Support workers in the food, beverage, and tobacco industries --- Retail trade in department stores and self-service stores",x,,food_services,general,tourism,9236---4620,2
"Street food vendors and small-scale food merchants --- Retail trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,5112---4611,2
Food preparation assistants --- NA,x,,food_services,general,tourism,9411---9700,2
Coordinators and department heads in restaurants and hotels --- Retail trade in department stores and self-service stores,x,,food_services,general,tourism,1712---4620,1
Waiters --- Food manufacturing,x,,food_services,general,tourism,5116---3110,1
Other workers in food and beverage preparation and service in establishments --- Food and beverage preparation services,x,,food_services,general,tourism,5119---7221,1
Food preparation assistants --- Retail trade in department stores and self-service stores,x,,food_services,general,tourism,9411---4620,1
Event hosts and organizers --- Food and beverage preparation services,x,,food_services,general,tourism,2552---7221,1
Demonstrators and promoters --- Food and beverage preparation services,x,,food_services,general,tourism,4231---7221,1
Receptionists and information clerks (in-person) --- Food and beverage preparation services,x,,food_services,general,tourism,3211---7221,4
Guards and security personnel in establishments --- Food and beverage preparation services,x,,food_services,general,tourism,5313---7221,14
"Support workers in the food, beverage, and tobacco industries --- Wholesale trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,9236---4310,4
Maintenance and repair technicians for machinery and industrial instruments --- Food and beverage preparation services,x,,food_services,general,tourism,2633---7221,1
Electricians and linemen --- Food and beverage preparation services,x,,food_services,general,tourism,2642---7221,1
"Food preparation assistants --- Computer, communication, measurement, and other electronic equipment manufacturing",x,,food_services,general,tourism,9411---3340,1
"Workers in the production of fruit, vegetable, and legume-based products --- Food and beverage preparation services",x,,food_services,general,tourism,7514---7221,3
"Taco makers, fast food preparers, and snack vendors --- Personal services",x,,food_services,general,tourism,5114---8121,1
"Taco makers, fast food preparers, and snack vendors --- Beverage and tobacco manufacturing",x,,food_services,general,tourism,5114---3120,1
"Support workers in the food, beverage, and tobacco industries --- Street vending of groceries, food, beverages, and tobacco",x,,food_services,general,tourism,9236---4612,1
Maintenance and repair mechanics for machinery and industrial instruments --- Food and beverage preparation services,x,,food_services,general,tourism,2634---7221,1
"Support workers in the food, beverage, and tobacco industries --- Business support services, employment services, and secretarial support",x,,food_services,general,tourism,9236---5611,1
Database and computer network administrators --- Food and beverage preparation services,x,,food_services,general,tourism,2272---7221,1
"Cooks --- Wholesale trade of machinery, equipment, and furniture for agricultural, industrial, service, and commercial activities, and other general-purpose machinery and equipment",x,,food_services,general,tourism,5111---4350,1
"Taco makers, fast food preparers, and snack vendors --- Business support services, employment services, and secretarial support",x,,food_services,general,tourism,5114---5611,1
"Waiters --- Retail trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,5116---4611,1
"Taco makers, fast food preparers, and snack vendors --- Food and beverage preparation services by workers in mobile units",x,,food_services,general,tourism,5114---7222,1
Vocational and trade instructors and trainers --- Food and beverage preparation services,x,,food_services,general,tourism,2715---7221,1
"Mechanics in installation, repair, and maintenance of refrigeration, climate control, and air conditioning equipment --- Food and beverage preparation services",x,,food_services,general,tourism,2638---7221,1
"Bartenders --- Retail trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,5115---4611,1
"Taco makers, fast food preparers, and snack vendors --- NA",x,,food_services,general,tourism,5114---9700,1
"Taco makers, fast food preparers, and snack vendors --- Retail trade in department stores and self-service stores",x,,food_services,general,tourism,5114---4620,1
"Cooks --- Wholesale trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,5111---4310,1
"Food preparation assistants --- Retail trade of household appliances, computers, home decor, and used items",x,,food_services,general,tourism,9411---4661,1
Food preparation assistants --- NA,x,,food_services,general,tourism,9411---9800,1
Messengers and couriers (on foot or bicycle) --- Food and beverage preparation services,x,,food_services,general,tourism,9722---7221,1
Street food vendors and small-scale food merchants --- Households with domestic employees,x,,food_services,general,tourism,5112---8140,1
"Plumbers, pipefitters, and pipeline installers --- Food and beverage preparation services",x,,food_services,general,tourism,7134---7221,1
"Street food vendors and preparers --- Wholesale trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,9521---4310,1
Street food vendors and small-scale food merchants --- NA,x,,food_services,general,tourism,5112---9700,1
