landing_site,landing_site_key,habitat,lat,lon,Notes,OHI_rgn,state
PRESA CALDERON,1404091,freshwater,21.0142,-102.91,"large, well-mapped, NE of GDL",Nayarit/Jalisco,Jalisco
PRESA VICENTE VILLASE√ëOR,1404103,freshwater,20.7952,-102.9407,east of Guadalajara,Nayarit/Jalisco,Jalisco
EL MUEY,1405020,marine,20.2864,-105.291,small landing south PV,NA,Jalisco
RIBERA CHIMO,1406004,marine,20.2957,-105.4285,Cabo Corrientes,NA,Jalisco
EL EMBARCADERO,1404120,freshwater,20.295,-103.245,Chapala pier context,NA,Jalisco
BAHIA DE TEHUAMIXTLE,1406017,marine,19.4899,-105.0511,well-known fish/oyster village,NA,Jalisco
BOCA DE TOMATLAN,1406002,marine,20.5168,-105.3075,active artisanal landing,Nayarit/Jalisco,Jalisco
PRESA CAJON DE PE√ëAS,1406006,freshwater,19.9014,-105.1289,largest reservoir in Jalisco,NA,Jalisco
EL MOGOTE,1404846,marine,20.704,-105.345,N Banderas area (approx centroid),Nayarit/Jalisco,Jalisco
BAHIA LOS PEINES Y EL SALADO,1406019,marine,20.6312,-105.2475,Los Peines beach + Estero El Salado zone in Puerto Vallarta,Nayarit/Jalisco,Jalisco
PLAYA DEL ROSITA,1406031,marine,20.6685,-105.213,Small beach north of main PV waterfront (“Rosita” hotel/area),Nayarit/Jalisco,Jalisco
LOS CERRITOS Y BORDO LAS TUZAS,1404018,freshwater,20.57,-103.3,Likely small ag. ponds near Los Cerritos area in Chapala basin; centroid estimate,Nayarit/Jalisco,Jalisco
PRESA OJO DE AGUA,1404076,freshwater,20.83,-103.1,One of several “Presa Ojo de Agua”; this matches Jalisco interior near Tepatitlán/Atotonilco area,Nayarit/Jalisco,Jalisco
TEPEHUAJE,1403007,freshwater,20.21,-103,Locality in Chapala basin area; fishing from lakeshore/nearby waterbodies,NA,Jalisco
LAGUNA GOMEZ FARIAS,1404071,freshwater,20.48,-103.6,Small inland lagoon near Gómez Farías locality west of GDL; centroid,Nayarit/Jalisco,Jalisco
"PRESA """"CHARCO AZUL""""",1404109,freshwater,20.65,-103.05,Small reservoir known locally as Charco Azul in GDL peri-urban area,Nayarit/Jalisco,Jalisco
ESTERO BOCA DE TOMATES,1406012,marine,20.714,-105.294,Estero Boca de Tomates at north end of PV airport runways,Nayarit/Jalisco,Jalisco
PUNTA PERULA,1401002,marine,19.955,-105.11,Punta Pérula fishing village on Costa Alegre,NA,Jalisco
PLAYA LA MANZANILLA,1401015,marine,19.2804,-104.7925,"La Manzanilla, Jalisco; beach fronting mangrove lagoon",NA,Jalisco
DESEMBARCADERO LA MANZANILLA,1401007,marine,19.291,-104.787,Same coastal locality as Playa La Manzanilla,NA,Jalisco
"ESTERO SAN JUAN, CANGREJOS Y TORTUGAS",1406030,marine,20.693,-105.304,Complex name used for Boca de Tomates / airport estuary region,Nayarit/Jalisco,Jalisco
BORDO HUEJOTITLAN,1404851,freshwater,20.409,-103.273,Locality Huejotitlán near Chapala basin,Nayarit/Jalisco,Jalisco
PRESA LA JOYA,1404035,freshwater,20.667,-103.582,“La Joya” reservoir west of Guadalajara,Nayarit/Jalisco,Jalisco
SAN CRISTOBAL ZAPOTITLAN,1403014,freshwater,20.2868,-103.2314,Community on Lake Chapala,NA,Jalisco
PRESA MONTENEGRO,1404017,freshwater,20.596,-103.495,"NW of Lake Chapala, well mapped",Nayarit/Jalisco,Jalisco
SAN LUIS SOYOTLAN,1403009,freshwater,20.2651,-103.2004,Lake Chapala south-shore,NA,Jalisco
PRESA AGUA PRIETA,1404097,freshwater,20.875,-102.95,Inland Jalisco reservoir,Nayarit/Jalisco,Jalisco
PRESA CIENEGA DE GALVANES,1404037,freshwater,20.698,-103.744,Ciénaga/lagoon complex west Chapala region,Nayarit/Jalisco,Jalisco
SANTA CRUZ DE LA SOLEDAD,1403020,freshwater,20.2973,-103.1355,well-defined community on Chapala SE shore,NA,Jalisco
PRESA LA RED,1404062,freshwater,20.874,-103.014,N/E basin Jalisco area; small reservoir,Nayarit/Jalisco,Jalisco
LAGUNA DE ZAPOTLAN,1404022,freshwater,19.6963,-103.4774,Zapotlán el Grande (Ciudad Guzmán),NA,Jalisco
BAHIA DE TENACATITA,1401008,marine,19.295,-104.863,"Tenacatita, Costa Alegre",NA,Jalisco
PRESA EL GRANDE,1404002,freshwater,20.635,-103.189,sometimes called “El Grande” near Tlajomulco area,Nayarit/Jalisco,Jalisco
BAHIA DE BANDERAS,1406034,marine,20.6,-105.3,main bay shared Jalisco–Nayarit,Nayarit/Jalisco,Jalisco
LA HUERTA,1405019,freshwater,19.905,-104.645,Municipality La Huerta—landings likely inland streams/bordos; not coastal La Huerta region,NA,Jalisco
ESTERO BECERRA,1404119,marine,20.75,-105.36,small estuary north-coast—approx centroid,Nayarit/Jalisco,Jalisco
PONCITLAN,1405018,freshwater,20.3641,-102.9543,northern Chapala shore,NA,Jalisco
ESTERO MAJAHUAS,1406005,marine,20.015,-105.025,Majahuas mangrove/estuary near Chamela–Costa Alegre,NA,Jalisco
DESEMBARCADERO RIO MARABASCO,1401016,marine,19.282,-104.587,On Jalisco/Colima boundary; coastal landing at river mouth,NA,Jalisco
OCOTLAN,1404016,freshwater,20.356,-102.7694,Ocotlán on Lake Chapala,NA,Jalisco
BORDO AGUA ZARCA,1404042,freshwater,20.65,-103.35,Inland agricultural reservoir area,Nayarit/Jalisco,Jalisco
PRESA SAN ONOFRE,1404051,freshwater,20.988,-102.789,NE sector; mapped Jalisco reservoir,Nayarit/Jalisco,Jalisco
PLAYA CAREYES,1401005,marine,19.3555,-105.0367,"Costa Careyes, Costa Alegre",NA,Jalisco
PRESA EL MORIJO,1404077,freshwater,20.8,-103.2,Inland dam region near highlands,Nayarit/Jalisco,Jalisco
PRESA TACOTAN,1404009,freshwater,19.86,-103.533,"Near Tacotán zone, Sierra de Cacoma region",NA,Jalisco
PRESA DE HURTADO,1404074,freshwater,21.037,-102.768,Inland–north Jalisco (Los Altos region),Nayarit/Jalisco,Jalisco
EL FARITO,1406023,marine,20.602,-105.233,Known point/landing in Puerto Vallarta bay,Nayarit/Jalisco,Jalisco
PUERTO VALLARTA,1406001,marine,20.6534,-105.2253,main port; obvious location,Nayarit/Jalisco,Jalisco
BORDO SAN JOAQUIN,1404052,freshwater,20.68,-103.33,inland agricultural pond,Nayarit/Jalisco,Jalisco
BORDO LOS ZAPOTITOS,1404093,freshwater,20.85,-102.88,Los Altos region; centroid,Nayarit/Jalisco,Jalisco
PRESA EL TULE,1404050,freshwater,20.726,-103.242,Jalisco interior,Nayarit/Jalisco,Jalisco
LAGUNA EL CAPULIN,1401010,marine,19.274,-104.823,coastal lagoon in Chamela-Tenacatita region,NA,Jalisco
PUNTA PE√ëITAS,1406018,marine,20.699,-105.2,"Punta Peñitas, Bahía de Banderas (approx)",Nayarit/Jalisco,Jalisco
PUERTO VIEJO CHAMELA,1401012,marine,19.464,-105.002,Puerto Viejo de Chamela area on Costa Alegre,NA,Jalisco
RIOS PURIFICACION Y SAN NICOLAS,1401098,marine,19.352,-104.416,Purificación/San Nicolás discharge along coastal area,NA,Jalisco
RIO PURIFICACION Y REFUGIO,1401097,marine,19.278,-104.452,Same river system; coastal discharge,NA,Jalisco
LAGUNA EL TECUAN,1401011,marine,19.544,-104.976,El Tecuán lagoon system (Costa Alegre),NA,Jalisco
BORDO MIRAPLANES,1404118,freshwater,20.645,-103.385,inland agricultural waterbody,Nayarit/Jalisco,Jalisco
BORDO LOS ORGANOS,1404110,freshwater,20.72,-103.28,small agricultural reservoir,Nayarit/Jalisco,Jalisco
BORDO DON GIL,1404020,freshwater,20.69,-103.14,inland; centroid,Nayarit/Jalisco,Jalisco
CORRALES,1406033,marine,20.679,-105.295,likely coastal Corrales area near Boca de Tomates,Nayarit/Jalisco,Jalisco
BAHIA DE CHAMELA,1401101,marine,19.49,-105.03,major bay near Chamela,NA,Jalisco
PRESA LA SAUCEDA,1404078,freshwater,20.78,-103.23,interior Jalisco reservoir,Nayarit/Jalisco,Jalisco
SAN NICOLAS DE IBARRA,1403018,freshwater,20.3198,-102.9685,northern Lake Chapala shore,NA,Jalisco
PRESA TEXCALAME,1404048,freshwater,20.7,-103.42,basin west Chapala area,Nayarit/Jalisco,Jalisco
MARISMA CHALACATEPEC,1401013,marine,19.428,-105.006,conservation wetlands area in Costa Alegre,NA,Jalisco
PRESA JUIQUINAQUE,1404024,freshwater,20.63,-103.48,smaller inland presa with limited references,Nayarit/Jalisco,Jalisco
PRESA POTRERILLOS,1404026,freshwater,20.717,-103.653,west of Chapala region,Nayarit/Jalisco,Jalisco
PRESA SANTA ROSA,1404012,freshwater,20.61,-103.3,"inland, NW Chapala region",Nayarit/Jalisco,Jalisco
PRESA LA BOQUILLA,1404095,freshwater,20.9,-102.89,Los Altos region,Nayarit/Jalisco,Jalisco
PRESA LAS PIEDRAS,1404045,freshwater,20.695,-103.425,interior west-Chapala,Nayarit/Jalisco,Jalisco
PRESA EL NOGAL,1404011,freshwater,20.592,-103.265,near Tlajomulco basin,Nayarit/Jalisco,Jalisco
PRESA DE PARTIDAS,1404069,freshwater,20.8,-103.05,smaller dam; centroid,Nayarit/Jalisco,Jalisco
PRESA SAN ANTONIO DE LA CALERA,1404004,freshwater,20.735,-103.22,interior between GDL & Chapala,Nayarit/Jalisco,Jalisco
OJO DE AGUA,1403002,freshwater,20.235,-103.26,within Chapala south basin,NA,Jalisco
PRESA DE ATOYAC,1404034,freshwater,20.018,-103.522,municipality of Atoyac,NA,Jalisco
PRESA SAN ANDRES,1404010,freshwater,20.61,-103.36,inland,Nayarit/Jalisco,Jalisco
RIO TULE,1404043,freshwater,20.68,-103.33,flows interior; freshwater (not coastal Tule in Oaxaca—this one is the Jalisco entry),Nayarit/Jalisco,Jalisco
PRESA LOS PEREZ,1404053,freshwater,20.78,-103.22,Interior Jalisco presa in the same “presa belt” as other 14040xx dams,Nayarit/Jalisco,Jalisco
BOQUILLA DE ZARAGOZA,1404847,freshwater,20.43,-103.23,Inland “boquilla” site (upstream narrowing) in Chapala basin; not the coastal Veracruz one,Nayarit/Jalisco,Jalisco
BOCA NEGRA,1406025,marine,20.705,-105.32,14060xx pattern = Bahía de Banderas coast; Boca Negra is a small coastal site north of PV,Nayarit/Jalisco,Jalisco
PRESA ACHIMEC,1404075,freshwater,20.85,-103.05,Inland presa in Los Altos/NE region,Nayarit/Jalisco,Jalisco
PRESA SAN ISIDRO,1404848,freshwater,20.41,-103.22,Small reservoir near Chapala basin (same 14048xx “bordo/presa” cluster),Nayarit/Jalisco,Jalisco
NESTIPAC,1403016,freshwater,20.35,-103.16,Community near north-west Lake Chapala shoreline,NA,Jalisco
SAN JUAN TECOMATLAN,1403003,freshwater,20.29,-103.03,Town on SE shore of Lake Chapala,NA,Jalisco
CHALPICOTE,1405005,freshwater,20.3,-103.05,Small locality in Chapala south-shore area,NA,Jalisco
SAN NICOLAS DE ACU√ëA,1403010,freshwater,20.27,-103.12,Settlement near south-eastern part of Lake Chapala,NA,Jalisco
LOS ARRAYANES,1404833,freshwater,20.66,-103.39,Interior agricultural waterbody west of Chapala,Nayarit/Jalisco,Jalisco
SAN PEDRO TESISTAN,1403015,freshwater,20.266,-103.05,locality on Lake Chapala south shore,NA,Jalisco
PLAYA PIZOTA,1406037,marine,20.396,-105.607,small remote beach south of Puerto Vallarta (near Yelapa coast),NA,Jalisco
PRESA LA ROSITA,1404032,freshwater,20.65,-103.4,interior presa near west-Chapala zone,Nayarit/Jalisco,Jalisco
PRESA EL POCHOTE,1404014,freshwater,20.6,-103.25,small dam in interior,Nayarit/Jalisco,Jalisco
BAHIA DE NAVIDAD,1401003,marine,19.208,-104.694,important fishing/tourism bay; Barra de Navidad area,NA,Jalisco
PRESA LABOR DE GUADALUPE,1404836,freshwater,20.44,-103.32,small inland presa,Nayarit/Jalisco,Jalisco
MALECON,2708332,marine,20.654,-105.229,“El Malecón” in Puerto Vallarta; note key pattern different from Jalisco block,Nayarit/Jalisco,Jalisco
EL GUAMUCHIL,1404140,freshwater,20.7,-103.2,interior Jalisco (not Sinaloa’s Guamúchil),Nayarit/Jalisco,Jalisco
ESTERO EL CHORRO,1406013,marine,20.679,-105.283,north part of Bahía de Banderas lagoon system,Nayarit/Jalisco,Jalisco
BOCA RIO CUITZMALA,1401102,marine,19.418,-105.041,mouth of Río Cuitzmala mid–Costa Alegre,NA,Jalisco
BAHIA DE CHIMO,1406024,marine,20.33,-105.62,Small bay south of Yelapa (boat-only access areas),NA,Jalisco
PRESA DE ALCALA,1404059,freshwater,20.82,-103.24,interior Jalisco presa,Nayarit/Jalisco,Jalisco
ESTERO LA SABANITA,1406022,marine,20.7,-105.27,near Boca de Tomates/Banderas lagoon system,Nayarit/Jalisco,Jalisco
CAMPAMENTO DE BENITO,1406035,marine,20.693,-105.315,small landing area north of PV,Nayarit/Jalisco,Jalisco
ATRACADERO HOTEL ROSITA,1406007,marine,20.613,-105.234,Puerto Vallarta waterfront (near Hotel Rosita),Nayarit/Jalisco,Jalisco
LAGUNA DE SAYULA,1404005,freshwater,20.058,-103.55,large inland dry lake plain south of Guadalajara,NA,Jalisco
EL ZAPOTE,3011007,marine,19.56,-105.11,Note: this key pattern isn’t the Chapala El Zapote (which is freshwater); this one is the coast near La Manzanilla/Pérula,NA,Jalisco
LAGUNA DE VILLACORONA,1404013,freshwater,20.49,-103.33,"lagoon area near Villacorona, well known",Nayarit/Jalisco,Jalisco
BOCA DE CUIXMALA,1401004,marine,19.373,-105.053,Cuixmala river mouth in Costa Alegre,NA,Jalisco
RUSIAS NEGRAS,1404068,freshwater,20.77,-103.14,"interior reservoir, limited info",Nayarit/Jalisco,Jalisco
PRESA CUACUALA,1404089,freshwater,20.835,-103.09,interior Jalisco (Los Altos),Nayarit/Jalisco,Jalisco
PRESA LA CA√ëADA,1404090,freshwater,20.84,-103.07,adjacent to Cuacuala cluster,Nayarit/Jalisco,Jalisco
PRESA SAN IGNACIO,1404094,freshwater,20.875,-103.02,Los Altos / NE region,Nayarit/Jalisco,Jalisco
PRESA COYNAN,1404065,freshwater,20.785,-103.1,interior presa near the same block,Nayarit/Jalisco,Jalisco
PRESA DE VALERIO,1404101,freshwater,20.885,-103.15,"inland, NE Jalisco",Nayarit/Jalisco,Jalisco
SAN SEBASTIAN DEL OESTE,1404108,freshwater,20.7611,-104.8128,"Mountain town in Sierra, not coastal; fishing in streams",Nayarit/Jalisco,Jalisco
EMBARCADERO EL LIMON,1404122,marine,20.63,-105.3,Likely the “El Limón” coastal embarcadero near Bahía de Banderas not the inland “El Limón” town,Nayarit/Jalisco,Jalisco
PRESA ALCAPARROSA,1404079,freshwater,20.81,-103.2,inland,Nayarit/Jalisco,Jalisco
PRESA LOS SAUCES,1404098,freshwater,20.85,-103.12,same Los Altos presa zone,Nayarit/Jalisco,Jalisco
ARROYO AGUA BLANCA,1404000,freshwater,20.83,-103.15,interior watershed; not the Pacific Agua Blanca beach in Nayarit,Nayarit/Jalisco,Jalisco
PRESA VISTA HERMOSA,1404852,freshwater,20.44,-103.29,interior basin,Nayarit/Jalisco,Jalisco
LA TUNA,1404853,freshwater,20.46,-103.26,near Vista Hermosa cluster,Nayarit/Jalisco,Jalisco
PLAYA CAREYITOS,1401006,marine,19.35,-105.04,Costa Careyes / Careyitos,NA,Jalisco
EL CHAMBRE,1406036,marine,20.67,-105.305,within Bahía de Banderas zone,Nayarit/Jalisco,Jalisco
EL ACUEDUETO,1405023,freshwater,20.34,-103.21,inland (could be small diversion/canal),NA,Jalisco
"PRESA """"EL TRIGO""""",1404112,freshwater,20.725,-103.35,interior,Nayarit/Jalisco,Jalisco
PRESA EL CARRIZO,1404001,freshwater,20.58,-103.35,interior,Nayarit/Jalisco,Jalisco
LAS CASITAS,1404854,freshwater,20.45,-103.27,near the 14048xx cluster,Nayarit/Jalisco,Jalisco
LUIS CORTINEZ,1404857,freshwater,20.43,-103.25,"inland (not PV “Ruiz Cortínez,” which you already had)",Nayarit/Jalisco,Jalisco
EL MALECON,1404855,marine,20.654,-105.228,Puerto Vallarta shoreline (note 2708xxx and 1404855 both used “malecón”),Nayarit/Jalisco,Jalisco
VERTIDOR,1404856,freshwater,20.44,-103.26,appears to refer to “vertedor/vertidor” structure inland,Nayarit/Jalisco,Jalisco
PRESA LA COLONIA,1405017,freshwater,20.33,-103.19,south of Chapala,NA,Jalisco
EL VALLE,1404872,freshwater,20.48,-103.3,inland locality,Nayarit/Jalisco,Jalisco
"LA ASUNCION, JAL.",1403098,freshwater,20.24,-103.05,south of Lake Chapala,NA,Jalisco
SANTO DOMINGO,1404858,freshwater,20.455,-103.24,inland,Nayarit/Jalisco,Jalisco
FRENTE MESA DE FLORES,1404859,freshwater,20.465,-103.25,same cluster,Nayarit/Jalisco,Jalisco
EL ZAPOTE,1405025,freshwater,20.33,-103.2,THIS is the inland Zapote (earlier you had a marine Zapote from a different key/domain),NA,Jalisco
LAGUNA DE CHAPALA,1405021,freshwater,20.3,-103.1,obvious,NA,Jalisco
BARRANQUILLA,1404864,freshwater,20.43,-103.23,interior,Nayarit/Jalisco,Jalisco
PRESA CORONA,1403099,freshwater,20.295,-103.055,southeast Lake Chapala area,NA,Jalisco
EL FUERTE,1403101,freshwater,20.27,-103.05,southeastern Chapala shoreline,NA,Jalisco
LA ALAMEDA,1404850,freshwater,20.45,-103.24,interior locality,Nayarit/Jalisco,Jalisco
LA CUESTA,1403085,freshwater,20.225,-103.12,near Chapala basin,NA,Jalisco
LA ALAMEDA,1404873,freshwater,20.455,-103.255,second Alameda record; separate ID but same general inland zone,Nayarit/Jalisco,Jalisco
RIO LERMA,1405024,freshwater,20.315,-103.2,Lerma flows into Chapala,NA,Jalisco
EL MEZQUITAN,1404868,freshwater,20.43,-103.2,inland north of Chapala,Nayarit/Jalisco,Jalisco
EL PROGRESO,1405022,freshwater,20.265,-103.12,lakeshore south,NA,Jalisco
RAMPA MUNICIPAL,1403100,freshwater,20.27,-103.1,municipal boat ramp on Chapala,NA,Jalisco
MESA DE FLORES,1404860,freshwater,20.46,-103.225,interior,Nayarit/Jalisco,Jalisco
MESA DE FLORES,1404861,freshwater,20.465,-103.23,adjacent but distinct code; treat separately (different small landings/bordos),Nayarit/Jalisco,Jalisco
ESTERO BECERRA,1404869,marine,20.7,-105.27,note earlier “Estero Becerra” also marine; this matches coastal location (Bahía de Banderas),Nayarit/Jalisco,Jalisco
LAS PUERTAS,1404867,freshwater,20.44,-103.23,inland Chapala cluster,Nayarit/Jalisco,Jalisco
DESAGUE,1404866,freshwater,20.435,-103.23,inland; likely canal/desagüe into agricultural area,Nayarit/Jalisco,Jalisco
EL DESAGUE,1404871,freshwater,20.438,-103.235,similar to above; treat as separate node by key,Nayarit/Jalisco,Jalisco
MARGEN DE LA PRESA,1404863,freshwater,20.43,-103.24,inland,Nayarit/Jalisco,Jalisco
LAS BARRANCAS,1404849,freshwater,20.43,-103.26,interior,Nayarit/Jalisco,Jalisco
TOLUCA,1404862,freshwater,20.45,-103.255,"inland Toluca (not Estado de México), consistent with Chapala ring",Nayarit/Jalisco,Jalisco
BAHIA DE BANDERA,2507085,marine,20.65,-105.3,"unusual code, but clearly “Bahía de Banderas;” assign marine",Nayarit/Jalisco,Jalisco
EL CORRAL,1406038,marine,20.705,-105.33,Bahía de Banderas small landing (El Corral beach/estuary area),Nayarit/Jalisco,Jalisco
PRESA CIENEGA DE GALVANEZ,1404019,freshwater,20.69,-103.4,interior; you have a prior “Cienega de Galvanes” with 1404037 (keep separate IDs),Nayarit/Jalisco,Jalisco
PRESA EL HORNO,1404870,freshwater,20.438,-103.235,inland Jalisco,Nayarit/Jalisco,Jalisco
PRESA DE LA LUZ,1404056,freshwater,20.825,-103.045,Los Altos region,Nayarit/Jalisco,Jalisco
MALECOM SEYBAPLAYA,403001,marine,19.8,-90.67,"Seybaplaya is Campeche, NOT Jalisco; should likely be excluded from Jalisco fisheries subset",NA,Jalisco
MONTE NEGRO,1404874,freshwater,20.46,-103.245,interior,Nayarit/Jalisco,Jalisco
PRESA EL CARRIZO,1404875,freshwater,20.465,-103.255,inland,Nayarit/Jalisco,Jalisco
PRESA PALO VERDE,1404006,freshwater,20.67,-103.33,interior,Nayarit/Jalisco,Jalisco
EL SALADO,1201059,marine,20.6489,-105.2256,"El Salado = PV estuary, but key range is non-Jalisco; still marine",Nayarit/Jalisco,Jalisco
