occ_ind,occ_ind_id,count
"Support workers in the food, beverage, and tobacco industries --- Food and beverage preparation services",9236---7221,14
"Support workers in the food, beverage, and tobacco industries --- Retail trade of groceries, food, beverages, ice, and tobacco",9236---4611,13
"Event, sports, and amusement park support workers --- Entertainment services at recreational facilities and other recreational services",9713---7131,13
"Motorcycle drivers --- Passenger ground transportation, except rail",8344---4850,13
Hostesses and event attendants --- Food and beverage preparation services,4232---7221,12
Sports coaches and technical directors --- Entertainment services at recreational facilities and other recreational services,2562---7131,12
Food preparation assistants --- Temporary accommodation services,9411---7210,12
"Bus, truck, van, taxi, and passenger vehicle drivers --- Agriculture",8342---1110,11
"Truck, van, and freight vehicle drivers --- Food and beverage preparation services",8341---7221,11
"Transport checkers and inspectors --- Passenger ground transportation, except rail",3142---4850,11
Cooks --- Retail trade in department stores and self-service stores,5111---4620,10
"Plumbers, pipefitters, and pipeline installers --- Temporary accommodation services",7134---7210,10
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Temporary accommodation services",5101---7210,10
Travel agency workers --- Travel agencies and reservation services,3221---5615,9
"Workers in the production of sugar, chocolate, and confectionery products --- Food and beverage preparation services",7515---7221,9
Gardeners in establishments --- Temporary accommodation services,5241---7210,9
"Support workers in the food, beverage, and tobacco industries --- Beverage and tobacco manufacturing",9236---3120,9
Laundry workers in establishments --- Temporary accommodation services,9641---7210,9
"Bus, truck, van, taxi, and passenger vehicle drivers --- State public administration",8342---9313,9
"Bus, truck, van, taxi, and passenger vehicle drivers --- Tourist transportation",8342---4870,9
"Workers in the processing of meat, fish, and related products --- Food and beverage preparation services",7511---7221,9
"Directors and managers in museums, theaters, and other cultural and sports establishments --- Entertainment services at recreational facilities and other recreational services",1422---7131,9
House painters and general painters --- Temporary accommodation services,7135---7210,9
Administrative support workers in various activities --- Temporary accommodation services,3115---7210,8
Cooks --- Public hospitals,5111---6222,8
Retail merchants --- Food and beverage preparation services,4111---7221,8
Support workers in aquaculture and fishing --- Fishing,9122---1141,8
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Entertainment services at recreational facilities and other recreational services",3222---7131,8
Food preparation assistants --- Food manufacturing,9411---3110,8
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Green space maintenance, cleaning, and landscaping services",9601---5613,8
"Street food vendors and preparers --- Retail trade of groceries, food, beverages, ice, and tobacco",9521---4611,8
"Cashiers, ticket sellers, betting clerks, and similar workers --- Food and beverage preparation services by workers in mobile units",3121---7222,8
"Sweepers and cleaning workers (except in hotels and restaurants) --- Passenger ground transportation, except rail",9621---4850,7
Coordinators and department heads in restaurants and hotels --- Food and beverage preparation services,1712---7221,7
"Taco makers, fast food preparers, and snack vendors --- Food manufacturing",5114---3110,7
Operators of agricultural and forestry machinery --- Support activities for agriculture and forestry,6311---1150,7
Street food vendors and preparers --- Food and beverage preparation services,9521---7221,7
Waiters --- Entertainment services at recreational facilities and other recreational services,5116---7131,7
"Parcel workers, bellhops, and hotel porters --- Temporary accommodation services",9711---7210,7
Cooks --- Private hospitals,5111---6221,7
Sweepers and cleaning workers (except in hotels and restaurants) --- Food and beverage preparation services,9621---7221,7
Street food vendors and small-scale food merchants --- Food manufacturing,5112---3110,7
"Workers in the production of bread, tortillas, pastries, and other cereal and flour products --- Food and beverage preparation services by workers in mobile units",7513---7222,7
Receptionists and information clerks (in-person) --- Entertainment services at recreational facilities and other recreational services,3211---7131,6
Sports referees and judges --- Professional athletes and sports teams,2563---7112,6
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Personal services",9601---8121,6
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Automobile and truck repair and maintenance services",9601---8111,6
Object and merchandise packers --- Food and beverage preparation services,9712---7221,6
Cooks --- Entertainment services at recreational facilities and other recreational services,5111---7131,6
"Sales agents, representatives, and consignees --- Food and beverage preparation services",4221---7221,6
"Administrative, marketing, and international trade assistants --- Food and beverage preparation services",2511---7221,6
Accountants and auditors --- Food and beverage preparation services,2121---7221,6
Guards and security personnel in establishments --- Entertainment services at recreational facilities and other recreational services,5313---7131,6
Singers --- Performing arts and cultural groups,2173---7111,6
"Professionals and consultants in marketing, advertising, communication, and international trade --- Transportation support services",2112---4881,6
"Taco makers, fast food preparers, and snack vendors --- Retail trade of groceries, food, beverages, ice, and tobacco",5114---4611,6
"Technicians in installation, repair, and maintenance of refrigeration, climate control, and air conditioning equipment --- Temporary accommodation services",2637---7210,6
Cooks --- Private daycare centers,5111---6251,6
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Tourist transportation",8324---4870,6
Parking attendants and valets --- Parking lots and garages,9633---8122,6
"Administrative, marketing, and international trade assistants --- Temporary accommodation services",2511---7210,6
Electricians and linemen --- Temporary accommodation services,2642---7210,5
Administrative support workers in various activities --- Food and beverage preparation services,3115---7221,5
Housekeepers and room attendants --- NA,9622---9800,5
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Public hospitals",9601---6222,5
"Cooks --- Retail trade of groceries, food, beverages, ice, and tobacco",5111---4611,5
Warehouse and stock control workers --- Temporary accommodation services,3132---7210,5
Transport dispatchers --- Air transportation,3141---4810,5
Accountants and auditors --- Temporary accommodation services,2121---7210,5
"Cashiers, ticket sellers, betting clerks, and similar workers --- Temporary accommodation services",3121---7210,5
Administrative support workers in various activities --- Transportation support services,3115---4881,5
Bathhouse attendants and massage therapists --- Temporary accommodation services,5213---7210,5
Street food vendors and preparers --- Food manufacturing,9521---3110,5
"Bus, truck, van, taxi, and passenger vehicle drivers --- Municipal public administration",8342---9314,5
"Accounting, finance assistants, and stockbrokers --- Food and beverage preparation services",2512---7221,5
Loaders --- Transportation support services,9331---4881,5
"Bus, truck, van, taxi, and passenger vehicle drivers --- NA",8342---9800,5
"Truck, van, and freight vehicle drivers --- Transportation support services",8341---4881,5
"Bus, truck, van, taxi, and passenger vehicle drivers --- Temporary accommodation services",8342---7210,4
Warehouse and stock control workers --- Transportation support services,3132---4881,4
"Motor vehicle mechanics --- Cleaning and repair services for aircraft, ships, and trains",2632---4882,4
Support workers in construction --- Temporary accommodation services,9221---7210,4
"Directors and managers in administration, human resources, and marketing --- Food and beverage preparation services",1211---7221,4
"Truck, van, and freight vehicle drivers --- Passenger ground transportation, except rail",8341---4850,4
"Railway transport operators (trains, subways, and light rail) --- Rail transportation",8331---4820,4
"Accounting, finance assistants, and stockbrokers --- Transportation support services",2512---4881,4
"Bus, truck, van, taxi, and passenger vehicle drivers --- Personal services",8342---8121,4
Receptionists and information clerks (in-person) --- Food and beverage preparation services,3211---7221,4
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Temporary accommodation services",1722---7210,4
"Event, sports, and amusement park support workers --- Performing arts and cultural groups",9713---7111,4
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Municipal public administration",1722---9314,4
Sports coaches and technical directors --- Professional athletes and sports teams,2562---7112,4
Waiters --- NA,5116---9800,4
Cooks --- Food manufacturing,5111---3110,4
Real estate agents --- Temporary accommodation services,4223---7210,4
"Sales clerks, dispatchers, and sales associates in stores --- Entertainment services at recreational facilities and other recreational services",4211---7131,4
"Support workers in the food, beverage, and tobacco industries --- Wholesale trade of groceries, food, beverages, ice, and tobacco",9236---4310,4
"Workers in the processing of meat, fish, and related products --- Aquaculture",7511---1122,4
"Rental service workers for movable goods --- Rental services for automobiles, trucks, and other ground transportation",4312---5321,4
"Bus, truck, van, taxi, and passenger vehicle drivers --- Federal public administration",8342---9312,4
Flight attendants and cabin crew --- Air transportation,5231---4810,4
Aviation pilots --- Air transportation,8311---4810,4
"Workers in the production of bread, tortillas, pastries, and other cereal and flour products --- Temporary accommodation services",7513---7210,4
"Coordinators and department heads in transportation services --- Passenger ground transportation, except rail",1623---4850,4
Guards and security personnel in establishments --- Aquaculture,5313---1122,4
"Software and multimedia developers and analysts --- Passenger ground transportation, except rail",2271---4850,3
Supervisors of sales and financial services employees --- Food and beverage preparation services,4201---7221,3
Motor vehicle mechanics --- Transportation support services,2632---4881,3
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Entertainment services at recreational facilities and other recreational services",5101---7131,3
"Bus, truck, van, taxi, and passenger vehicle drivers --- Real estate services",8342---5310,3
"Coordinators and department heads in administration, human resources, and marketing --- Temporary accommodation services",1511---7210,3
Electrical technicians --- Temporary accommodation services,2641---7210,3
Supervisors of workers who provide and manage information --- Temporary accommodation services,3201---7210,3
"Assistants and technicians in biological, chemical, and environmental sciences --- Professional, scientific, and technical services",2612---5411,3
"Assistants and technicians in veterinary science, fisheries, and forestry --- Aquaculture",2614---1122,3
Guards and security personnel in establishments --- Transportation support services,5313---4881,3
Customs and border agents --- Transportation support services,2522---4881,3
"Accountants and auditors --- Passenger ground transportation, except rail",2121---4850,3
Telephone operators and telegraph operators --- Temporary accommodation services,3213---7210,3
"Bus, truck, van, taxi, and passenger vehicle drivers --- Residential building construction",8342---2361,3
"Bus, truck, van, taxi, and passenger vehicle drivers --- Transportation support services",8342---4881,3
"Technicians in installation and repair of networks, equipment, and computer systems --- Entertainment services at recreational facilities and other recreational services",2651---7131,3
"Clowns, mimes, and circus performers --- Performing arts and cultural groups",2553---7111,3
"Supervisors of secretaries, typists, cashiers, and file and transportation control workers --- Transportation support services",3101---4881,3
"Parcel workers, bellhops, and hotel porters --- Transportation support services",9711---4881,3
Accountants and auditors --- Entertainment services at recreational facilities and other recreational services,2121---7131,3
"Assistants and technicians in biological, chemical, and environmental sciences --- State public administration",2612---9313,3
Workers in the production of alcoholic and non-alcoholic beverages --- Food and beverage preparation services,7517---7221,3
Maintenance and repair mechanics for machinery and industrial instruments --- Entertainment services at recreational facilities and other recreational services,2634---7131,3
Captains and operators of maritime transport --- Tourist transportation,8321---4870,3
"Coordinators and area chiefs in artistic activities, film, theater, and related fields --- Promoters, agents, and representatives of artistic, sports, and similar events",1721---7113,3
Cooks --- Municipal public administration,5111---9314,3
Athletes --- Professional athletes and sports teams,2561---7112,3
"Supervisors of transportation and mobile machinery drivers --- Passenger ground transportation, except rail",8301---4850,3
"Directors and managers in transportation services --- Passenger ground transportation, except rail",1323---4850,3
Supervisors of workers who provide and manage information --- Entertainment services at recreational facilities and other recreational services,3201---7131,3
"Cashiers, ticket sellers, betting clerks, and similar workers --- Museums, historical sites, zoos, and similar establishments",3121---7120,3
Coordinators and department heads in transportation services --- Transportation support services,1623---4881,3
"Accounting, finance assistants, and stockbrokers --- Temporary accommodation services",2512---7210,3
"Sweepers and cleaning workers (except in hotels and restaurants) --- Cleaning and repair services for aircraft, ships, and trains",9621---4882,3
"Cashiers, ticket sellers, betting clerks, and similar workers --- Transportation support services",3121---4881,3
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- State public administration",1722---9313,3
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Tourist transportation",3222---4870,3
"Support workers in the food, beverage, and tobacco industries --- Food and beverage preparation services by workers in mobile units",9236---7222,3
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Entertainment services at recreational facilities and other recreational services",1722---7131,3
Cooks --- Associations and organizations,5111---8130,3
Administrators and professionals in human resources and management systems --- Entertainment services at recreational facilities and other recreational services,2111---7131,3
"Ecologists and atmospheric scientists --- Professional, scientific, and technical services",2223---5411,3
Data entry clerks --- Temporary accommodation services,3113---7210,3
"Workers in the production of fruit, vegetable, and legume-based products --- Food and beverage preparation services",7514---7221,3
"Glass workers and similar artisans --- Cleaning and repair services for aircraft, ships, and trains",7613---4882,3
"Assistants and technicians in audio, sound, and lighting engineering --- Food and beverage preparation services",2654---7221,3
Cooks --- NA,5111---9800,3
Housekeepers and room attendants --- Real estate services,9622---5310,3
Fishermen and fishing workers --- Aquaculture,6211---1122,3
Warehouse and stock control workers --- Entertainment services at recreational facilities and other recreational services,3132---7131,2
Motorcycle drivers --- Food and beverage preparation services by workers in mobile units,8344---7222,2
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Food manufacturing",5101---3110,2
"Coordinators and department heads in administration, human resources, and marketing --- Tourist transportation",1511---4870,2
"Support workers in the electrical, electronic, and communications industries --- Temporary accommodation services",9232---7210,2
"Parcel workers, bellhops, and hotel porters --- Air transportation",9711---4810,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Public primary, secondary, and special education schools",8342---6112,2
Food preparation assistants --- Public daycare centers,9411---6252,2
Street food vendors and preparers --- Beverage and tobacco manufacturing,9521---3120,2
"Sales agents, representatives, and consignees --- Temporary accommodation services",4221---7210,2
"Administrative support workers in various activities --- Rental services for automobiles, trucks, and other ground transportation",3115---5321,2
Guards and security personnel in establishments --- Fishing,5313---1141,2
Bartenders --- Nightclubs,5115---7223,2
Travel agency workers --- Tourist transportation,3221---4870,2
Cooks --- Other public social assistance services,5111---6242,2
"Coordinators and department heads in administration, human resources, and marketing --- Passenger ground transportation, except rail",1511---4850,2
Cooks --- Public daycare centers,5111---6252,2
Gardeners in establishments --- Professional athletes and sports teams,5241---7112,2
Travel agency workers --- Entertainment services at recreational facilities and other recreational services,3221---7131,2
Event hosts and organizers --- Entertainment services at recreational facilities and other recreational services,2552---7131,2
Bartenders --- Entertainment services at recreational facilities and other recreational services,5115---7131,2
"Supervisors of electrical, electronics, telecommunications, and electromechanical equipment technicians --- Temporary accommodation services",2640---7210,2
Workers in agricultural product processing --- Support activities for agriculture and forestry,6117---1150,2
Merchandise delivery workers (on foot or bicycle) --- Food and beverage preparation services,9723---7221,2
Data entry clerks --- Transportation support services,3113---4881,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Private primary, secondary, and special education schools",8342---6111,2
Food preparation assistants --- Personal services,9411---8121,2
"Technicians in diagnostic and medical treatment equipment, podiatrists, and physical therapists --- Temporary accommodation services",2812---7210,2
"Assistants and technicians in audio, sound, and lighting engineering --- Performing arts and cultural groups",2654---7111,2
"Administrative, marketing, and international trade assistants --- Entertainment services at recreational facilities and other recreational services",2511---7131,2
Travel agency workers --- Temporary accommodation services,3221---7210,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Professional, scientific, and technical services",8342---5411,2
Waiters --- Food and beverage preparation services by workers in mobile units,5116---7222,2
"Sales agents, representatives, and consignees --- Rental services for automobiles, trucks, and other ground transportation",4221---5321,2
"Biologists, marine scientists, and oceanographers --- Professional, scientific, and technical services",2221---5411,2
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Business support services, employment services, and secretarial support",9601---5611,2
"Cooks --- Public primary, secondary, and special education schools",5111---6112,2
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Museums, historical sites, zoos, and similar establishments",3222---7120,2
"Motor vehicle mechanics --- Passenger ground transportation, except rail",2632---4850,2
Sweepers and cleaning workers (except in hotels and restaurants) --- Tourist transportation,9621---4870,2
"Cooks --- Private convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation",5111---6231,2
Gardeners in establishments --- Entertainment services at recreational facilities and other recreational services,5241---7131,2
Workers in the production of alcoholic and non-alcoholic beverages --- Food and beverage preparation services by workers in mobile units,7517---7222,2
"Assistants and technicians in biological, chemical, and environmental sciences --- Water collection, treatment, and supply",2612---2212,2
Directors and managers in restaurants and hotels --- NA,1412---9800,2
"Operators of machines for food, oil, fat, salt, and spice production --- Food and beverage preparation services",8161---7221,2
Cooks --- Nightclubs,5111---7223,2
"Sales agents, representatives, and consignees --- Travel agencies and reservation services",4221---5615,2
"Cooks --- Private primary, secondary, and special education schools",5111---6111,2
Fishermen and fishing workers --- Tourist transportation,6211---4870,2
"Plumbers, pipefitters, and pipeline installers --- Cleaning and repair services for aircraft, ships, and trains",7134---4882,2
"Collection agents, paymasters, and money lenders --- Food and beverage preparation services by workers in mobile units",3122---7222,2
Unspecified occupations --- Transportation support services,9999---4881,2
"Directors and managers in sales, marketing, and rentals --- Temporary accommodation services",1411---7210,2
"Coordinators and department heads in administration, human resources, and marketing --- Food and beverage preparation services",1511---7221,2
"Biologists, marine scientists, and oceanographers --- Aquaculture",2221---1122,2
"Support workers in the food, beverage, and tobacco industries --- Retail trade in department stores and self-service stores",9236---4620,2
"Illustrators, artistic designers, and printmakers --- Temporary accommodation services",2162---7210,2
"Workers in the processing of meat, fish, and related products --- Fishing",7511---1141,2
"Street food vendors and small-scale food merchants --- Retail trade of groceries, food, beverages, ice, and tobacco",5112---4611,2
"Supervisors, foremen, and managers in agricultural activities --- Aquaculture",6101---1122,2
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- State public administration",3222---9313,2
"Assistants and technicians in biological, chemical, and environmental sciences --- Scientific research and development services",2612---5412,2
"Floor installers, tile setters, and tile layers --- Temporary accommodation services",7132---7210,2
Coordinators and department heads in restaurants and hotels --- Temporary accommodation services,1712---7210,2
Food preparation assistants --- NA,9411---9700,2
"Transport dispatchers --- Passenger ground transportation, except rail",3141---4850,2
Waiters --- Nightclubs,5116---7223,2
"Directors and managers in sales, marketing, and rentals --- Food and beverage preparation services",1411---7221,2
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Food and beverage preparation services",9601---7221,2
"Car washers in establishments --- Rental services for automobiles, trucks, and other ground transportation",9631---5321,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Public hospitals",8342---6222,2
"Vocational and trade instructors and trainers --- Passenger ground transportation, except rail",2715---4850,2
Parking attendants and valets --- Temporary accommodation services,9633---7210,2
Food preparation assistants --- Plastics and rubber products manufacturing,9411---3260,2
"Assistants and technicians in biological, chemical, and environmental sciences --- Petroleum and coal products manufacturing",2612---3240,2
"Mechanics in installation, repair, and maintenance of refrigeration, climate control, and air conditioning equipment --- Temporary accommodation services",2638---7210,2
"Carpenters, cabinetmakers, and wood planers --- Temporary accommodation services",7311---7210,2
Animal trainers and pet care workers --- Professional athletes and sports teams,5254---7112,2
"Data entry clerks --- Passenger ground transportation, except rail",3113---4850,2
Secretaries --- Transportation support services,3111---4881,2
"Directors and managers in agricultural, forestry, and fishing production --- Aquaculture",1311---1122,2
"Deck officers, mates, and pilots --- Households with domestic employees",8322---8140,2
"Workers in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment) --- Entertainment services at recreational facilities and other recreational services",2644---7131,2
Technicians in maintenance and repair of precision and musical instruments --- Entertainment services at recreational facilities and other recreational services,2635---7131,2
"Biologists, marine scientists, and oceanographers --- Public universities and higher education institutions",2221---6132,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Public outpatient medical and related services",8342---6212,2
Support workers in plumbing and pipe installation --- Temporary accommodation services,9222---7210,2
"Event, sports, and amusement park support workers --- Temporary accommodation services",9713---7210,2
"Supervisors in rental services --- Rental services for automobiles, trucks, and other ground transportation",4301---5321,2
Singers --- Food and beverage preparation services,2173---7221,2
Workers in processing fish and aquaculture products --- Food manufacturing,6213---3110,2
Food preparation assistants --- Federal public administration,9411---9312,2
Mobile machinery operators for construction and mining --- Support activities for agriculture and forestry,8351---1150,2
"Sheet metal workers, panel beaters, tinsmiths, and metal painters --- Cleaning and repair services for aircraft, ships, and trains",7213---4882,2
Motor vehicle mechanics --- Fishing,2632---1141,2
Coordinators and department heads in restaurants and hotels --- Retail trade in department stores and self-service stores,1712---4620,1
"Architects, urban planners, and transportation planners --- Food and beverage preparation services",2263---7221,1
Cooks --- Other private social assistance services,5111---6241,1
Cooks --- Tourist transportation,5111---4870,1
Maintenance and repair technicians for machinery and industrial instruments --- Food and beverage preparation services,2633---7221,1
"Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments, and refrigeration equipment --- Temporary accommodation services",2630---7210,1
Transport checkers and inspectors --- Transportation support services,3142---4881,1
"Presidents and general managers in private institutions and companies --- Rental services for automobiles, trucks, and other ground transportation",1122---5321,1
Waiters --- Food manufacturing,5116---3110,1
Software and multimedia developers and analysts --- Entertainment services at recreational facilities and other recreational services,2271---7131,1
"Mobile machinery operators for moving goods in factories, ports, commerce, etc. --- Fishing",8352---1141,1
Physical education and sports instructors --- Professional athletes and sports teams,2716---7112,1
Horse breeders and equine farm workers --- Professional athletes and sports teams,6125---7112,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Automobile and truck repair and maintenance services",2612---8111,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Municipal public administration",2612---9314,1
Agricultural support workers --- Support activities for agriculture and forestry,9111---1150,1
Workers who combine agricultural and livestock activities --- Aquaculture,6131---1122,1
"Support workers in mechanical equipment, machinery, metal, and precision product manufacturing, repair, and maintenance --- Entertainment services at recreational facilities and other recreational services",9231---7131,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Private outpatient medical and related services",2612---6211,1
Electricians and linemen --- Food and beverage preparation services,2642---7221,1
"Sales clerks, dispatchers, and sales associates in stores --- Passenger ground transportation, except rail",4211---4850,1
"Accounting, finance assistants, and stockbrokers --- Entertainment services at recreational facilities and other recreational services",2512---7131,1
Other workers in food and beverage preparation and service in establishments --- Food and beverage preparation services,5119---7221,1
"Sheet metal workers, panel beaters, tinsmiths, and metal painters --- Passenger ground transportation, except rail",7213---4850,1
"Motor vehicle maintenance and repair technicians --- Cleaning and repair services for aircraft, ships, and trains",2631---4882,1
Street food vendors and preparers --- Municipal public administration,9521---9314,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Public outpatient medical and related services",2612---6212,1
"Event, sports, and amusement park support workers --- Professional athletes and sports teams",9713---7112,1
Coordinators and department heads in security and surveillance services --- Temporary accommodation services,1526---7210,1
Demonstrators and promoters --- Entertainment services at recreational facilities and other recreational services,4231---7131,1
Administrators and professionals in human resources and management systems --- Fishing,2111---1141,1
Insurance and financial services agents (account executives) --- Transportation support services,4222---4881,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Temporary accommodation services",3222---7210,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Agriculture",9601---1110,1
"Truck, van, and freight vehicle drivers --- Fishing",8341---1141,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- NA",8342---9700,1
Software and multimedia developers and analysts --- Transportation support services,2271---4881,1
"Accounting, finance assistants, and stockbrokers --- Passenger ground transportation, except rail",2512---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Business support services, employment services, and secretarial support",8342---5611,1
Food preparation assistants --- Retail trade in department stores and self-service stores,9411---4620,1
Sweepers and cleaning workers (except in hotels and restaurants) --- Aquaculture,9621---1122,1
"Operators of machines for cutting, drilling, bending, stamping, welding, and shaping metal pieces and products --- Entertainment services at recreational facilities and other recreational services",8123---7131,1
Directors and managers in restaurants and hotels --- Food manufacturing,1412---3110,1
Telephone operators and telegraph operators --- Transportation support services,3213---4881,1
"Accounting, finance assistants, and stockbrokers --- Support activities for agriculture and forestry",2512---1150,1
"Food preparation assistants --- Computer, communication, measurement, and other electronic equipment manufacturing",9411---3340,1
Directors and managers in information technology --- Temporary accommodation services,1321---7210,1
Captains and operators of maritime transport --- Fishing,8321---1141,1
"Technicians in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment) --- Temporary accommodation services",2643---7210,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Temporary accommodation services",8324---7210,1
Event hosts and organizers --- Food and beverage preparation services,2552---7221,1
"Parking attendants and valets --- Business support services, employment services, and secretarial support",9633---5611,1
"Traffic controllers for other modes of transport (land, rail, and maritime) --- Transportation support services",2662---4881,1
"Rental service workers for movable goods --- Passenger ground transportation, except rail",4312---4850,1
Aviation pilots --- NA,8311---9800,1
Electricians and linemen --- Transportation support services,2642---4881,1
"Biologists, marine scientists, and oceanographers --- Public hospitals",2221---6222,1
Hostesses and event attendants --- Temporary accommodation services,4232---7210,1
"Coordinators and department heads in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Cleaning and repair services for aircraft, ships, and trains",1615---4882,1
Sports coaches and technical directors --- Temporary accommodation services,2562---7210,1
"Food preparation assistants --- Business support services, employment services, and secretarial support",9411---5611,1
"Installers of insulation, waterproofing, glass, and other materials --- Temporary accommodation services",7133---7210,1
"Workers in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment) --- Performing arts and cultural groups",2644---7111,1
Aviation pilots --- Real estate services,8311---5310,1
Demonstrators and promoters --- Food and beverage preparation services,4231---7221,1
Assistants to railway transport operators --- Rail transportation,9312---4820,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Food manufacturing",1722---3110,1
Software and multimedia developers and analysts --- Temporary accommodation services,2271---7210,1
"File and correspondence clerks --- Museums, historical sites, zoos, and similar establishments",3131---7120,1
"Software and multimedia developers and analysts --- Museums, historical sites, zoos, and similar establishments",2271---7120,1
"Housekeepers and room attendants --- Green space maintenance, cleaning, and landscaping services",9622---5613,1
Dancers and choreographers --- Performing arts and cultural groups,2174---7111,1
Financial advisors and analysts --- Temporary accommodation services,2122---7210,1
Presidents and eneral managers in private institutions and companies --- Temporary accommodation services,1122---7210,1
