"state","office_name_clean","landing_site_clean","GOC_mel.est","final_lat","final_lon","final_lat.lon_level","final_lat.lon_source","ecorgn","location","OHI.region_geo.est","OHI_state.assign","OHI_region_est","GOC_region.assign","GOC_state.assign","GOC_est"
"NAYARIT","PENITA JALTEMBA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,21.1623836658869,-105.21154039308,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"BAJA CALIFORNIA","MEXICALI","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA SUR","SANTA ROSALIA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.0180545530806,-112.471899200815,"state_office","Hem's state.office key","Central_Gulf","land","Region_3",NA,"Region_3","yes",NA,"yes"
"BAJA CALIFORNIA","EL ROSARIO","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA","ENSENADA","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA","SAN FELIPE","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"SINALOA","MAZATLAN","MAZATLAN",NA,23.2248653166667,-106.416681944444,"state_office_site","Hem's state.site.office key","Southern_Gulf","land","Region_8","Region_8","Region_8","yes","yes","yes"
"SONORA","CD. OBREGON","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.9064816393795,-110.86436487411,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","Central_Gulf","sea","Region_7",NA,"Region_7","yes","yes","yes"
"NAYARIT","TECUALA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,22.4984442146623,-105.266154629021,"state_office","Hem's state.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"SINALOA","TOPOLOBAMPO","TOPOLOBAMPO",NA,25.5982674305556,-109.049723444444,"state_office_site","Hem's state.site.office key","Southern_Gulf","land","Region_8","Region_8","Region_8","yes","yes","yes"
"BAJA CALIFORNIA SUR","GUERRERO NEGRO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.6819209057358,-113.538602579797,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LORETO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,26.0432876543236,-111.67817330556,"state_office","Hem's state.office key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"SINALOA","TOPOLOBAMPO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.6153795297504,-109.024498822464,"state_office","Hem's state.office key","Southern_Gulf","sea","Region_8","Region_8","Region_8","yes","yes","yes"
"BAJA CALIFORNIA SUR","CD. CONSTITUCION","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.2780280791995,-111.762569083552,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.6888812559524,-114.760228838492,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA PAZ","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,23.9653019673961,-110.278865826857,"state_office","Hem's state.office key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.2040245238095,-114.085745,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GUAYMAS","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"BAJA CALIFORNIA","BAHIA LOS ANGELES","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA","SAN FELIPE","SAN FELIPE","yes",31.0220527944444,-114.838044747222,"state_office_site","Hem's state.site.office key","Upper_Gulf","land","Region_1",NA,"Region_1","yes",NA,"yes"
"BAJA CALIFORNIA SUR","LA PAZ","PICHILINGUE","yes",24.27183215,-110.32755775,"state_office_site","Hem's state.site.office key","Southern_Gulf","sea","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,26.8815999490356,-113.086286236894,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SAN CARLOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.3714583955429,-112.073984327773,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GOLFO SANTA CLARA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,31.8979505373166,-114.571539538994,"state_office","Hem's state.office key","Upper_Gulf","land","Region_5",NA,"Region_5","yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","SAN CARLOS","no",24.7661,-111.9669,"state_site","Mel's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","ISLA CEDROS","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,24.9946690350877,-111.613563143275,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","PTO ADOLFO LOPEZ MATEOS","no",25.1889,-112.1185,"state_site","Mel's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","SAN BLAS","SAN BLAS",NA,21.5417380555556,-105.286046388889,"state_office_site","Hem's state.site.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"NAYARIT","CRUZ HUANACAXTLE","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.7914414513754,-105.337144843608,"state_office","Hem's state.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"JALISCO","BARRA NAVIDAD","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,19.6247611165671,-104.425651915947,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,23.2395885256897,-109.853521983522,"state_office","Hem's state.office key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"JALISCO","BARRA NAVIDAD","PUERTO VALLARTA","yes",20.4868055555556,-105.183611111111,"state_site","Hem's state.site key","Southern_Gulf","land","Region_9",NA,"Region_9","yes",NA,"yes"
"SONORA","BAHIA KINO","BAHIA KINO","yes",28.80836125,-111.948842638889,"state_office_site","Hem's state.site.office key","Midriff_Region","sea","Region_6",NA,"Region_6","yes","yes","yes"
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","SAN LUCAS","yes",22.891,-109.888,"state_site","Mel's state.site key","Southern_Gulf","sea","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","BAHIA ASUNCION","no",27.1409019444444,-114.297558055556,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","TEPIC","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,21.4826649167189,-104.547994171617,"state_office","Hem's state.office key",NA,NA,NA,"Region_9","Region_9","yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","MATANCITAS","no",25.3,-112.03,"state_site","Mel's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","PUERTO PENASCO","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","PICHILINGUE","yes",24.27183215,-110.32755775,"state_site","Hem's state.site key","Southern_Gulf","sea","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA","BAHIA LOS ANGELES","BAHIA LOS ANGELES","yes",28.9890473611111,-113.555491388889,"state_office_site","Hem's state.site.office key","Midriff_Region","land","Region_2",NA,"Region_2","yes",NA,"yes"
"BAJA CALIFORNIA","TIJUANA","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"NAYARIT","CRUZ HUANACAXTLE","CRUZ HUANACAXTLE",NA,20.7502302777778,-105.382682222222,"state_office_site","Hem's state.site.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"JALISCO","GUADALAJARA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.9531148331655,-103.368974427755,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GUAYMAS","GOLFO SANTA CLARA","yes",31.6899486111111,-114.500918611111,"state_site","Hem's state.site key","Upper_Gulf","land","Region_5",NA,"Region_5","yes","yes","yes"
"JALISCO","PUERTO VALLARTA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.3701996667712,-104.95577118187,"state_office","Hem's state.office key","Southern_Gulf","land","Region_9",NA,"Region_9","yes",NA,"yes"
"SONORA","CD. OBREGON","PAREDON COLORADO","yes",27.0666522518519,-109.932338951852,"state_site","Hem's state.site key","Central_Gulf","sea","Region_7",NA,"Region_7","yes","yes","yes"
"BAJA CALIFORNIA SUR","LA PAZ","LA PAZ","yes",24.1467119333333,-110.308781033333,"state_office_site","Hem's state.site.office key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","PUNTA ABREOJOS","no",26.715159662963,-113.574164922222,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","EL FUERTE","LA PUERTA",NA,24.78981,-107.020367777778,"state_site","Hem's state.site key",NA,NA,NA,"Region_8","Region_8","yes","yes","yes"
"BAJA CALIFORNIA SUR","LA PAZ","SAN CARLOS","no",23.8805958333333,-110.278014583333,"state_office_site","Hem's state.site.office key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"NAYARIT","SAN BLAS","EL SAUZAL",NA,21.5467247384409,-105.258214734707,"state_office","Hem's state.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"SONORA","GOLFO SANTA CLARA","GOLFO SANTA CLARA","yes",31.6899486111111,-114.500918611111,"state_office_site","Hem's state.site.office key","Upper_Gulf","land","Region_5",NA,"Region_5","yes","yes","yes"
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","BAHIA TORTUGAS","no",27.6926928444444,-114.896186183333,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","HUATABAMPO","PARAJE NUEVO",NA,26.9777527919635,-109.501158823798,"state_office","Hem's state.office key","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"SONORA","HUATABAMPO","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"SONORA","BAHIA KINO","SAN NICOLAS","yes",28.6162026388889,-111.725022083333,"state_office_site","Hem's state.site.office key","Midriff_Region","land","Region_6",NA,"Region_6","yes","yes","yes"
"SONORA","GUAYMAS","LA PUERTA",NA,27.6425905555556,-110.000364444444,"state_site","Hem's state.site key",NA,NA,NA,NA,NA,NA,"yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","PTO ADOLFO LOPEZ MATEOS","no",25.1889,-112.1185,"state_site","Mel's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","MAZATLAN","TEACAPAN, SIN.",NA,23.4941163147551,-106.379649136752,"state_office","Hem's state.office key","Southern_Gulf","land","Region_8","Region_8","Region_8","yes","yes","yes"
"NAYARIT","SANTIAGO IXCUINTLA","SAN BLAS",NA,21.5417380555556,-105.286046388889,"state_site","Hem's state.site key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"BAJA CALIFORNIA","ISLA CEDROS","ISLA CEDROS","no",28.1331695311111,-115.201436955556,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","ENSENADA","SAN FELIPE","yes",31.7626597222222,-116.597561666667,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","OCOTLAN","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.9349169056432,-102.341014815964,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","SAN FELIPE","EL SAUZAL","no",31.8921776666667,-116.694170133333,"state_site","Hem's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","CHAPALA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,19.8385565045085,-103.34247210019,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","ISLA CEDROS","EL SAUZAL","no",31.8921776666667,-116.694170133333,"state_site","Hem's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","BAHIA KINO","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"BAJA CALIFORNIA","ISLA CEDROS","LA PUERTA",NA,28.9076863553968,-115.195965318254,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","HUATABAMPO","SANTA BARBARA","yes",27.0121821527778,-109.429924861111,"state_office_site","Hem's state.site.office key","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"NAYARIT","SANTIAGO IXCUINTLA","NO CONSIDERADO",NA,21.9838665077391,-104.896760868459,"state_office","Hem's state.office key",NA,NA,NA,"Region_9","Region_9","yes","yes","yes"
"BAJA CALIFORNIA","ENSENADA","LA PUERTA",NA,31.6803648342134,-116.441554571399,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","SAN QUINTIN","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"SINALOA","MAZATLAN","NO CONSIDERADO",NA,23.4941163147551,-106.379649136752,"state_office","Hem's state.office key","Southern_Gulf","land","Region_8","Region_8","Region_8","yes","yes","yes"
"BAJA CALIFORNIA","ENSENADA","NO CONSIDERADO",NA,31.6803648342134,-116.441554571399,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GUAYMAS","NO CONSIDERADO",NA,27.9926880336712,-110.86508759233,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"SONORA","HUATABAMPO","NO CONSIDERADO",NA,26.9777527919635,-109.501158823798,"state_office","Hem's state.office key","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"SINALOA","TOPOLOBAMPO","NO CONSIDERADO",NA,25.6153795297504,-109.024498822464,"state_office","Hem's state.office key","Southern_Gulf","sea","Region_8","Region_8","Region_8","yes","yes","yes"
"SONORA","PUERTO PENASCO","NO CONSIDERADO",NA,31.2062957681437,-112.840131163667,"state_office","Hem's state.office key","Midriff_Region","land","Region_6",NA,"Region_6","yes","yes","yes"
"NAYARIT","SAN BLAS","NO CONSIDERADO",NA,21.5467247384409,-105.258214734707,"state_office","Hem's state.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","NO CONSIDERADO",NA,25.3714583955429,-112.073984327773,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","NO CONSIDERADO",NA,24.9946690350877,-111.613563143275,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA PAZ","NO CONSIDERADO",NA,23.9653019673961,-110.278865826857,"state_office","Hem's state.office key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"BAJA CALIFORNIA","SAN FELIPE","NO CONSIDERADO",NA,30.8232761927872,-114.850812713418,"state_office","Hem's state.office key","Midriff_Region","land","Region_2",NA,"Region_2","yes",NA,"yes"
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","NO CONSIDERADO",NA,27.2040245238095,-114.085745,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","BAHIA KINO","NO CONSIDERADO",NA,28.8055591259102,-111.67893340009,"state_office","Hem's state.office key","Midriff_Region","land","Region_6",NA,"Region_6","yes","yes","yes"
"JALISCO","BARRA NAVIDAD","NO CONSIDERADO",NA,19.6247611165671,-104.425651915947,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","NO CONSIDERADO",NA,26.8815999490356,-113.086286236894,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","NO CONSIDERADO",NA,23.2395885256897,-109.853521983522,"state_office","Hem's state.office key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"NAYARIT","CRUZ HUANACAXTLE","NO CONSIDERADO",NA,20.7914414513754,-105.337144843608,"state_office","Hem's state.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","NO CONSIDERADO",NA,27.6888812559524,-114.760228838492,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GOLFO SANTA CLARA","NO CONSIDERADO",NA,31.8979505373166,-114.571539538994,"state_office","Hem's state.office key","Upper_Gulf","land","Region_5",NA,"Region_5","yes","yes","yes"
"BAJA CALIFORNIA","VILLA JESUS MARIA","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key","Southern_Gulf","land","Region_4",NA,"Region_4","yes",NA,"yes"
"SONORA","PUERTO LIBERTAD","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,30.6902890130593,-111.717548023723,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,"yes","yes"
"SONORA","GUAYMAS","PARAJE NUEVO",NA,27.9926880336712,-110.86508759233,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"SONORA","PUERTO PENASCO","GOLFO SANTA CLARA","yes",31.6899486111111,-114.500918611111,"state_site","Hem's state.site key","Upper_Gulf","land","Region_5",NA,"Region_5","yes","yes","yes"
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA","yes",27.3368683333333,-112.268274722222,"state_office_site","Hem's state.site.office key","Central_Gulf","land","Region_3",NA,"Region_3","yes",NA,"yes"
"BAJA CALIFORNIA","ENSENADA","SAN CARLOS","yes",31.7597009722222,-116.561796388889,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","CD. CONSTITUCION","SAN CARLOS","no",24.7661,-111.9669,"state_site","Mel's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","CULIACAN","CORTINA LA PRESA AURELIO VENANCINI",NA,24.132,-106.689,"state_site","Hem's state.site key","Southern_Gulf","land","Region_8","Region_8","Region_8","yes","yes","yes"
"BAJA CALIFORNIA","SAN FELIPE","ISLA CEDROS","no",28.1331695311111,-115.201436955556,"state_site","Hem's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","BAHIA KINO","YAVAROS","yes",26.7034766666667,-109.520553194444,"state_site","Hem's state.site key","Central_Gulf","land","Region_7",NA,"Region_7","yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","SAN JUANICO","no",26.2570684407407,-112.479635281481,"state_site","Hem's state.site key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","PUERTO LIBERTAD","NO CONSIDERADO",NA,30.6902890130593,-111.717548023723,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,"yes","yes"
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","SAN LUCAS","yes",22.891,-109.888,"state_site","Mel's state.site key","Southern_Gulf","sea","Region_4",NA,"Region_4","yes",NA,"yes"
"SINALOA","EL FUERTE","SITIO EMB DESEM GENERICO",NA,26.4366394191784,-108.393947350964,"state_office","Hem's state.office key",NA,NA,NA,"Region_8","Region_8","yes","yes","yes"
"SINALOA","LOS MOCHIS","SITIO EMB DESEM GENERICO",NA,25.9061091802143,-109.000942361955,"state_office","Hem's state.office key","Southern_Gulf","land","Region_8","Region_8","Region_8","yes","yes","yes"
"SONORA","GOLFO SANTA CLARA","SITIO EMB DESEM GENERICO",NA,31.8979505373166,-114.571539538994,"state_office","Hem's state.office key","Upper_Gulf","land","Region_5",NA,"Region_5","yes","yes","yes"
"SINALOA","CULIACAN","SITIO EMB DESEM GENERICO",NA,24.5754023451913,-107.424419290528,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","Southern_Gulf","land","Region_8","Region_8","Region_8","yes","yes","yes"
"NAYARIT","SAN BLAS","SITIO EMB DESEM GENERICO",NA,21.5467247384409,-105.258214734707,"state_office","Hem's state.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
"NAYARIT","TECUALA","SITIO EMB DESEM GENERICO",NA,22.4984442146623,-105.266154629021,"state_office","Hem's state.office key","Southern_Gulf","land","Region_9","Region_9","Region_9","yes","yes","yes"
