"state","landing_site","inside_GOC","est_habitat","lat_est","lon_est","latlon_est_flag","HemKey_lat","HemKey_lon","HemPermitKey_lat","HemPermitKey_lon","MelKey_lat","MelKey_lon"
"CHIAPAS","PLAYA LARGA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","PUERTO ANGEL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"MICHOACAN","LA PUERTA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"MICHOACAN","EL MUELLE",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","LA PUERTA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","SANTA BARBARA","yes",NA,27.1214797222222,-108.721801388889,NA,27.1214797222222,-108.721801388889,26.678,-109.542,"Sonora_South",NA
"NAYARIT","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","PETACALCO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SINALOA","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"COLIMA","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"JALISCO","NO CONSIDERADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SANTA ROSALIA","yes",NA,27.3368683333333,-112.268274722222,NA,27.3368683333333,-112.268274722222,27.3397,-112.2631,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA","SAN CARLOS","yes",NA,31.9784838888889,-116.620730277778,NA,31.9784838888889,-116.620730277778,30.728,-114.697,"Baja_California_South",NA
"SINALOA","CORTINA DE LA PRESA AURELIO VENANCINI (EL SALTO)",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SAN JUANICO","no",NA,26.2571997222222,-112.478606944444,NA,26.2571997222222,-112.478606944444,26.181,-112.4673,"Baja_California_Sur_South",NA
"OAXACA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SINALOA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"NAYARIT","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"MICHOACAN","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"JALISCO","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"COLIMA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","BAJA VENECIA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","LAS PLAYITAS","yes",NA,27.8943,-110.883,NA,30.5982808333333,-110.093823888889,27.8943,-110.883,"Sonora_South",NA
"SONORA","EL RASTRO","yes",NA,28.001,-111.15,NA,28.001,-111.15,28.001,-111.15,"Sonora_South",NA
"SONORA","BAHIA AGIABAMPO","yes",NA,26.3642,-109.146,NA,26.3642,-109.146,26.3642,-109.146,"Sonora_South",NA
"OAXACA","CORRALERO, PINOTEPA NAL.OAX.",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SINALOA","ESTERO LA BOCANITA",NA,NA,25.549,-108.417,NA,25.549,-108.417,NA,NA,NA,NA
"SINALOA","EL JITZAMURI",NA,NA,26.2141666,-109.2636111,NA,26.2141666,-109.2636111,NA,NA,NA,NA
"SINALOA","LA REFORMA",NA,NA,25.0807747222222,-108.0538725,NA,25.0807747222222,-108.0538725,NA,NA,NA,NA
"SINALOA","CAMPO PESQUERO EL TETUAN",NA,NA,24.607,-107.916,NA,24.607,-107.916,NA,NA,NA,NA
"SINALOA","EL CASTILLO",NA,NA,23.1947,-106.339483888889,NA,23.1947,-106.339483888889,NA,NA,NA,NA
"SINALOA","CAMPO EL COLORADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SINALOA","PREDIO BACHOMOBAMPO NO. UNO",NA,NA,25.765,-109.191,NA,25.765,-109.191,NA,NA,NA,NA
"SINALOA","ESTERO LA BALLENA",NA,NA,25.977,-109.418,NA,25.977,-109.418,NA,NA,NA,NA
"SINALOA","EL POZOLE",NA,NA,23.2979958333333,-106.395437777778,NA,23.2979958333333,-106.395437777778,NA,NA,NA,NA
"SINALOA","CAMPO PESQUERO BACOREHUIS",NA,NA,26.271,-109.144,NA,26.271,-109.144,NA,NA,NA,NA
"SINALOA","PAREDONES",NA,NA,25.6663830555556,-108.9891,NA,25.6663830555556,-108.9891,NA,NA,NA,NA
"SINALOA","MARISMA DE LAS CABRAS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","EL CHOYUDO","yes",NA,28.32064,-111.452,NA,28.32064,-111.452,28.1906,-111.271,"Sonora_South",NA
"OAXACA","CERRO DE LA GARZA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","BANCO DE ORO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","CORTINA CERRO DE ORO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","EL AZUFRE, TUT.OAX.",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","PESQUERIA BERNAL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","RINCON JUAREZ",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","BAHIA DE PUERTO ANGEL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","MAZUNTE ZIPOLITE",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","LAGUNA SANTA CRUZ",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"NAYARIT","ESTERO EL POZO (MARGEN IZQUIERDA)",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"NAYARIT","EMBARCADERO SAN MIGUEL",NA,NA,21.8728,-105.432,NA,21.8728,-105.432,NA,NA,NA,NA
"NAYARIT","CHIRIMOYO, EL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","GUADALUPE",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","SAN ANDRES PLAYA ENCANTADA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","CALLE SOL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","BARRA DE COYUCA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"JALISCO","PRESA CONSTITUCION DE APATZINGAN","no","freshwater",19.2882386111111,-102.784181944444,NA,19.2882386111111,-102.784181944444,19.28944,-102.77889,NA,"Also called Presa Chilatán on the Río Tepalcatepec in Jilotlán de los Dolores, Jalisco. Decimal coords from a Jalisco map tool that lists “Presa Constitucion de Apatzingan”. (Wikipedia)"
"JALISCO","PRESA EL JIHUITE",NA,"freshwater",20.8553155555556,-102.7185575,NA,20.8553155555556,-102.7185575,20.84889,-102.71861,"Nayarit/Jalisco","Reservoir near Tepatitlán de Morelos, Jalisco; coords from a locality/placename catalog. (tools.paintmaps.com)"
"JALISCO","PRESA DE LA VEGA",NA,"freshwater",20.36,-103.5,NA,20.36,-103.5,20.67917,-103.82361,"Nayarit/Jalisco","Located in Teuchitlán, Jalisco. Ramsar fact sheet gives bounding box (20°33_50_–20°47_40_N; 103°47_30_–103°51_20_W); I’ve taken the midpoint as an approximate centroid. Use with a “rough” flag. (semadet.jalisco.gob.mx)"
"JALISCO","PRESA TRIGO MIL","no","freshwater",19.94,-104.25972,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,19.94,-104.25972,NA,"This is Presa Trigomil in Jalisco; decimal coords come from CONAGUA’s CATALOGO_SIH entry “Presa Trigomil”. (Datos Conagua)"
"JALISCO","PRESA LA POLVORA",NA,"freshwater",20.7,-102.25,NA,20.7,-102.25,20.5,-102.21667,"Nayarit/Jalisco","“Presa La Pólvora” near Huáscato/Degollado, Jalisco. A UNAM thesis on the project states its site is at 20°30_N, 102°13_W (I converted to decimal). CONAPESCA’s open “Avisos de Arribo y Cosecha 2025” file confirms that key 1404054 is PRESA LA POLVORA in Jalisco. (Tesi UNAM Documentos)"
"JALISCO","EJIDO MODELO","no","freshwater",19.5376988888889,-104.513643333333,NA,19.5376988888889,-104.513643333333,19.637,-102.9734,NA,"Ejido Modelo, municipality of Jilotlán de los Dolores, Jalisco (Google/INEGI settlement match)."
"NAYARIT","CHACALA",NA,NA,21.1663163888889,-105.226070833333,NA,21.1663163888889,-105.226070833333,NA,NA,NA,NA
"NAYARIT","AYALAS, LOS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","PUNTA MALDONADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","LA BOCANA DE MARQUELIA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"MICHOACAN","LA LOBERA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"MICHOACAN","EL PUERTO DEL PULQUE",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"NAYARIT","CONCHAS, LAS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"NAYARIT","RINCON, EL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","PLAYA MANZANILLO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","LOS CARRICITOS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","SAN PEDRO LAS PLAYAS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","TRES PALOS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","EL QUEMADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","ZACUALPAN",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","TACOTE PESQUERIAS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","BARRA VIEJA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","V. BEJUCO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","EMBARCADERO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","EL ARENAL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","PLAN DE LOS AMATES",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","LAS RAMADITAS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","LA ESTACION",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","EL MARA?ON",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","VARADERO LA YUNCA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","LAS GARZAS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","EL PAPAYO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","PLAYA LA ANGOSTA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","EL SALADO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"GUERRERO","EL CAMALOTE",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","RANCHO NUEVO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","DR. MANUEL VELASCO SUAREZ",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","PARAISO DEL GRIJALVA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","DIQUE UNO MALPASO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","CHINTULITO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","DIQUE UNO PENITAS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","EJIDO LINDAVISTA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","AGUA TENDIDA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","ESTACION JOAQUIN AMARO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","PUNTA ARENA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","RANCHERIA AGUA BLANCA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","PALO BLANCO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","SAN LUQUENO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","BOCA DEL CIELO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","BUENA VISTA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","SAN MATEOS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","EL PARRAL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","JERICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
