"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes"
"atractoscion nobilis","region_5",2010,"","",NA
"atractoscion nobilis","region_6",2010,"","",NA
"atractoscion nobilis","region_7",2010,"","",NA
"atractoscion nobilis","region_8",2010,"","",NA
"atractoscion nobilis","region_9",2010,"","",NA
"atrina maura","region_1",2023,"maximally harvested","no increase",NA
"atrina maura","region_2",2023,"maximally harvested","no increase",NA
"atrina maura","region_3",2023,"maximally harvested","no increase",NA
"atrina maura","region_4",2023,"maximally harvested","no increase",NA
"atrina maura","region_5",2023,"maximally harvested","no increase",NA
"atrina maura","region_6",2023,"maximally harvested","no increase",NA
"atrina maura","region_7",2023,"maximally harvested","no increase",NA
"atrina oldroydii","region_1",2023,"maximally harvested","no increase",NA
"atrina oldroydii","region_2",2023,"maximally harvested","no increase",NA
"atrina oldroydii","region_3",2023,"maximally harvested","no increase",NA
"atrina oldroydii","region_4",2023,"maximally harvested","no increase",NA
"atrina oldroydii","region_5",2023,"maximally harvested","no increase",NA
"atrina oldroydii","region_6",2023,"maximally harvested","no increase",NA
"atrina oldroydii","region_7",2023,"maximally harvested","no increase",NA
"atrina tuberculosa","region_1",2023,"maximally harvested","no increase",NA
"atrina tuberculosa","region_2",2023,"maximally harvested","no increase",NA
"atrina tuberculosa","region_3",2023,"maximally harvested","no increase",NA
"atrina tuberculosa","region_4",2023,"maximally harvested","no increase",NA
"atrina tuberculosa","region_5",2023,"maximally harvested","no increase",NA
"atrina tuberculosa","region_6",2023,"maximally harvested","no increase",NA
"atrina tuberculosa","region_7",2023,"maximally harvested","no increase",NA
"auxis thazard","region_1",2000,"","",NA
"auxis thazard","region_2",2000,"","",NA
"auxis thazard","region_3",2000,"","",NA
"auxis thazard","region_4",2000,"","",NA
"auxis thazard","region_5",2000,"","",NA
"auxis thazard","region_6",2000,"","",NA
"auxis thazard","region_7",2000,"","",NA
"auxis thazard","region_8",2000,"","",NA
"auxis thazard","region_9",2000,"","",NA
"bairdiella armata","region_1",2010,"","",NA
"bairdiella armata","region_2",2010,"","",NA
"bairdiella armata","region_3",2010,"","",NA
"bairdiella armata","region_4",2010,"","",NA
"bairdiella armata","region_5",2010,"","",NA
"bairdiella armata","region_6",2010,"","",NA
"bairdiella armata","region_7",2010,"","",NA
"bairdiella armata","region_8",2010,"","",NA
"bairdiella armata","region_9",2010,"","",NA
"bairdiella icistia","region_1",2010,"","",NA
"bairdiella icistia","region_2",2010,"","",NA
"bairdiella icistia","region_3",2010,"","",NA
"bairdiella icistia","region_4",2010,"","",NA
"bairdiella icistia","region_5",2010,"","",NA
"bairdiella icistia","region_6",2010,"","",NA
"bairdiella icistia","region_7",2010,"","",NA
"bairdiella icistia","region_8",2010,"","",NA
"bairdiella icistia","region_9",2010,"","",NA
"callinectes arcuatus","region_5",2023,"maximally harvested","no increase",NA
"callinectes arcuatus","region_6",2023,"maximally harvested","no increase",NA
"callinectes arcuatus","region_7",2023,"maximally harvested","no increase",NA
"callinectes arcuatus","region_8",2023,"maximally harvested","no increase",NA
"callinectes bellicosus","region_3",2023,"maximally harvested","no increase",NA
"callinectes bellicosus","region_4",2023,"maximally harvested","no increase",NA
"callinectes bellicosus","region_5",2023,"maximally harvested","no increase",NA
"callinectes bellicosus","region_6",2023,"maximally harvested","no increase",NA
"callinectes bellicosus","region_7",2023,"maximally harvested","no increase",NA
"callinectes bellicosus","region_8",2023,"maximally harvested","no increase",NA
"callinectes toxotes","region_5",2023,"maximally harvested","no increase",NA
"callinectes toxotes","region_6",2023,"maximally harvested","no increase",NA
"callinectes toxotes","region_7",2023,"maximally harvested","no increase",NA
"callinectes toxotes","region_8",2023,"maximally harvested","no increase",NA
"cancer antennarius","region_1",2010,"","",NA
"cancer antennarius","region_2",2010,"","",NA
"cancer antennarius","region_3",2010,"","",NA
"cancer antennarius","region_4",2010,"","",NA
"cancer antennarius","region_5",2010,"","",NA
"cancer antennarius","region_6",2010,"","",NA
"cancer antennarius","region_7",2010,"","",NA
"cancer antennarius","region_8",2010,"","",NA
"cancer antennarius","region_9",2010,"","",NA
"cancer anthonyi","region_1",2010,"","",NA
"cancer anthonyi","region_2",2010,"","",NA
"cancer anthonyi","region_3",2010,"","",NA
"cancer anthonyi","region_4",2010,"","",NA
"cancer anthonyi","region_5",2010,"","",NA
"cancer anthonyi","region_6",2010,"","",NA
"cancer anthonyi","region_7",2010,"","",NA
"cancer anthonyi","region_8",2010,"","",NA
"cancer anthonyi","region_9",2010,"","",NA
"cancer gracilis","region_1",2010,"","",NA
"cancer gracilis","region_2",2010,"","",NA
"cancer gracilis","region_3",2010,"","",NA
"cancer gracilis","region_4",2010,"","",NA
"cancer gracilis","region_5",2010,"","",NA
"cancer gracilis","region_6",2010,"","",NA
"cancer gracilis","region_7",2010,"","",NA
"cancer gracilis","region_8",2010,"","",NA
"cancer gracilis","region_9",2010,"","",NA
"cancer johngarthi","region_1",2010,"","",NA
"cancer johngarthi","region_2",2010,"","",NA
"cancer johngarthi","region_3",2010,"","",NA
"cancer johngarthi","region_4",2010,"","",NA
"cancer johngarthi","region_5",2010,"","",NA
"cancer johngarthi","region_6",2010,"","",NA
"cancer johngarthi","region_7",2010,"","",NA
"cancer johngarthi","region_8",2010,"","",NA
"cancer johngarthi","region_9",2010,"","",NA
"cancer magister","region_1",2004,"","",NA
"cancer magister","region_2",2004,"","",NA
"cancer magister","region_3",2004,"","",NA
"cancer magister","region_4",2004,"","",NA
"cancer magister","region_5",2004,"","",NA
"cancer magister","region_6",2004,"","",NA
"cancer magister","region_7",2004,"","",NA
"cancer magister","region_8",2004,"","",NA
"cancer magister","region_9",2004,"","",NA
"cancer productus","region_1",2010,"","",NA
"cancer productus","region_2",2010,"","",NA
"cancer productus","region_3",2010,"","",NA
"cancer productus","region_4",2010,"","",NA
"cancer productus","region_5",2010,"","",NA
"cancer productus","region_6",2010,"","",NA
"cancer productus","region_7",2010,"","",NA
"cancer productus","region_8",2010,"","",NA
"cancer productus","region_9",2010,"","",NA
"caranx caballus","region_1",2010,"","",NA
"caranx caballus","region_2",2010,"","",NA
"caranx caballus","region_3",2010,"","",NA
"caranx caballus","region_4",2010,"","",NA
"caranx caballus","region_5",2010,"","",NA
"caranx caballus","region_6",2010,"","",NA
"caranx caballus","region_7",2010,"","",NA
"caranx caballus","region_8",2010,"","",NA
"caranx caballus","region_9",2010,"","",NA
"caranx caninus","region_1",2010,"","",NA
"caranx caninus","region_2",2010,"","",NA
"caranx caninus","region_3",2010,"","",NA
"caranx caninus","region_4",2010,"","",NA
"caranx caninus","region_5",2010,"","",NA
"caranx caninus","region_6",2010,"","",NA
"caranx caninus","region_7",2010,"","",NA
"caranx caninus","region_8",2010,"","",NA
"caranx caninus","region_9",2010,"","",NA
"caranx otrynter","region_1",2010,"","",NA
"caranx otrynter","region_2",2010,"","",NA
"caranx otrynter","region_3",2010,"","",NA
"caranx otrynter","region_4",2010,"","",NA
"caranx otrynter","region_5",2010,"","",NA
"caranx otrynter","region_6",2010,"","",NA
"caranx otrynter","region_7",2010,"","",NA
"caranx otrynter","region_8",2010,"","",NA
"caranx otrynter","region_9",2010,"","",NA
"caranx sexfasciatus","region_1",2010,"","",NA
"caranx sexfasciatus","region_2",2010,"","",NA
"caranx sexfasciatus","region_3",2010,"","",NA
"caranx sexfasciatus","region_4",2010,"","",NA
"caranx sexfasciatus","region_5",2010,"","",NA
"caranx sexfasciatus","region_6",2010,"","",NA
"caranx sexfasciatus","region_7",2010,"","",NA
"caranx sexfasciatus","region_8",2010,"","",NA
"caranx sexfasciatus","region_9",2010,"","",NA
"carcharhinus altimus","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus altimus","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus altimus","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus altimus","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus altimus","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus altimus","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus altimus","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus altimus","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus altimus","region_9",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus brachyurus","region_9",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus falciformis","region_9",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus galapagensis","region_9",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus leucas","region_9",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus limbatus","region_9",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus longimanus","region_9",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus obscurus","region_9",2023,"maximally harvested","no increase",NA
"carcharhinus plumbeus","region_1",2004,"","",NA
"carcharhinus plumbeus","region_2",2004,"","",NA
"carcharhinus plumbeus","region_3",2004,"","",NA
"carcharhinus plumbeus","region_4",2004,"","",NA
"carcharhinus plumbeus","region_5",2004,"","",NA
"carcharhinus plumbeus","region_6",2004,"","",NA
"carcharhinus plumbeus","region_7",2004,"","",NA
"carcharhinus plumbeus","region_8",2004,"","",NA
"carcharhinus plumbeus","region_9",2004,"","",NA
"carcharhinus porosus","region_1",2023,"maximally harvested","no increase",NA
"carcharhinus porosus","region_2",2023,"maximally harvested","no increase",NA
"carcharhinus porosus","region_3",2023,"maximally harvested","no increase",NA
"carcharhinus porosus","region_4",2023,"maximally harvested","no increase",NA
"carcharhinus porosus","region_5",2023,"maximally harvested","no increase",NA
"carcharhinus porosus","region_6",2023,"maximally harvested","no increase",NA
"carcharhinus porosus","region_7",2023,"maximally harvested","no increase",NA
"carcharhinus porosus","region_8",2023,"maximally harvested","no increase",NA
"carcharhinus porosus","region_9",2023,"maximally harvested","no increase",NA
"caulolatilus affinis","region_1",2010,"","",NA
"caulolatilus affinis","region_2",2010,"","",NA
"caulolatilus affinis","region_3",2010,"","",NA
"caulolatilus affinis","region_4",2010,"","",NA
"caulolatilus affinis","region_5",2010,"","",NA
"caulolatilus affinis","region_6",2010,"","",NA
"caulolatilus affinis","region_7",2010,"","",NA
"caulolatilus affinis","region_8",2010,"","",NA
"caulolatilus affinis","region_9",2010,"","",NA
"caulolatilus hubbsi","region_1",2010,"","",NA
"caulolatilus hubbsi","region_2",2010,"","",NA
"caulolatilus hubbsi","region_3",2010,"","",NA
"caulolatilus hubbsi","region_4",2010,"","",NA
"caulolatilus hubbsi","region_5",2010,"","",NA
"caulolatilus hubbsi","region_6",2010,"","",NA
"caulolatilus hubbsi","region_7",2010,"","",NA
"caulolatilus hubbsi","region_8",2010,"","",NA
"caulolatilus hubbsi","region_9",2010,"","",NA
"caulolatilus princeps","region_1",2010,"","",NA
"caulolatilus princeps","region_2",2010,"","",NA
"caulolatilus princeps","region_3",2010,"","",NA
"caulolatilus princeps","region_4",2010,"","",NA
"caulolatilus princeps","region_5",2010,"","",NA
"caulolatilus princeps","region_6",2010,"","",NA
"caulolatilus princeps","region_7",2010,"","",NA
"caulolatilus princeps","region_8",2010,"","",NA
"caulolatilus princeps","region_9",2010,"","",NA
"centropomus armatus","region_1",2023,"maximally harvested","no increase",NA
"centropomus armatus","region_2",2023,"maximally harvested","no increase",NA
"centropomus armatus","region_3",2023,"maximally harvested","no increase",NA
"centropomus armatus","region_4",2023,"maximally harvested","no increase",NA
"centropomus armatus","region_5",2023,"maximally harvested","no increase",NA
"centropomus armatus","region_6",2023,"maximally harvested","no increase",NA
"centropomus armatus","region_7",2023,"maximally harvested","no increase",NA
"centropomus armatus","region_8",2023,"maximally harvested","no increase",NA
"centropomus armatus","region_9",2023,"maximally harvested","no increase",NA
"centropomus medius","region_1",2023,"maximally harvested","no increase",NA
"centropomus medius","region_2",2023,"maximally harvested","no increase",NA
"centropomus medius","region_3",2023,"maximally harvested","no increase",NA
"centropomus medius","region_4",2023,"maximally harvested","no increase",NA
"centropomus medius","region_5",2023,"maximally harvested","no increase",NA
"centropomus medius","region_6",2023,"maximally harvested","no increase",NA
"centropomus medius","region_7",2023,"maximally harvested","no increase",NA
"centropomus medius","region_8",2023,"maximally harvested","no increase",NA
"centropomus medius","region_9",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_1",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_2",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_3",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_4",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_5",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_6",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_7",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_8",2023,"maximally harvested","no increase",NA
"centropomus nigrescens","region_9",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_1",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_2",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_3",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_4",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_5",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_6",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_7",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_8",2023,"maximally harvested","no increase",NA
"centropomus robalito","region_9",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_1",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_2",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_3",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_4",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_5",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_6",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_7",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_8",2023,"maximally harvested","no increase",NA
"centropomus viridis","region_9",2023,"maximally harvested","no increase",NA
"cephalopholis panamensis","region_1",2010,"","",NA
"cephalopholis panamensis","region_2",2010,"","",NA
"cephalopholis panamensis","region_3",2010,"","",NA
"cephalopholis panamensis","region_4",2010,"","",NA
"cephalopholis panamensis","region_5",2010,"","",NA
"cephalopholis panamensis","region_6",2010,"","",NA
"cephalopholis panamensis","region_7",2010,"","",NA
"cephalopholis panamensis","region_8",2010,"","",NA
"cephalopholis panamensis","region_9",2010,"","",NA
"cetengraulis mysticetus","region_1",2022,"maximally harvested","no increase",NA
"cetengraulis mysticetus","region_2",2022,"maximally harvested","no increase",NA
"cetengraulis mysticetus","region_3",2022,"maximally harvested","no increase",NA
"cetengraulis mysticetus","region_4",2022,"maximally harvested","no increase",NA
"cetengraulis mysticetus","region_5",2022,"maximally harvested","no increase",NA
"cetengraulis mysticetus","region_6",2022,"maximally harvested","no increase",NA
"cetengraulis mysticetus","region_7",2022,"maximally harvested","no increase",NA
"cetengraulis mysticetus","region_8",2022,"maximally harvested","no increase",NA
"cetengraulis mysticetus","region_9",2022,"maximally harvested","no increase",NA
"cheilotrema saturna","region_1",2010,"","",NA
"cheilotrema saturna","region_2",2010,"","",NA
"cheilotrema saturna","region_3",2010,"","",NA
"cheilotrema saturna","region_4",2010,"","",NA
"cheilotrema saturna","region_5",2010,"","",NA
"cheilotrema saturna","region_6",2010,"","",NA
"cheilotrema saturna","region_7",2010,"","",NA
"cheilotrema saturna","region_8",2010,"","",NA
"cheilotrema saturna","region_9",2010,"","",NA
"chione californianensis","region_1",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione californianensis","region_2",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione californianensis","region_3",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione californianensis","region_4",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione californianensis","region_5",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione californianensis","region_6",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione californianensis","region_7",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione californianensis","region_8",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione californianensis","region_9",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_1",2000,"","",NA
"chione undatella","region_1",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_2",2000,"","",NA
"chione undatella","region_2",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_3",2000,"","",NA
"chione undatella","region_3",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_4",2000,"","",NA
"chione undatella","region_4",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_5",2000,"","",NA
"chione undatella","region_5",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_6",2000,"","",NA
"chione undatella","region_6",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_7",2000,"","",NA
"chione undatella","region_7",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_8",2000,"","",NA
"chione undatella","region_8",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione undatella","region_9",2000,"","",NA
"chione undatella","region_9",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_1",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_2",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_3",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_4",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_5",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_6",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_7",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_8",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista fluctifraga","region_9",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis gnidia","region_1",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
