Metadata:,"This file was built by Erica Ferrer with input from Melanie Frazier using details from the Monterey Bay Aquarium Seafood Watch Program; accessed April and May 2026. Details were finalized on May 6, 2026. Contact E. Ferrer with any additional questions at emferrer@ucsd.edu. Additional notes and information about these estimates can be found in the unabridged version of this file on Mazu or available at: https://docs.google.com/spreadsheets/d/1v6sctFVw_Q7lu9UGumr0GDwPQRhtjH9K29MwAKGKnAU/edit?gid=801787279#gid=801787279",,,,,,,,,,
Abridged,Major_Functional_Group,Family,Genus,Common_Name,Species,Country_or_Region,Farming_Method,SeafoodWatch_Score,Est_Sustainability_Score,Sustainability_Est_Confidence,Sustainability_Est_Reasoning
ignore,Molluscs excl. Cephalopods,Ostreidae,Magallana,Pacific oyster,Magallana gigas,Worldwide,All production methods,NA,6.69,Medium-High,Interpolated based on: Worldwide score for Crassostrea spp. (off-bottom culture)
keep,Molluscs excl. Cephalopods,Veneridae,Dosinia,Venus clam,"Anadara spp., Cyclina spp., Mercenaria spp., Meretrix spp., Mya spp., Ruditapes spp., Sinonovacula spp., Venerupis spp.",Worldwide,Bottom culture,6.82,6.82,Medium,Interpolated based on: Worldwide score for Veneridae taxa (bottom culture)
ignore,Molluscs excl. Cephalopods,Veneridae,Dosinia,Venus clam,"Anadara spp., Cyclina spp., Mercenaria spp., Meretrix spp., Mya spp., Ruditapes spp., Sinonovacula spp., Venerupis spp.",Worldwide,Off-bottom culture,6.82,6.82,Medium,Interpolated based on: Worldwide score for Veneridae taxa (off-bottom culture)
keep,Molluscs excl. Cephalopods,Veneridae,Megapitaria,Chocolate clam,"Anadara spp., Cyclina spp., Mercenaria spp., Meretrix spp., Mya spp., Ruditapes spp., Sinonovacula spp., Venerupis spp.",Worldwide,Bottom culture,6.82,6.82,Medium,Interpolated based on: Worldwide score for Veneridae taxa (bottom culture)
ignore,Molluscs excl. Cephalopods,Veneridae,Megapitaria,Chocolate clam,"Anadara spp., Cyclina spp., Mercenaria spp., Meretrix spp., Mya spp., Ruditapes spp., Sinonovacula spp., Venerupis spp.",Worldwide,Off-bottom culture,6.82,6.82,Medium,Interpolated based on: Worldwide score for Veneridae taxa (off-bottom culture)
keep,Molluscs excl. Cephalopods,Hiatellidae,Panopea,Geoduck clam,Panopea generosa,United States (Washington),Bottom culture,7.64,7.64,Medium,Interpolated based on: USA score for Panopea generosa (bottom culture)
ignore,Molluscs excl. Cephalopods,Hiatellidae,Panopea,Geoduck clam,Panopea generosa,Canada (British Columbia),Bottom culture,7.7,7.7,Medium,Interpolated based on: Canada score for Panopea generosa (bottom culture)
ignore,Molluscs excl. Cephalopods,Hiatellidae,Panopea,Geoduck clam,Panopea generosa,Worldwide,All production methods,NA,NA,Medium,"No score available, see notes."
keep,Demersal marine fishes,Lutjanidae,Lutjanus,Snapper,NA,NA,Marine net pen,NA,5.73,Low,Interpolated based on: score for Mexican amberjack finfish (net pen)
keep,Demersal marine fishes,Sciaenidae,Totoaba,Totoaba (Corvina?),NA,NA,Marine net pen,NA,5.73,Low,Interpolated based on: score for Mexican amberjack finfish (net pen)
ignore,Demersal marine fishes,Centropomidae,Centropomus,Snook,NA,NA,Marine net pen - likely,NA,NA,NA,Exclude for now; commercial aquaculture of this species is still in its early or experimental stages in this region. See links.
ignore,Demersal marine fishes,Sciaenidae,Cynoscion,Corvina,NA,NA,Marine net pen - likely,NA,NA,NA,Exclude for now; commercial aquaculture of this species is still in its early or experimental stages in this region. See links.
ignore,Demersal marine fishes,Carangidae,Seriola,Amberjack,Seriola rivoliana,Mexico,Marine net pen,5.73,5.73,High,NA
ignore,Demersal marine fishes,Carangidae,Seriola,Amberjack,Seriola lalandi,Mexico,Marine net pen,5.73,5.73,High,NA
ignore,Demersal marine fishes,Scombridae,Thunnus,Pacific bluefin tuna,Thunnus orientalis,Mexico,Marine net pen,2.87,2.87,High,NA
ignore,Demersal marine fishes,Moronidae,Morone,Bass (anadromous),Morone saxatilis,Mexico,Marine net pen,6.7,6.7,High,NA
