data,code,category1,category2,description
occupation,1999,,,"Other directors, officials, managers, coordinators, and area chiefs, not previously classified"
occupation,2111,,,Administrators and professionals in human resources and management systems
occupation,2112,,,"Professionals and consultants in marketing, advertising, communication, and international trade"
occupation,2113,travel_agents,tourism,Professionals in hospitality and tourism
occupation,2121,,,Accountants and auditors
occupation,2122,,,Financial advisors and analysts
occupation,2131,,,"Anthropologists, archaeologists, and historians"
occupation,2132,,,Sociologists and social development professionals
occupation,2133,,,Political scientists and public administration professionals
occupation,2134,,,Geographers
occupation,2135,,,Lawyers
occupation,2136,,,"Economists, consultants, and researchers in economic policy"
occupation,2141,,,Researchers and professionals in philosophy and literature (philologists)
occupation,2142,,,Psychologists
occupation,2143,,,Social workers
occupation,2144,,,"Professionals in archival studies, library science, and museology"
occupation,2145,,,"Priests, pastors, and other theologians"
occupation,2151,,,Writers and literary critics
occupation,2152,,,Journalists and editors
occupation,2153,,,Translators and interpreters
occupation,2161,,,Painters
occupation,2162,,,"Illustrators, artistic designers, and printmakers"
occupation,2163,,,Sculptors
occupation,2164,,,Set designers
occupation,2171,,,Composers and arrangers
occupation,2172,,,Musicians
occupation,2173,,,Singers
occupation,2174,,,Dancers and choreographers
occupation,2175,,,Actors
occupation,2211,,,Researchers and professionals in physics and astronomy
occupation,2212,,,"Researchers and professionals in mathematics, statistics, and actuarial science"
occupation,2221,science,science,"Biologists, marine scientists, and oceanographers"
occupation,2222,,,Chemists
occupation,2223,science,science,Ecologists and atmospheric scientists
occupation,2231,,,Agronomists
occupation,2232,,,Veterinarians and animal scientists
occupation,2233,,,Forestry professionals and silviculturists
occupation,2234,fisheries/aquaculture,food_provisioning,Fisheries and aquaculture professionals
occupation,2241,,,Electrical engineers
occupation,2242,,,Electronic engineers
occupation,2251,,,Chemical engineers
occupation,2252,,,Mechanical engineers
occupation,2253,,,Industrial engineers
occupation,2254,,,"Mining, metallurgical, and petroleum engineers"
occupation,2261,,,Civil and construction engineers
occupation,2262,,,"Surveying, hydrology, geology, and geodesy engineers"
occupation,2263,,,"Architects, urban planners, and transportation planners"
occupation,2271,,,Software and multimedia developers and analysts
occupation,2272,,,Database and computer network administrators
occupation,2281,,,Communications and telecommunications engineers
occupation,2311,,,Educational supervisors and inspectors
occupation,2312,,,"Pedagogues, educational counselors, and other educational science specialists"
occupation,2321,,,University and higher education professors
occupation,2322,,,High school and equivalent teachers
occupation,2331,,,Secondary school teachers
occupation,2332,,,Elementary school teachers
occupation,2333,,,Literacy instructors
occupation,2334,,,Bilingual (indigenous) education teachers
occupation,2335,,,Preschool teachers
occupation,2339,,,"Other basic education teachers, not previously classified"
occupation,2341,,,Teachers of students with hearing and speech impairments
occupation,2342,,,Teachers of students with learning disabilities
occupation,2343,,,Other special education teachers
occupation,2399,,,"Other teachers and education specialists, not previously classified"
occupation,2411,,,General practitioners and family physicians
occupation,2412,,,Dentists
occupation,2421,,,Anesthesiologists
occupation,2422,,,Surgeons
occupation,2423,,,Gynecologists and obstetricians
occupation,2424,,,Internists
occupation,2425,,,Pathologists
occupation,2426,,,Pediatricians
occupation,2427,,,Psychiatrists
occupation,2428,,,Radiologists
occupation,2429,,,Other medical specialists
occupation,2431,,,Biomedical engineers
occupation,2432,,,Optometrists
occupation,2433,,,Nutritionists
occupation,2434,,,"Professionals in occupational health, hygiene, and public health"
occupation,2435,,,Professionals in traditional and alternative medicine
occupation,2436,,,Professional nurses and paramedics
occupation,2437,,,Physical therapists and speech therapists
occupation,2438,,,Pharmacologists
occupation,2511,,,"Administrative, marketing, and international trade assistants"
occupation,2512,,,"Accounting, finance assistants, and stockbrokers"
occupation,2513,,,Customs brokers
occupation,2514,,,"Appraisers, auctioneers, and liquidators"
occupation,2521,,,Public prosecutors and detectives
occupation,2522,,,Customs and border agents
occupation,2523,,,Tax collection and licensing agents
occupation,2524,,,"Social security, pricing, and other public inspectors"
occupation,2531,,,Assistants in social and human sciences
occupation,2532,,,Legal assistants
occupation,2533,,,Nuns and preachers
occupation,2541,,,Fashion and apparel designers
occupation,2542,,,Industrial designers
occupation,2543,,,Graphic designers
occupation,2544,,,"Interior, garden, and miscellaneous material decorators (mugs, keychains, etc.)"
occupation,2551,,,"Radio, television, and other media announcers"
occupation,2552,,,Event hosts and organizers
occupation,2553,,,"Clowns, mimes, and circus performers"
occupation,2561,,,Athletes
occupation,2562,,,Sports coaches and technical directors
occupation,2563,,,Sports referees and judges
occupation,2611,,,"Assistants and technicians in physics, astronomy, mathematics, statistics, and actuarial science"
occupation,2612,science,science,"Assistants and technicians in biological, chemical, and environmental sciences"
occupation,2613,,,Assistants and technicians in agronomy
occupation,2614,,,"Assistants and technicians in veterinary science, fisheries, and forestry"
occupation,2621,,,Industrial and chemical technicians and assistants
occupation,2622,,,"Surveying, hydrology, and geology technicians and assistants"
occupation,2623,,,"Mining, metallurgical, and petroleum technicians and assistants"
occupation,2624,,,"Civil engineering, construction, and architecture technicians and assistants"
occupation,2625,,,Technical draftsmen
occupation,2630,,,"Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments, and refrigeration equipment"
occupation,2631,,,Motor vehicle maintenance and repair technicians
occupation,2632,,,Motor vehicle mechanics
occupation,2633,,,Maintenance and repair technicians for machinery and industrial instruments
occupation,2634,,,Maintenance and repair mechanics for machinery and industrial instruments
occupation,2635,,,Technicians in maintenance and repair of precision and musical instruments
occupation,2636,,,Mechanics in maintenance and repair of precision and musical instruments
occupation,2637,,,"Technicians in installation, repair, and maintenance of refrigeration, climate control, and air conditioning equipment"
occupation,2638,,,"Mechanics in installation, repair, and maintenance of refrigeration, climate control, and air conditioning equipment"
occupation,2639,,,"Other mechanical equipment, motor vehicle, and industrial instrument maintenance and repair technicians, not previously classified"
occupation,2640,,,"Supervisors of electrical, electronics, telecommunications, and electromechanical equipment technicians"
occupation,2641,,,Electrical technicians
occupation,2642,,,Electricians and linemen
occupation,2643,,,"Technicians in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment)"
occupation,2644,,,"Workers in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment)"
occupation,2645,,,Electromechanical equipment repair technicians
occupation,2646,,,Electromechanical equipment repair workers
occupation,2649,,,"Other electrical, electronics, telecommunications, and electromechanical equipment technicians, not previously classified"
occupation,2651,,,"Technicians in installation and repair of networks, equipment, and computer systems"
occupation,2652,,,Radio equipment operations technicians
occupation,2653,,,Assistants and technicians in video recording and playback equipment
occupation,2654,,,"Assistants and technicians in audio, sound, and lighting engineering"
occupation,2655,,,Photographers
occupation,2661,transit,tourism,Air traffic controllers
occupation,2662,transit,tourism,"Traffic controllers for other modes of transport (land, rail, and maritime)"
occupation,2711,,,Assistants and technicians in pedagogy and education
occupation,2712,,,Instructors in artistic studies and training
occupation,2713,,,Instructors in commercial and administrative studies and training
occupation,2714,,,Foreign language instructors
occupation,2715,,,Vocational and trade instructors and trainers
occupation,2716,,,Physical education and sports instructors
occupation,2811,,,Nurse technicians
occupation,2812,,,"Technicians in diagnostic and medical treatment equipment, podiatrists, and physical therapists"
occupation,2813,,,Medical laboratory technicians
occupation,2814,,,Pharmaceutical technicians and assistants
occupation,2815,,,Medical and dental prosthetics technicians
occupation,2816,,,Dietetic technicians and nutritionists
occupation,2817,,,Alternative medicine technicians
occupation,2821,,,Nursing assistants and paramedics
occupation,2822,,,Dental assistants and aides
occupation,2823,,,Hospital and medical assistants
occupation,2824,,,Midwives
occupation,2825,,,Occupational safety and hygiene technicians
occupation,2826,,,"Traditional healers, herbalists, and bone setters"
occupation,2827,,,Fumigators and pest control workers
occupation,2991,,,Other professionals not previously classified
occupation,2992,,,Other technicians not previously classified
occupation,3101,,,"Supervisors of secretaries, typists, cashiers, and file and transportation control workers"
occupation,3111,,,Secretaries
occupation,3112,,,"Stenographers, typists, and similar workers"
occupation,3113,,,Data entry clerks
occupation,3114,,,Office machine operators
occupation,3115,,,Administrative support workers in various activities
occupation,3121,,,"Cashiers, ticket sellers, betting clerks, and similar workers"
occupation,3122,,,"Collection agents, paymasters, and money lenders"
occupation,3131,,,File and correspondence clerks
occupation,3132,,,Warehouse and stock control workers
occupation,3141,,,Transport dispatchers
occupation,3142,,,Transport checkers and inspectors
occupation,3201,,,Supervisors of workers who provide and manage information
occupation,3211,,,Receptionists and information clerks (in-person)
occupation,3212,,,Call center workers and announcers
occupation,3213,,,Telephone operators and telegraph operators
occupation,3221,agents,tourism,Travel agency workers
occupation,3222,entertainment,tourism,"Tour guides in museums, casinos, parks, theaters, and other recreational centers"
occupation,3231,,,Surveyors
occupation,3232,,,Data coders
occupation,3999,,,Other administrative support workers not previously classified
occupation,4111,,,Retail merchants
occupation,4201,,,Supervisors of sales and financial services employees
occupation,4211,,,"Sales clerks, dispatchers, and sales associates in stores"
occupation,4212,,,"Shelf stockers, merchandise arrangers, and vending machine stockers"
occupation,4213,,,Telemarketers
occupation,4214,,,Sales drivers
occupation,4221,,,"Sales agents, representatives, and consignees"
occupation,4222,,,Insurance and financial services agents (account executives)
occupation,4223,,,Real estate agents
occupation,4224,,,Catalog sales representatives
occupation,4231,,,Demonstrators and promoters
occupation,4232,,,Hostesses and event attendants
occupation,4233,,,"Fashion, art, and advertising models"
occupation,4301,,,Supervisors in rental services
occupation,4311,,,Rental service workers for real estate
occupation,4312,,,Rental service workers for movable goods
occupation,4999,,,"Other merchants, sales employees, and sales agents not previously classified"
occupation,5101,food/accomodations,tourism,"Supervisors in food and beverage preparation, entertainment, and hospitality services"
occupation,5111,food/accomodations,tourism,Cooks
occupation,5112,food/accomodations,tourism,Street food vendors and small-scale food merchants
occupation,5113,,,Private household cooks
occupation,5114,food/accomodations,tourism,"Taco makers, fast food preparers, and snack vendors"
occupation,5115,food/accomodations,tourism,Bartenders
occupation,5116,food/accomodations,tourism,Waiters
occupation,5119,food/accomodations,tourism,Other workers in food and beverage preparation and service in establishments
occupation,5201,,,Supervisors of personal care and household workers
occupation,5211,,,"Hairdressers, barbers, stylists, and hairdressers"
occupation,5212,,,"Makeup artists, manicurists, pedicurists, and tattoo artists"
occupation,5213,,,Bathhouse attendants and massage therapists
occupation,5221,,,"Caregivers for children, people with disabilities, and the elderly in institutions"
occupation,5222,,,"Caregivers for children, people with disabilities, and the elderly in private homes"
occupation,5231,transit,tourism,Flight attendants and cabin crew
occupation,5241,,,Gardeners in establishments
occupation,5242,,,Gardeners in private homes
occupation,5251,,,"Astrologers, fortune tellers, and similar occupations"
occupation,5252,,,Sex workers
occupation,5253,,,Funeral service workers
occupation,5254,,,Animal trainers and pet care workers
occupation,5299,,,Other personal service workers not previously classified
occupation,5301,,,Supervisors in protection and security services
occupation,5311,,,Firefighters
occupation,5312,,,Police officers and traffic agents
occupation,5313,,,Guards and security personnel in establishments
occupation,5314,,,Guards and doorkeepers in private homes
occupation,5319,,,Other protection and security service workers not previously classified
occupation,5401,,,"Supervisors in the Navy, Army, and Air Force"
occupation,5411,,,Air Force personnel
occupation,5412,,,Navy personnel
occupation,5413,,,Army personnel
occupation,5419,,,Other military personnel not previously classified
occupation,6101,,,"Supervisors, foremen, and managers in agricultural activities"
occupation,6111,,,Crop workers specializing in corn and/or beans
occupation,6112,,,Vegetable and produce workers
occupation,6113,,,"Coffee, cocoa, and tobacco workers"
occupation,6114,,,Fruit farm workers
occupation,6115,,,Flower growers and nursery workers
occupation,6116,,,Workers in other agricultural crops
occupation,6117,,,Workers in agricultural product processing
occupation,6119,,,Other agricultural workers not previously classified
occupation,6121,,,Livestock workers specializing in cattle ranching
occupation,6122,,,Swine herders and pig farm workers
occupation,6123,,,Poultry farm workers
occupation,6124,,,Goat and sheep herders
occupation,6125,,,Horse breeders and equine farm workers
occupation,6126,,,Beekeepers
occupation,6127,,,Workers in the care and breeding of other types of animals
occupation,6128,,,Workers in livestock product processing
occupation,6129,,,Other livestock and animal husbandry workers not previously classified
occupation,6131,,,Workers who combine agricultural and livestock activities
occupation,6201,,,"Supervisors, foremen, and managers in fishing, aquaculture, forestry, hunting, and related activities"
occupation,6211,fisheries,food_provisioning,Fishermen and fishing workers
occupation,6212,aquaculture,food_provisioning,Aquaculture workers
occupation,6213,fisheries/aquaculture,food_provisioning,Workers in processing fish and aquaculture products
occupation,6221,,,"Loggers, tree cutters, and similar workers"
occupation,6222,,,"Latex, chicle, and resin collectors"
occupation,6223,,,Nursery and greenhouse workers
occupation,6224,,,"Workers in tree planting, reforestation, and forest conservation"
occupation,6225,,,Firewood cutters
occupation,6226,,,"Foragers and gatherers of wild plants, herbs, and roots"
occupation,6227,,,Charcoal producers
occupation,6231,,,"Hunters, trappers, and related workers"
occupation,6311,,,Operators of agricultural and forestry machinery
occupation,6999,,,"Other agricultural, livestock, forestry, hunting, and fishing workers not previously classified"
occupation,7101,,,"Supervisors in extraction, masonry, and construction finishing work"
occupation,7111,,,Miners and metal ore extraction workers
occupation,7112,,,"Workers in the extraction of quarry, clay, sand, stone, and gravel"
occupation,7113,,,Demolition experts and divers in well drilling and construction
occupation,7121,,,"Bricklayers, masons, and related workers"
occupation,7122,,,Roofers (including thatch and palm roof installers)
occupation,7123,,,Carpenters in structural framing
occupation,7131,,,"Plasterers, drywall installers, and other ceiling and wall finishers"
occupation,7132,,,"Floor installers, tile setters, and tile layers"
occupation,7133,,,"Installers of insulation, waterproofing, glass, and other materials"
occupation,7134,,,"Plumbers, pipefitters, and pipeline installers"
occupation,7135,,,House painters and general painters
occupation,7199,,,Other extraction and construction workers not previously classified
occupation,7201,,,Supervisors of metalworking and metal product artisans
occupation,7211,,,"Molders, turners, and die makers"
occupation,7212,,,Welders and oxy-cutters
occupation,7213,,,"Sheet metal workers, panel beaters, tinsmiths, and metal painters"
occupation,7214,,,Structural metal fitters and fabricators
occupation,7221,,,"Blacksmiths, railing makers, aluminum workers, and metal forgers"
occupation,7222,,,"Locksmiths, metal sharpeners, and tool polishers"
occupation,7223,,,"Jewelers, goldsmiths, silversmiths, and precious metal polishers"
occupation,7299,,,Other metalworking and metal product artisans not previously classified
occupation,7301,,,"Supervisors of wood, paper, textile, and leather artisans"
occupation,7311,,,"Carpenters, cabinetmakers, and wood planers"
occupation,7312,,,Wood painters and varnishers
occupation,7313,,,"Artisans of wicker, reed, palm, bamboo, and similar products, excluding wood"
occupation,7321,,,Artisans and workers in the production of paper and cardboard products
occupation,7322,,,"Printers, linotype operators, photoengravers, and bookbinders"
occupation,7323,,,Photographic developers and printers
occupation,7331,,,Fiber preparers and yarn spinners
occupation,7332,,,Textile weavers
occupation,7341,,,"Tailors, dressmakers, sewers, and garment and accessory makers (fabric, leather, and similar materials)"
occupation,7342,,,"Artisans and makers of textile, leather, and similar products (excluding clothing and footwear)"
occupation,7343,,,Embroiders and thread pullers
occupation,7344,,,"Pattern makers for textiles, leather, and similar products"
occupation,7351,,,Upholsterers
occupation,7352,,,"Furriers, leather cutters, tanners, and dyers"
occupation,7353,,,Artisanal shoemakers
occupation,7399,,,"Other workers involved in the production of wood, paper, textiles, leather, and skins, not previously classified"
occupation,7401,,,"Supervisors of artisans and workers in the production of rubber, plastics, and chemical products"
occupation,7411,,,"Workers in the production and repair of rubber, plastic products, and tire vulcanization"
occupation,7412,,,Workers in the production of chemical substances and products
occupation,7501,,,"Supervisors of workers in the production and processing of food, beverages, and tobacco products"
occupation,7511,,,"Workers in the processing of meat, fish, and related products"
occupation,7512,,,Workers in the production of dairy products
occupation,7513,,,"Workers in the production of bread, tortillas, pastries, and other cereal and flour products"
occupation,7514,,,"Workers in the production of fruit, vegetable, and legume-based products"
occupation,7515,,,"Workers in the production of sugar, chocolate, and confectionery products"
occupation,7516,,,"Workers in the production of oils, fats, salt, and spices"
occupation,7517,,,Workers in the production of alcoholic and non-alcoholic beverages
occupation,7518,,,Workers in the production of tobacco products
occupation,7599,,,"Other workers involved in the processing of food, beverages, and tobacco products, not previously classified"
occupation,7601,,,"Supervisors of artisans and workers in the production of ceramics, glass, tile, and similar products"
occupation,7611,,,Potters and ceramic workers
occupation,7612,,,"Workers in the production of cement, lime, plaster, tile, stone, and brick"
occupation,7613,,,Glass workers and similar artisans
occupation,7614,,,"Workers in the production of bone, shell, coral, and similar products"
occupation,7999,,,Other artisanal workers not previously classified
occupation,8101,,,Supervisors of industrial machinery operators
occupation,8111,,,Operators of machinery and equipment for extraction and processing in mines and quarries
occupation,8112,,,Operators of machinery and equipment for extraction in oil wells
occupation,8113,,,"Operators of machinery and equipment for water extraction, pumping, and distribution"
occupation,8114,,,Operators of specialized portable equipment for construction
occupation,8121,,,"Operators of metallurgical furnaces, casters, rolling mill operators, and metal wire drawing and stretching machine operators"
occupation,8122,,,"Operators of polishing, galvanizing, and metal coating machines"
occupation,8123,,,"Operators of machines for cutting, drilling, bending, stamping, welding, and shaping metal pieces and products"
occupation,8131,,,Operators of machines for chemical product manufacturing
occupation,8132,,,Operators of machines for pharmaceutical and cosmetic product manufacturing
occupation,8133,,,Operators of machines for the production and assembly of plastic and rubber products
occupation,8134,,,Operators of machines for water treatment
occupation,8135,,,Operators of machinery and equipment for oil and gas refining
occupation,8141,,,Operators of machines for wood processing and the production of plywood and particle board
occupation,8142,,,"Operators of machines for the production of wood, rattan, wicker, and similar products"
occupation,8143,,,"Operators of machines in the production of cellulose, paper, and similar products"
occupation,8144,,,Operators of printing and bookbinding machines
occupation,8145,,,Operators of machines for the production of paper and cardboard-based products
occupation,8151,,,Operators of machines and equipment for spinning and winding natural and synthetic textile fibers
occupation,8152,,,"Operators of machines for producing knitted fabrics, cloth, and carpets"
occupation,8153,,,"Operators of sewing, embroidery, and cutting machines for textile products and garment manufacturing"
occupation,8154,,,"Operators of machines for leather and hide processing, for the production of footwear and other leather products"
occupation,8155,,,"Operators of machines for washing, bleaching, dyeing, printing, felting, ironing, and finishing of textile products"
occupation,8161,,,"Operators of machines for food, oil, fat, salt, and spice production"
occupation,8162,,,Operators of machines for tobacco production
occupation,8163,,,Operators of machines for alcoholic and non-alcoholic beverage production
occupation,8171,,,"Operators of machines for cement, lime, plaster, and cement product manufacturing"
occupation,8172,,,"Operators of machines for ceramic, mosaic, tile, and similar product manufacturing"
occupation,8173,,,Operators of machines for glass and similar product manufacturing
occupation,8181,,,Operators of machines and facilities for power generation
occupation,8199,,,"Other operators of fixed industrial machinery and equipment, not previously classified"
occupation,8201,,,"Supervisors in assembly and manufacturing processes for machinery, tools, metal products, electrical and electronic products"
occupation,8211,,,"Assemblers and fitters of machinery, tools, equipment, and metal products"
occupation,8212,,,Assemblers and fitters of electrical and electronic components
occupation,8301,,,Supervisors of transportation and mobile machinery drivers
occupation,8311,transit,tourism,Aviation pilots
occupation,8321,marine_vessel,marine_transport,Captains and operators of maritime transport
occupation,8322,marine_vessel,marine_transport,"Deck officers, mates, and pilots"
occupation,8323,marine_vessel,marine_transport,Marine engineering officers
occupation,8324,marine_vessel,marine_transport,"Operators of small vessels (boats, skiffs, trajineras, etc.)"
occupation,8331,transit,tourism,"Railway transport operators (trains, subways, and light rail)"
occupation,8341,,,"Truck, van, and freight vehicle drivers"
occupation,8342,transit,tourism,"Bus, truck, van, taxi, and passenger vehicle drivers"
occupation,8343,,,Private household chauffeurs
occupation,8344,,,Motorcycle drivers
occupation,8349,,,Other motorized land transport operators not previously classified
occupation,8351,,,Mobile machinery operators for construction and mining
occupation,8352,,,"Mobile machinery operators for moving goods in factories, ports, commerce, etc."
occupation,8999,,,"Other industrial machinery operators, assemblers, and transport operators, not previously classified"
occupation,9111,,,Agricultural support workers
occupation,9112,,,Livestock support workers
occupation,9113,,,Support workers in combined agricultural and livestock activities
occupation,9121,,,Support workers in forestry and silviculture
occupation,9122,fisheries/aquaculture,food_provisioning,Support workers in aquaculture and fishing
occupation,9123,,,Support workers in hunting and trapping
occupation,9124,,,Firewood collectors and water carriers
occupation,9211,,,Support workers in mining
occupation,9212,,,"Support workers in petroleum, gas, and water extraction"
occupation,9213,,,Assistants to dynamiters and divers in well drilling and construction
occupation,9221,,,Support workers in construction
occupation,9222,,,Support workers in plumbing and pipe installation
occupation,9231,,,"Support workers in mechanical equipment, machinery, metal, and precision product manufacturing, repair, and maintenance"
occupation,9232,,,"Support workers in the electrical, electronic, and communications industries"
occupation,9233,,,"Support workers in the chemical, petrochemical, water treatment, and plastics industries"
occupation,9234,,,"Support workers in the wood, paper, and cardboard industries"
occupation,9235,,,Support workers in the textile and footwear industries
occupation,9236,food,tourism,"Support workers in the food, beverage, and tobacco industries"
occupation,9237,,,"Support workers in the ceramics, glass, and similar industries"
occupation,9239,,,"Other industrial support workers, not previously classified"
occupation,9311,,,Assistants to motor vehicle and mobile machinery drivers
occupation,9312,transit,tourism,Assistants to railway transport operators
occupation,9321,,,Bicycle transport vehicle drivers
occupation,9322,transit,tourism,Animal-drawn transport drivers
occupation,9331,,,Loaders
occupation,9332,,,Tip-based loaders
occupation,9411,food,tourism,Food preparation assistants
occupation,9511,,,Street vendors of newspapers and lottery tickets
occupation,9512,,,Street vendors of miscellaneous items (excluding food)
occupation,9521,food,tourism,Street food vendors and preparers
occupation,9599,,,"Other street vendors, not previously classified"
occupation,9601,accomodations,tourism,"Cleaning supervisors, housekeepers, butlers, and parking attendants"
occupation,9611,,,Domestic workers
occupation,9621,,,Sweepers and cleaning workers (except in hotels and restaurants)
occupation,9622,accomodations,tourism,Housekeepers and room attendants
occupation,9623,accomodations,tourism,Busboys and cleaning staff in hotels and restaurants
occupation,9624,,,Shoe shiners
occupation,9631,,,Car washers in establishments
occupation,9632,,,Car washers in public spaces
occupation,9633,accomodations,tourism,Parking attendants and valets
occupation,9634,accomodations,tourism,Street car attendants
occupation,9641,,,Laundry workers in establishments
occupation,9642,,,Ironers and dry cleaners in establishments
occupation,9643,,,Household laundry and ironing workers
occupation,9651,,,Gardener assistants
occupation,9661,,,Garbage and recyclable material collectors
occupation,9662,,,Trash sorters
occupation,9663,,,Hazardous waste collectors
occupation,9664,,,Other material collectors
occupation,9711,,,"Parcel workers, bellhops, and hotel porters"
occupation,9712,,,Object and merchandise packers
occupation,9713,entertainment,tourism,"Event, sports, and amusement park support workers"
occupation,9721,,,Postal carriers (on foot or bicycle)
occupation,9722,,,Messengers and couriers (on foot or bicycle)
occupation,9723,,,Merchandise delivery workers (on foot or bicycle)
occupation,9731,,,Meter readers
occupation,9732,,,Money collectors
occupation,9733,,,Elevator operators
occupation,9899,,,"Other elementary and support workers, not previously classified"
occupation,9999,,,Unspecified occupations
north_america_industry,1110,,,Agriculture
north_america_industry,1121,,,Livestock farming and animal breeding
north_america_industry,1122,aquaculture,food_provisioning,Aquaculture
north_america_industry,1130,,,Forestry and logging
north_america_industry,1141,fisheries,food_provisioning,Fishing
north_america_industry,1142,,,Hunting and trapping
north_america_industry,1150,aquaculture,food_provisioning,Support activities for agriculture and forestry
north_america_industry,1199,,,"Insufficiently specified descriptions of the agriculture, livestock, forestry, fishing, and hunting sector"
north_america_industry,2110,,,Oil and gas extraction
north_america_industry,2121,,,Coal mining
north_america_industry,2122,,,Metal ore mining
north_america_industry,2123,,,Non-metallic mineral mining
north_america_industry,2129,,,Insufficiently specified descriptions of metal and non-metal mineral mining
north_america_industry,2131,,,Support activities for mining
north_america_industry,2132,,,Oil and gas well drilling
north_america_industry,2199,,,Insufficiently specified descriptions of the mining sector
north_america_industry,2211,,,"Generation, transmission, distribution, and commercialization of electric power"
north_america_industry,2212,,,"Water collection, treatment, and supply"
north_america_industry,2213,,,Natural gas distribution through pipelines to the final consumer
north_america_industry,2361,,,Residential building construction
north_america_industry,2362,,,Self-built residential construction
north_america_industry,2363,,,Non-residential building construction
north_america_industry,2370,,,Civil engineering construction
north_america_industry,2381,,,Specialty trade contractors for construction
north_america_industry,2382,,,"Masonry, plumbing, electrical installations, and exterior work"
north_america_industry,2399,,,Insufficiently specified descriptions of the construction sector
north_america_industry,3110,,,Food manufacturing
north_america_industry,3120,,,Beverage and tobacco manufacturing
north_america_industry,3130,,,Textile mills and textile finishing
north_america_industry,3140,,,"Manufacturing of textile products, except apparel"
north_america_industry,3150,,,Manufacturing of apparel
north_america_industry,3160,,,"Leather and hide tanning and finishing, and manufacturing of leather, hide, and substitute products"
north_america_industry,3210,,,Wood product manufacturing
north_america_industry,3220,,,Paper manufacturing
