"state","main_species_group","CNP_Recommendation","Baseline_Total_Catch_2020_2022","Total_Catch_2023","CatchCompare_2023_vs_Baseline","Total_Catch_2024","CatchCompare_2024_vs_Baseline","Avg_CPUE_2020_2022","Avg_CPUE_2023","Avg_CPUE_2024"
"SINALOA","ALMEJA",NA,2596419,2772150,"higher",2580111,"similar",1175.60421132648,789.155324872976,1002.30080113294
"SINALOA","ANCHOVETA",NA,667407.78,33042,"substantially lower",218080,"substantially lower",36314.0327777778,2891,54520
"SINALOA","ATUN",NA,54878966.0133333,58700118,"higher",77113064.99,"substantially higher",11296.5518370632,13202.1540254118,15464.3149205882
"SINALOA","BAGRE",NA,386666.508333333,423164,"higher",430867.75,"higher",127.953652119428,158.9890950688,159.17614381281
"SINALOA","BANDERA",NA,533316.633333333,560474,"higher",624141.3,"higher",134.606999513906,187.677233310755,197.986203407532
"SINALOA","BAQUETA",NA,820499.3,967358,"higher",1127485.66,"substantially higher",165.52487435331,239.180755817855,240.409887732508
"SINALOA","BARRILETE",NA,5961708.56666667,6657608,"higher",10228198.53,"substantially higher",2105.62535527179,3348.77885673011,3269.33427851733
"SINALOA","BERRUGATA",NA,1280277.75,1131320,"lower",1018763.05,"lower",159.077322244645,152.094785928912,172.111293590441
"SINALOA","BESUGO",NA,90,0,"substantially lower",0,"substantially lower",6,NA,NA
"SINALOA","BONITO",NA,2442930.06666667,48128,"substantially lower",30,"substantially lower",4266.59158904205,1345.1688034188,10
"SINALOA","CABRILLA",NA,3788.95,22645,"qc flag: > 3x higher",14371.15,"qc flag: > 3x higher",14.37931610853,55.9724353377715,53.2198978900503
"SINALOA","CALAMAR",NA,361787.266666667,964341,"substantially higher",1046223.92,"substantially higher",190.368509107849,351.398228450182,374.961090912259
"SINALOA","CAMARON",NA,97857641.7493333,20336361,"substantially lower",11808018.736,"substantially lower",5422.98628228386,1071.15896561587,747.980171452528
"SINALOA","CARACOL",NA,611218.666666667,1080624,"substantially higher",1177508.29,"substantially higher",542.487557981024,397.383679609883,459.232271377154
"SINALOA","CARPA",NA,363330.95,475414,"substantially higher",407690.895,"higher",231.547919732179,243.901578197066,311.766131879659
"SINALOA","CAZON",NA,1078351.08333333,1491320,"substantially higher",2338833.755,"substantially higher",600.944771590662,1037.23969854407,1113.58061120094
"SINALOA","CHARAL",NA,13955.3333333333,0,"substantially lower",0,"substantially lower",306.25837599209,NA,NA
"SINALOA","CINTILLA",NA,853.333333333333,0,"substantially lower",0,"substantially lower",340,NA,NA
"SINALOA","CORVINA",NA,1789311.597,2296347,"higher",3098163.052,"substantially higher",203.245841747805,252.584751993314,299.177164887195
"SINALOA","ERIZO",NA,1480,0,"substantially lower",0,"substantially lower",493.333333333333,NA,NA
"SINALOA","ESMEDREGAL",NA,1578.5,5302,"qc flag: > 3x higher",2247,"substantially higher",45.7995238095238,25.61,28.5245098039216
"SINALOA","FAUNA",NA,80499.9933333333,44381,"substantially lower",10892.58,"substantially lower",86.7059080519628,25.4118640333414,32.9746784788194
"SINALOA","GUACHINANGO",NA,801862.616666667,460878,"substantially lower",662130.3535,"lower",289.637884905045,222.657050746766,259.100156511711
"SINALOA","JAIBA",NA,13339862.2666667,18363626,"substantially higher",16395358.59,"higher",660.995483877055,654.667965156071,619.166935530994
"SINALOA","JUREL",NA,38251.3333333333,54040,"substantially higher",102322.2,"substantially higher",81.1723233167572,114.596371112548,211.025407501714
"SINALOA","LANGOSTA",NA,27852.7666666667,21088,"lower",17326.6,"substantially lower",91.8279961736732,95.9919916257984,86.9916485424298
"SINALOA","LANGOSTINO",NA,10056.3333333333,2354,"substantially lower",1041,"substantially lower",41.8004807356129,24.0605158730159,15.9274240465417
"SINALOA","LEBRANCHA",NA,26181.9333333333,17080,"substantially lower",19625,"lower",481.118432409341,333.3,398.257142857143
"SINALOA","LENGUADO",NA,1093538.53333333,1142937,"similar",1003472.25,"lower",228.116832640293,238.019693511432,213.984619522141
"SINALOA","LISA",NA,1755199.53333333,2071150,"higher",1917577.95,"higher",243.198711893395,407.032687501618,395.055306305392
"SINALOA","LOBINA",NA,72729.8333333333,145700,"substantially higher",137871.7,"substantially higher",59.5991028621291,120.873600571374,109.216345457624
"SINALOA","MACARELA",NA,4019031.17333333,222720,"substantially lower",0,"substantially lower",61821.0371240064,74240,NA
